"","mediator","lhs","op","rhs","label","est.std","se","z","pvalue","ci.lower","ci.upper","pvalue_adj","nickname","sig"
"8","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","de",":=","c","de",-0.0353045596439962,0.0104668563461369,-3.37298597367552,0.000743577403923945,-0.055819221113779,-0.0147898981742135,0.00854276301664969,"volume",TRUE
"18","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","de",":=","c","de",-0.0426335907990015,0.0105935070856921,-4.0245020326256,5.70960010153332e-05,-0.0633964831569278,-0.0218706984410751,0.00854276301664969,"volume",TRUE
"28","brain_bio.volume_of_grey_matter.0.imaging","de",":=","c","de",-0.030136863145297,0.0104703000812525,-2.87831895088264,0.0039980069447314,-0.0506582742118786,-0.00961545207871537,0.0119940208341942,"volume",TRUE
"38","brain_bio.volume_of_white_matter.0.imaging","de",":=","c","de",-0.0440974596424662,0.0104716787752505,-4.2111165352674,2.54111610151764e-05,-0.0646215728996297,-0.0235733463853027,0.00523469916912633,"volume",TRUE
"48","brain_bio.volume_of_brain._grey.white_matter.0.imaging","de",":=","c","de",-0.0371709093816152,0.0104482832915784,-3.55760925927189,0.00037424545441489,-0.0576491683333805,-0.0166926504298499,0.00854276301664969,"volume",TRUE
"58","brain_bio.volume_of_thalamus_.left..0.imaging","de",":=","c","de",-0.0290716430878519,0.0104983540686507,-2.76916199413231,0.00562006843325991,-0.0496480389593569,-0.00849524721634691,0.0119940208341942,"volume",TRUE
"68","brain_bio.volume_of_thalamus_.right..0.imaging","de",":=","c","de",-0.0298199298560589,0.0104918466965826,-2.84220030261899,0.00448033328800079,-0.0503835715126763,-0.00925628819944161,0.0119940208341942,"volume",TRUE
"78","brain_bio.volume_of_caudate_.left..0.imaging","de",":=","c","de",-0.0393502048965504,0.0105493202288039,-3.73011758512254,0.000191390429837623,-0.060026492606386,-0.0186739171867149,0.00854276301664969,"volume",TRUE
"88","brain_bio.volume_of_caudate_.right..0.imaging","de",":=","c","de",-0.0386104548836721,0.0105468180203834,-3.66086290756617,0.000251367238067735,-0.0592818383551215,-0.0179390714122226,0.00854276301664969,"volume",TRUE
"98","brain_bio.volume_of_putamen_.left..0.imaging","de",":=","c","de",-0.0365876675906035,0.010534506776821,-3.47312582978322,0.00051443411077079,-0.0572349214680659,-0.0159404137131412,0.00854276301664969,"volume",TRUE
