"","features","mediator","lhs","op","rhs","label","est.std","se","z","pvalue","ci.lower","ci.upper","pvalue_adj","Number","cluster","nickname","sig"
"1","Autocorrelation_glcm_MYO_ED","heart_texture_Autocorrelation_glcm_MYO_ED","de",":=","c","de",-0.0341022063781479,0.0123555677083876,-2.7600679453197,0.00577893411482067,-0.0583186740951337,-0.00988573866116202,0.00804983942831224,215,"#FFD92F","Global Intensity",TRUE
"2","Autocorrelation_glcm_MYO_ES","heart_texture_Autocorrelation_glcm_MYO_ES","de",":=","c","de",-0.019457562068339,0.0124164513648057,-1.56707915141449,0.117096191724674,-0.0437933595591513,0.00487823542247333,0.12625186103648,235,"#FFD92F","Global Intensity",FALSE
"3","Busyness_ngtdm_MYO_ED","heart_texture_Busyness_ngtdm_MYO_ED","de",":=","c","de",-0.0344732379913785,0.0119115076322659,-2.89411206839993,0.00380232426518123,-0.0578193639521936,-0.0111271120305634,0.00550391689214079,63,"#FC8D62","Local Dimness",TRUE
"4","Busyness_ngtdm_MYO_ES","heart_texture_Busyness_ngtdm_MYO_ES","de",":=","c","de",-0.0370695858718828,0.0121842820344375,-3.04241035845278,0.00234691707911239,-0.0609503398368587,-0.0131888319069069,0.00355429060536096,57,"#FC8D62","Local Dimness",TRUE
"5","ClusterProminence_glcm_MYO_ED","heart_texture_ClusterProminence_glcm_MYO_ED","de",":=","c","de",-0.0369048097066148,0.0107772564228757,-3.42432324689622,0.000616332627807692,-0.0580278441476042,-0.0157817752656255,0.00117013875714214,111,"#E78AC3","Shape",TRUE
"6","ClusterProminence_glcm_MYO_ES","heart_texture_ClusterProminence_glcm_MYO_ES","de",":=","c","de",-0.0369502281157162,0.0107719214264606,-3.43023557755908,0.000603057428163245,-0.0580628061558744,-0.0158376500755581,0.00116003359044875,110,"#E78AC3","Shape",TRUE
"7","ClusterShade_glcm_MYO_ED","heart_texture_ClusterShade_glcm_MYO_ED","de",":=","c","de",-0.0365302153873385,0.0107789008350918,-3.38904828481311,0.000701356593052926,-0.0576564728170471,-0.0154039579576298,0.00129405230549202,115,"#E78AC3","Shape",TRUE
"8","ClusterShade_glcm_MYO_ES","heart_texture_ClusterShade_glcm_MYO_ES","de",":=","c","de",-0.0369754016717838,0.0107711006725534,-3.43283409893323,0.000597307462599339,-0.0580863710638435,-0.0158644322797241,0.00115921892741501,109,"#E78AC3","Shape",TRUE
"9","ClusterTendency_glcm_MYO_ED","heart_texture_ClusterTendency_glcm_MYO_ED","de",":=","c","de",-0.0374112019120948,0.0109113379999346,-3.42865392973062,0.000606582449967474,-0.0587970314151099,-0.0160253724090797,0.00116003359044875,171,"#A6D854","Global Variance",TRUE
"10","ClusterTendency_glcm_MYO_ES","heart_texture_ClusterTendency_glcm_MYO_ES","de",":=","c","de",-0.0347371892918379,0.0108885730311787,-3.19024257745899,0.00142153419538849,-0.0560784002759822,-0.0133959783076936,0.00229902443945545,223,"#FFD92F","Global Intensity",TRUE
