"","features","mediator","lhs","op","rhs","label","est.std","se","z","pvalue","ci.lower","ci.upper","pvalue_adj","Number","cluster","nickname","sig"
"1","Autocorrelation_glcm_MYO_ED","heart_texture_Autocorrelation_glcm_MYO_ED","de",":=","c","de",-0.0290748245375392,0.0115880967057033,-2.50902501730327,0.0121064909922426,-0.0517870767300848,-0.00636257234499348,0.0155485325488606,215,"#FFD92F","Global Intensity",TRUE
"2","Autocorrelation_glcm_MYO_ES","heart_texture_Autocorrelation_glcm_MYO_ES","de",":=","c","de",-0.018941138470915,0.0116481285176181,-1.62611001778235,0.103926253320254,-0.0417710508527403,0.00388877391091033,0.112052174361755,235,"#FFD92F","Global Intensity",FALSE
"3","Busyness_ngtdm_MYO_ED","heart_texture_Busyness_ngtdm_MYO_ED","de",":=","c","de",-0.0306585260878107,0.0109765591111303,-2.79309078349724,0.005220703784935,-0.0521721866198011,-0.00914486555582036,0.0073145689393207,63,"#FC8D62","Local Dimness",TRUE
"4","Busyness_ngtdm_MYO_ES","heart_texture_Busyness_ngtdm_MYO_ES","de",":=","c","de",-0.0297288136321675,0.0111290314915859,-2.67128488715699,0.00755614864277288,-0.0515413145384879,-0.00791631272584714,0.0101005660428903,57,"#FC8D62","Local Dimness",TRUE
"5","ClusterProminence_glcm_MYO_ED","heart_texture_ClusterProminence_glcm_MYO_ED","de",":=","c","de",-0.0427132595732768,0.0105820916991957,-4.03637208856576,5.42840996640148e-05,-0.0634537781848005,-0.021972740961753,0.000277624289743233,111,"#E78AC3","Shape",TRUE
"6","ClusterProminence_glcm_MYO_ES","heart_texture_ClusterProminence_glcm_MYO_ES","de",":=","c","de",-0.0427630028153674,0.0105817632172194,-4.04119823299206,5.31787807622752e-05,-0.0635028776140481,-0.0220231280166867,0.000277624289743233,110,"#E78AC3","Shape",TRUE
"7","ClusterShade_glcm_MYO_ED","heart_texture_ClusterShade_glcm_MYO_ED","de",":=","c","de",-0.0427079760771363,0.0105803706946226,-4.03652927764073,5.42477586755741e-05,-0.0634451215816797,-0.0219708305725929,0.000277624289743233,115,"#E78AC3","Shape",TRUE
"8","ClusterShade_glcm_MYO_ES","heart_texture_ClusterShade_glcm_MYO_ES","de",":=","c","de",-0.0427919970588628,0.010581392166696,-4.04408005910098,5.25289687944852e-05,-0.0635311446118813,-0.0220528495058443,0.000277624289743233,109,"#E78AC3","Shape",TRUE
"9","ClusterTendency_glcm_MYO_ED","heart_texture_ClusterTendency_glcm_MYO_ED","de",":=","c","de",-0.0418156155956038,0.0106109660926402,-3.94079249999746,8.12128553744351e-05,-0.0626127269783542,-0.0210185042128533,0.000299686874762,171,"#A6D854","Global Variance",TRUE
"10","ClusterTendency_glcm_MYO_ES","heart_texture_ClusterTendency_glcm_MYO_ES","de",":=","c","de",-0.0405675453709437,0.0106912730252897,-3.79445415667369,0.000147968616840632,-0.061522055449396,-0.0196130352924913,0.00037807447052768,223,"#FFD92F","Global Intensity",TRUE
"11","Coarseness_ngtdm_MYO_ED","heart_texture_Coarseness_ngtdm_MYO_ED","de",":=","c","de",-0.0351224720506703,0.0108281883543749,-3.24361480436198,0.00118023237172959,-0.056345331243061,-0.0138996128582795,0.00185858505215492,133,"#E78AC3","Shape",TRUE
"12","Coarseness_ngtdm_MYO_ES","heart_texture_Coarseness_ngtdm_MYO_ES","de",":=","c","de",-0.0408700892828675,0.0106495197782694,-3.83774011728339,0.000124171793566497,-0.0617427645009225,-0.0199974140648124,0.000349817310907764,131,"#E78AC3","Shape",TRUE
"13","Complexity_ngtdm_MYO_ED","heart_texture_Complexity_ngtdm_MYO_ED","de",":=","c","de",-0.0334104615964192,0.0107661527442622,-3.1032869763273,0.00191383959608848,-0.05451173322723,-0.0123091899656083,0.00293231563845136,204,"#FFD92F","Global Intensity",TRUE
