"","features","mediator","lhs","op","rhs","label","est.std","se","z","pvalue","ci.lower","ci.upper","pvalue_adj","Number","cluster","nickname","sig"
"1","Autocorrelation_glcm_MYO_ED","heart_texture_Autocorrelation_glcm_MYO_ED","ie",":=","a*b","ie",-0.00329484198846212,0.0059621000668942,-0.552631111771742,0.580516033561864,-0.0149803433917986,0.00839065941487436,0.631311186498527,215,"#FFD92F","Global Intensity",FALSE
"2","Autocorrelation_glcm_MYO_ES","heart_texture_Autocorrelation_glcm_MYO_ES","ie",":=","a*b","ie",-0.0163225204499674,0.00607378635699138,-2.68737151598672,0.00720168025746482,-0.0282269229594612,-0.00441811794047354,0.0131443255048833,235,"#FFD92F","Global Intensity",TRUE
"3","Busyness_ngtdm_MYO_ED","heart_texture_Busyness_ngtdm_MYO_ED","ie",":=","a*b","ie",-0.00204297314574505,0.00497622986217184,-0.41054637794674,0.681405189630897,-0.0117962044543946,0.00771025816290447,0.717124010055097,63,"#FC8D62","Local Dimness",FALSE
"4","Busyness_ngtdm_MYO_ES","heart_texture_Busyness_ngtdm_MYO_ES","ie",":=","a*b","ie",0.000214046372353787,0.00556975022344507,0.0384301564283421,0.96934471738216,-0.0107024634684825,0.01113055621319,0.96934471738216,57,"#FC8D62","Local Dimness",FALSE
"5","ClusterProminence_glcm_MYO_ED","heart_texture_ClusterProminence_glcm_MYO_ED","ie",":=","a*b","ie",-6.35189267771982e-05,0.000368116252208892,-0.172551269866655,0.863004158224051,-0.000785013523230489,0.000657975669676093,0.876436129558277,111,"#E78AC3","Shape",FALSE
"6","ClusterProminence_glcm_MYO_ES","heart_texture_ClusterProminence_glcm_MYO_ES","ie",":=","a*b","ie",-2.89230215487787e-05,0.000148362871295807,-0.1949478417084,0.845433780368895,-0.000319708905931512,0.000261862862833954,0.865326339906986,110,"#E78AC3","Shape",FALSE
"7","ClusterShade_glcm_MYO_ED","heart_texture_ClusterShade_glcm_MYO_ED","ie",":=","a*b","ie",-0.000411120811303378,0.000424788334691368,-0.967825097179468,0.333131727454594,-0.00124369064835121,0.00042144902574445,0.398841196631417,115,"#E78AC3","Shape",FALSE
"8","ClusterShade_glcm_MYO_ES","heart_texture_ClusterShade_glcm_MYO_ES","ie",":=","a*b","ie",2.75845545026716e-06,0,NA,NA,2.75845545026716e-06,2.75845545026716e-06,NA,109,"#E78AC3","Shape",FALSE
"9","ClusterTendency_glcm_MYO_ED","heart_texture_ClusterTendency_glcm_MYO_ED","ie",":=","a*b","ie",0.000591394258907757,0.00172617073979173,0.342604729228067,0.731895843770629,-0.0027918382222509,0.00397462674006641,0.758909738398522,171,"#A6D854","Global Variance",FALSE
"10","ClusterTendency_glcm_MYO_ES","heart_texture_ClusterTendency_glcm_MYO_ES","ie",":=","a*b","ie",-0.00216240494571461,0.00158470206285934,-1.36454983961648,0.172394579394066,-0.00526836391514526,0.000943554023716027,0.229566251131894,223,"#FFD92F","Global Intensity",FALSE
"11","Coarseness_ngtdm_MYO_ED","heart_texture_Coarseness_ngtdm_MYO_ED","ie",":=","a*b","ie",0.0109554504821861,0.00148136578818785,7.39550661257531,1.4077627952247e-13,0.00805202688940813,0.0138588740749641,1.76495182105637e-12,133,"#E78AC3","Shape",TRUE
"12","Coarseness_ngtdm_MYO_ES","heart_texture_Coarseness_ngtdm_MYO_ES","ie",":=","a*b","ie",0.0111121117409248,0.00181719604851368,6.11497683478547,9.65709956446403e-10,0.00755047293298953,0.0146737505488601,5.25104788817732e-09,131,"#E78AC3","Shape",TRUE
"13","Complexity_ngtdm_MYO_ED","heart_texture_Complexity_ngtdm_MYO_ED","ie",":=","a*b","ie",-0.00809645835373188,0.00338707783575359,-2.39039630807023,0.0168302008897976,-0.0147350089246428,-0.00145790778282096,0.0274542652014823,204,"#FFD92F","Global Intensity",TRUE
"14","Complexity_ngtdm_MYO_ES","heart_texture_Complexity_ngtdm_MYO_ES","ie",":=","a*b","ie",-0.00831046583489045,0.00347170677946235,-2.39376950958326,0.0166762246750192,-0.0151148860875202,-0.00150604558226071,0.0274542652014823,119,"#E78AC3","Shape",TRUE
"15","Contrast_glcm_MYO_ED","heart_texture_Contrast_glcm_MYO_ED","ie",":=","a*b","ie",0.00344378503113683,0.00320801032950582,1.07349561797307,0.283048803723353,-0.00284379967672705,0.00973136973900071,0.34683444963284,170,"#A6D854","Global Variance",FALSE
"16","Contrast_glcm_MYO_ES","heart_texture_Contrast_glcm_MYO_ES","ie",":=","a*b","ie",0.001947424311772,0.0021159500890835,0.920354559315482,0.357387506464259,-0.00219976165591598,0.00609461027945997,0.420171798140413,162,"#A6D854","Global Variance",FALSE
"17","Contrast_ngtdm_MYO_ED","heart_texture_Contrast_ngtdm_MYO_ED","ie",":=","a*b","ie",-0.00981240892907954,0.00198113849596625,-4.95291416983636,7.31102278272999e-07,-0.0136953690295592,-0.00592944882859984,2.51075913985859e-06,152,"#A6D854","Global Variance",TRUE
"18","Contrast_ngtdm_MYO_ES","heart_texture_Contrast_ngtdm_MYO_ES","ie",":=","a*b","ie",-0.00730310581471938,0.00223634041533794,-3.26565032972218,0.00109213018466625,-0.0116862524859531,-0.00291995914348567,0.00213981814793607,178,"#A6D854","Global Variance",TRUE
"19","Correlation_glcm_MYO_ED","heart_texture_Correlation_glcm_MYO_ED","ie",":=","a*b","ie",0.0010085227599155,0.000735840883767445,1.3705717936627,0.170508480784829,-0.00043369887062082,0.00245074439045181,0.228219043512002,191,"#FFD92F","Global Intensity",FALSE
"20","Correlation_glcm_MYO_ES","heart_texture_Correlation_glcm_MYO_ES","ie",":=","a*b","ie",-0.00154264578613695,0.000546476379979595,-2.82289563218552,0.00475920616603731,-0.00261371980929878,-0.000471571762975122,0.00893635114630027,98,"#8DA0CB","Local Uniformity",TRUE
"21","DependenceEntropy_gldm_MYO_ED","heart_texture_DependenceEntropy_gldm_MYO_ED","ie",":=","a*b","ie",-0.000911809589393507,0.000460399742367192,-1.98047371769876,0.0476503237436043,-0.00181417650292472,-9.44267586228998e-06,0.0723065959132601,189,"#FFD92F","Global Intensity",FALSE
"22","DependenceEntropy_gldm_MYO_ES","heart_texture_DependenceEntropy_gldm_MYO_ES","ie",":=","a*b","ie",-0.00502395571046728,0.00117533759308992,-4.27447887313762,1.91584869735362e-05,-0.00732757506259951,-0.00272033635833504,4.95656539595103e-05,96,"#8DA0CB","Local Uniformity",TRUE
