"","features","mediator","lhs","op","rhs","label","est.std","se","z","pvalue","ci.lower","ci.upper","pvalue_adj","Number","cluster","nickname","sig"
"1","Autocorrelation_glcm_MYO_ED","heart_texture_Autocorrelation_glcm_MYO_ED","ie",":=","a*b","ie",-0.0137158395608645,0.00472631366909272,-2.90201635379343,0.00370769184092734,-0.0229792441319256,-0.00445243498980341,0.00851767044537362,215,"#FFD92F","Global Intensity",TRUE
"2","Autocorrelation_glcm_MYO_ES","heart_texture_Autocorrelation_glcm_MYO_ES","ie",":=","a*b","ie",-0.0238495552731074,0.0048901186309481,-4.8770913495167,1.07661584403118e-06,-0.033434011669894,-0.0142650988763208,5.71952167141565e-06,235,"#FFD92F","Global Intensity",TRUE
"3","Busyness_ngtdm_MYO_ED","heart_texture_Busyness_ngtdm_MYO_ED","ie",":=","a*b","ie",-0.0121321599563239,0.00295158044877233,-4.11039447065389,3.94983765918955e-05,-0.0179171513333903,-0.00634716857925758,0.000142051925324496,63,"#FC8D62","Local Dimness",TRUE
"4","Busyness_ngtdm_MYO_ES","heart_texture_Busyness_ngtdm_MYO_ES","ie",":=","a*b","ie",-0.0130618628741527,0.00346726340887378,-3.76719658527341,0.000165090999446615,-0.0198575742804589,-0.00626615146784656,0.000526227560736087,57,"#FC8D62","Local Dimness",TRUE
"5","ClusterProminence_glcm_MYO_ED","heart_texture_ClusterProminence_glcm_MYO_ED","ie",":=","a*b","ie",-7.74331579304245e-05,0.000146815870529321,-0.527416808899826,0.597904173334016,-0.000365186976526789,0.00021032066066594,0.668708614913044,111,"#E78AC3","Shape",FALSE
"6","ClusterProminence_glcm_MYO_ES","heart_texture_ClusterProminence_glcm_MYO_ES","ie",":=","a*b","ie",-2.76847701263765e-05,0,NA,NA,-2.76847701263765e-05,-2.76847701263765e-05,NA,110,"#E78AC3","Shape",FALSE
"7","ClusterShade_glcm_MYO_ED","heart_texture_ClusterShade_glcm_MYO_ED","ie",":=","a*b","ie",-8.27130559138878e-05,0.00016146093261229,-0.512279066989558,0.608455713430554,-0.000399170668744225,0.000233744556916449,0.677538021505639,115,"#E78AC3","Shape",FALSE
"8","ClusterShade_glcm_MYO_ES","heart_texture_ClusterShade_glcm_MYO_ES","ie",":=","a*b","ie",1.30914509118034e-06,0,NA,NA,1.30914509118034e-06,1.30914509118034e-06,NA,109,"#E78AC3","Shape",FALSE
"9","ClusterTendency_glcm_MYO_ED","heart_texture_ClusterTendency_glcm_MYO_ED","ie",":=","a*b","ie",-0.000975073378261788,0.000803772990559358,-1.21312035825342,0.225083807516488,-0.00255043949150418,0.000600292734980606,0.309201625376338,171,"#A6D854","Global Variance",FALSE
"10","ClusterTendency_glcm_MYO_ES","heart_texture_ClusterTendency_glcm_MYO_ES","ie",":=","a*b","ie",-0.00222313130340453,0.00153479655459584,-1.4484859877666,0.147481181994323,-0.00523127727400854,0.000785014667199482,0.218649426793909,223,"#FFD92F","Global Intensity",FALSE
"11","Coarseness_ngtdm_MYO_ED","heart_texture_Coarseness_ngtdm_MYO_ED","ie",":=","a*b","ie",-0.00766821201034681,0.00232597166985538,-3.29677790564989,0.000978008050056767,-0.0122270327123239,-0.00310939130836977,0.00265310694430293,133,"#E78AC3","Shape",TRUE
"12","Coarseness_ngtdm_MYO_ES","heart_texture_Coarseness_ngtdm_MYO_ES","ie",":=","a*b","ie",-0.0019205755580858,0.00121457163857528,-1.5812781206868,0.113814459993945,-0.00430109222633714,0.000459941110165543,0.179317885667547,131,"#E78AC3","Shape",FALSE
"13","Complexity_ngtdm_MYO_ED","heart_texture_Complexity_ngtdm_MYO_ED","ie",":=","a*b","ie",-0.00938024703827786,0.00206037983598462,-4.55267852774108,5.29671791227315e-06,-0.0134185173112803,-0.00534197676527547,2.21420175021255e-05,204,"#FFD92F","Global Intensity",TRUE
"14","Complexity_ngtdm_MYO_ES","heart_texture_Complexity_ngtdm_MYO_ES","ie",":=","a*b","ie",-0.00999531483535453,0.00262732997391994,-3.80436219834301,0.000142170029363564,-0.0151447869597402,-0.0048458427109689,0.000464786634457806,119,"#E78AC3","Shape",TRUE
"15","Contrast_glcm_MYO_ED","heart_texture_Contrast_glcm_MYO_ED","ie",":=","a*b","ie",-0.00268900364724266,0.00125543012129789,-2.14189830371658,0.0322016664024605,-0.00514960147009328,-0.000228405824392041,0.0599374082673534,170,"#A6D854","Global Variance",FALSE
