"","lhs","op","rhs","est.std","se","z","pvalue","ci.lower","ci.upper","model.r","additional.r","pvalue_adj"
"1","cardio_latent_agg","~","cardio_latent_agg",0,0.00379737474085506,233.95062329686,0,0.880955469786917,0.895840905242673,NA,NA,0
"4","cardio_latent_agg","~","cardio_latent_gvrf",0.888398187514795,0.00379737474085506,233.95062329686,0,0.880955469786917,0.895840905242673,0.671404188811172,0.546624988218599,0
"7","cardio_latent_agg","~","cog_latent_g",-0.0298642940951315,0.0087127140317804,-3.42766834607435,0.000608788709801411,-0.0469408998050178,-0.0127876883852451,0.125636928730004,0.000857728137430902,0.000715872065922832
"10","cardio_latent_agg","~","heart_latent_pc1",0.369887993846571,0.00986592044039666,37.4914835449149,0,0.350551145109056,0.389224842584086,0.207213277349262,0.082434076756689,0
"13","cardio_latent_agg","~","heart_latent_pc2",-0.362315262385056,0.0082684572092277,-43.8189680634384,0,-0.378521140722853,-0.346109384047259,0.230280476265522,0.105501275672949,0
"16","cardio_latent_agg","~","heart_latent_pc3",0.19314625605207,0.00824505786562327,23.4257004862718,0,0.176986239585,0.20930627251914,0.161264090805,0.0364848902124277,0
"19","cardio_latent_agg","~","brain_latent_grey",-0.0841080829713145,0.0103929592842584,-8.09279442657956,6.66133814775094e-16,-0.104477908861252,-0.0637382570813769,0.129512819357692,0.00473361876511968,1.12371171557855e-15
"22","cardio_latent_agg","~","brain_latent_atrophy",-0.0452857578513997,0.0107033893537234,-4.23097360609854,2.32681976672922e-05,-0.0662640154972069,-0.0243075002055924,0.126084534159039,0.001305333566466,2.89648943375602e-05
"25","cardio_latent_agg","~","brain_latent_gMD",0.0392589312906426,0.00905306779991891,4.33653344460695,1.44747411465751e-05,0.0215152444532023,0.0570026181280829,0.126150276673438,0.00137107608086517,1.8595663892931e-05
"28","cardio_latent_agg","~","brain_latent_gFA",-0.0381223204869599,0.00882615408941361,-4.3192448376451,1.5656401169295e-05,-0.0554212646242115,-0.0208233763497083,0.126139405398487,0.0013602048059147,1.9831441481107e-05
"31","cardio_latent_agg","~","brain_latent_pc1",-0.0420000953470026,0.00915909543137428,-4.58561608640217,4.5264968571157e-06,-0.0599515925234615,-0.0240485981705436,0.126311665933448,0.00153246534087559,5.98698449673805e-06
"34","cardio_latent_agg","~","brain_latent_pc2",0.00824085096304017,0.00873399358458686,0.943537556242661,0.345406014840014,-0.00887746190395397,0.0253591638300343,0.124844319000311,6.51184077378186e-05,0.365664432132683
"37","cardio_latent_agg","~","brain_latent_pc3",-0.0417152834233792,0.00971474737818952,-4.29401628260903,1.754695971945e-05,-0.0607558384035356,-0.0226747284432229,0.126123589465778,0.00134438887320554,2.21329406362529e-05
"40","cardio_latent_agg","~","heart_latent_cc1",0.417682348802711,0.0142064522037767,29.4008907228556,0,0.389838214135219,0.445526483470203,0.179496163629418,0.0547169630368457,0
"43","cardio_latent_agg","~","heart_latent_cc2",-0.4190831483349,0.0078167018644397,-53.613807409161,0,-0.434403602467089,-0.403762694202711,0.266779045332522,0.14199984473995,0
"46","cardio_latent_agg","~","heart_latent_cc3",-0.329494560598577,0.00773509380396947,-42.5973580862701,0,-0.344655065871396,-0.314334055325758,0.225770846610847,0.100991646018275,0
"49","cardio_latent_agg","~","brain_latent_cc1",0.182949941785399,0.0130785095158591,13.9885926269773,0,0.157316534162851,0.208583349407947,0.138592089395541,0.0138128888029684,0
"52","cardio_latent_agg","~","brain_latent_cc2",-0.347064679919281,0.00952030795440686,-36.4551946829228,0,-0.365724140631648,-0.328405219206913,0.203524758857791,0.0787455582652178,0
"55","cardio_latent_agg","~","brain_latent_cc3",-0.208410453073875,0.00868984253314923,-23.9832255048178,0,-0.225442231470172,-0.191378674677578,0.162858816079732,0.0380796154871591,0
"58","cardio_latent_gvrf","~","cardio_latent_agg",0.703014356187146,0.00356323711169369,197.296540799943,0,0.69603053977985,0.709998172594442,0.739972932878787,0.432559664511932,0
"61","cardio_latent_gvrf","~","cardio_latent_gvrf",0,0.00379737474085506,233.95062329686,0,0.880955469786917,0.895840905242673,NA,NA,0
"64","cardio_latent_gvrf","~","cog_latent_g",-0.0263841393460922,0.00775187449011139,-3.4035818536212,0.000665084825646423,-0.0415775341593853,-0.0111907445327991,0.308082726992111,0.000669458625255692,0.000777008485625756
"67","cardio_latent_gvrf","~","heart_latent_pc1",0.460219508311338,0.00809691558545063,56.8388670296016,0,0.444349845377993,0.476089171244682,0.435026724025978,0.127613455659123,0
"70","cardio_latent_gvrf","~","heart_latent_pc2",-0.399561278094109,0.00700283948480624,-57.0570379288315,0,-0.413286591273844,-0.385835964914373,0.435720539492929,0.128307271126074,0
"73","cardio_latent_gvrf","~","heart_latent_pc3",0.203330522333116,0.0072633272688042,27.9941292479571,0,0.189094662478332,0.2175663821879,0.347847179611261,0.0404339112444057,0
"76","cardio_latent_gvrf","~","brain_latent_grey",-0.0675051142462966,0.00926243213549471,-7.28805493619858,3.14415160573844e-13,-0.0856591476411127,-0.0493510808514806,0.310462520710303,0.00304925234344811,5.11278707059269e-13
"79","cardio_latent_gvrf","~","brain_latent_atrophy",-0.0297502953739659,0.00952993561101638,-3.12177296765524,0.00179765509755425,-0.0484286259465437,-0.0110719648013881,0.307976617704432,0.000563349337577068,0.00207416899194889
"82","cardio_latent_gvrf","~","brain_latent_gMD",0.0325336159716211,0.00805697401802031,4.03794475430306,5.39215473336352e-05,0.0167422370719264,0.0483249948713159,0.308354831173142,0.000941562806287322,6.55410053449236e-05
"85","cardio_latent_gvrf","~","brain_latent_gFA",-0.0314035524095378,0.0078551205110119,-3.99784476450921,6.39218482694215e-05,-0.046799305705343,-0.0160077991137326,0.308336271177285,0.000923002810430007,7.71765459038835e-05
"88","cardio_latent_gvrf","~","brain_latent_pc1",-0.0322712799092197,0.00815345447841206,-3.95798860405299,7.55835629207002e-05,-0.0482517570364941,-0.0162908027819453,0.3083180057729,0.000904737406044687,9.06500538683481e-05
"91","cardio_latent_gvrf","~","brain_latent_pc2",0.0170529813545907,0.0077670953165468,2.19554166127735,0.0281247658233457,0.00182975426966924,0.0322762084395121,0.307692147361602,0.000278878994746545,0.0316294095396504
"94","cardio_latent_gvrf","~","brain_latent_pc3",-0.0373405046208411,0.00864391448816726,-4.31986048357568,1.56127875869938e-05,-0.0542822657030929,-0.0203987435385893,0.30849048635294,0.00107721798608473,1.9831441481107e-05
