"","mediator","lhs","op","rhs","label","est.std","se","z","pvalue","ci.lower","ci.upper"
"1","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","~","cardio_latent_gvrf","a",-0.0411489455411441,0.00888617391521958,-4.63067074015592,3.64483082071487e-06,-0.0585655263753337,-0.0237323647069544
"2","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","~","cov_age","",-0.358269758129393,0.00691009588149334,-51.847291886197,0,-0.371813297186838,-0.344726219071947
"3","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","~","cov_sex","",0.483452782007929,0.0076818203990296,62.9346635166061,0,0.468396690690126,0.498508873325732
"4","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","cog_latent_g","~","cardio_latent_gvrf","c",-0.0351631316161172,0.0104646260248829,-3.36018998982915,0.000778888896049379,-0.0556734217365684,-0.0146528414956661
"5","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","cog_latent_g","~","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","b",0.185364511209415,0.0104381250974576,17.7584105841541,0,0.164906161952275,0.205822860466556
"6","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","cog_latent_g","~","cov_age","",-0.113828217413217,0.00958856620572654,-11.871244873424,0,-0.132621461839819,-0.0950349729866155
"7","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","cog_latent_g","~","cov_sex","",0.0156625886526451,0.01146015257222,1.36669983701718,0.171719408978457,-0.00679889764624017,0.0381240749515303
"8","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","de",":=","c","de",-0.0351631316161172,0.0104646260248829,-3.36018998982915,0.000778888896049379,-0.0556734217365684,-0.0146528414956661
"9","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","ie",":=","a*b","ie",-0.00762755417701702,0.00170258759994126,-4.47997752202598,7.46509003790585e-06,-0.0109645645534264,-0.00429054380060765
"10","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","te",":=","c+a*b","te",-0.0427906857931342,0.0105813119785596,-4.04398678347626,5.25498828112259e-05,-0.0635296761802934,-0.0220516954059751
"11","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","~","cardio_latent_gvrf","a",0.0435356531959563,0.0093662904146633,4.64812121646362,3.34972056825755e-06,0.0251780613144735,0.0618932450774391
"12","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","~","cov_age","",0.364605976624939,0.00723787310119268,50.3747401380742,0,0.35042000602193,0.378791947227947
"13","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","~","cov_sex","",0.281978157647178,0.00882594385153954,31.9487821801622,0,0.264679625568588,0.299276689725768
"14","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","cog_latent_g","~","cardio_latent_gvrf","c",-0.0429294981142813,0.0105904217970295,-4.05361551570332,5.04320790661872e-05,-0.063686343417547,-0.0221726528110156
"15","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","cog_latent_g","~","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","b",0.00318825399774751,0.0101463059372231,0.31422805674043,0.753347834903382,-0.0166981402153347,0.0230746482108297
"16","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","cog_latent_g","~","cov_age","",-0.181401178995331,0.0095356374331238,-19.023497932629,0,-0.200090684933885,-0.162711673056776
"17","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","cog_latent_g","~","cov_sex","",0.104378548138325,0.0107155513799338,9.74084715171889,0,0.0833764533591667,0.125380642917484
"18","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","de",":=","c","de",-0.0429294981142813,0.0105904217970295,-4.05361551570332,5.04320790661872e-05,-0.063686343417547,-0.0221726528110156
"19","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","ie",":=","a*b","ie",0.000138802720346557,0.000442735292058771,0.313511759365529,0.753891888016937,-0.000728942506773457,0.00100654794746657
"20","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","te",":=","c+a*b","te",-0.0427906953939347,0.0105813119665542,-4.04398769540007,5.25496783039259e-05,-0.0635296857575637,-0.0220517050303058
"21","brain_bio.volume_of_grey_matter.0.imaging","brain_bio.volume_of_grey_matter.0.imaging","~","cardio_latent_gvrf","a",-0.0694978965651217,0.00878164499334255,-7.91399522729611,2.44249065417534e-15,-0.0867096044770895,-0.0522861886531538
"22","brain_bio.volume_of_grey_matter.0.imaging","brain_bio.volume_of_grey_matter.0.imaging","~","cov_age","",-0.354556417165201,0.00685587199022094,-51.7157288920989,0,-0.367993679348651,-0.341119154981751
"23","brain_bio.volume_of_grey_matter.0.imaging","brain_bio.volume_of_grey_matter.0.imaging","~","cov_sex","",0.510587520108829,0.00748102125539922,68.2510452353449,0,0.495924987880668,0.52525005233699
"24","brain_bio.volume_of_grey_matter.0.imaging","cog_latent_g","~","cardio_latent_gvrf","c",-0.0287421369090596,0.0104625905208694,-2.7471338815878,0.00601185881874122,-0.0492484375149538,-0.00823583630316546
"25","brain_bio.volume_of_grey_matter.0.imaging","cog_latent_g","~","brain_bio.volume_of_grey_matter.0.imaging","b",0.202143518279707,0.0105034329545724,19.2454713762617,0,0.181557167974714,0.2227298685847
"26","brain_bio.volume_of_grey_matter.0.imaging","cog_latent_g","~","cov_age","",-0.108567450933693,0.00957573375490925,-11.3377683332135,0,-0.12733554421886,-0.0897993576485266
"27","brain_bio.volume_of_grey_matter.0.imaging","cog_latent_g","~","cov_sex","",0.00206562330607402,0.0115944750037395,0.178155828996812,0.858600598059526,-0.0206591301209052,0.0247903767330533
"28","brain_bio.volume_of_grey_matter.0.imaging","de",":=","c","de",-0.0287421369090596,0.0104625905208694,-2.7471338815878,0.00601185881874122,-0.0492484375149538,-0.00823583630316546
"29","brain_bio.volume_of_grey_matter.0.imaging","ie",":=","a*b","ie",-0.0140485493247129,0.00192070092460288,-7.31428258546683,2.58681964737661e-13,-0.0178130539620073,-0.0102840446874184
"30","brain_bio.volume_of_grey_matter.0.imaging","te",":=","c+a*b","te",-0.0427906862337725,0.0105813119512082,-4.04398683557255,5.25498711281269e-05,-0.0635296765673238,-0.0220516959002212
"31","brain_bio.volume_of_white_matter.0.imaging","brain_bio.volume_of_white_matter.0.imaging","~","cardio_latent_gvrf","a",0.00658930604545075,0.00870967185416528,0.756550436776731,0.449319244545567,-0.0104813371058754,0.0236599491967769
"32","brain_bio.volume_of_white_matter.0.imaging","brain_bio.volume_of_white_matter.0.imaging","~","cov_age","",-0.144978422906849,0.00730267315066802,-19.8527881387636,0,-0.159291399273026,-0.130665446540672
"33","brain_bio.volume_of_white_matter.0.imaging","brain_bio.volume_of_white_matter.0.imaging","~","cov_sex","",0.582141932218963,0.00703473854451452,82.7524617347577,0,0.568354098031059,0.595929766406867
"34","brain_bio.volume_of_white_matter.0.imaging","cog_latent_g","~","cardio_latent_gvrf","c",-0.0439451339407912,0.0104706954876868,-4.19696418375162,2.70516694160783e-05,-0.0644673199897433,-0.023422947891839
