"","mediator","lhs","op","rhs","label","est.std","se","z","pvalue","ci.lower","ci.upper"
"1","heart_shape_Volume_LV_ED","heart_shape_Volume_LV_ED","~","cardio_latent_gvrf","a",0.088632782027863,0.0085091719673213,10.4161465261543,0,0.0719551114336554,0.105310452622071
"2","heart_shape_Volume_LV_ED","heart_shape_Volume_LV_ED","~","cov_age","",-0.205421242341589,0.00707453615920199,-29.0367082334287,0,-0.219287078420951,-0.191555406262227
"3","heart_shape_Volume_LV_ED","heart_shape_Volume_LV_ED","~","cov_sex","",0.563329882966647,0.00702266551377044,80.2159638476355,0,0.549565711484185,0.577094054449108
"4","heart_shape_Volume_LV_ED","cog_latent_g","~","cardio_latent_gvrf","c",-0.047271724890028,0.0107688321363999,-4.38967979919047,1.13517686963771e-05,-0.0683782480329294,-0.0261652017471265
"5","heart_shape_Volume_LV_ED","cog_latent_g","~","heart_shape_Volume_LV_ED","b",0.116184665833762,0.0114495739886693,10.1475099378143,0,0.0937439131776438,0.138625418489881
"6","heart_shape_Volume_LV_ED","cog_latent_g","~","cov_age","",-0.15352052420357,0.00928682971884063,-16.5309937676703,0,-0.171722375983054,-0.135318672424086
"7","heart_shape_Volume_LV_ED","cog_latent_g","~","cov_sex","",0.0361840684384911,0.0123545554974853,2.92880374739959,0.00340269188180953,0.0119695846184186,0.0603985522585636
"8","heart_shape_Volume_LV_ED","de",":=","c","de",-0.047271724890028,0.0107688321363999,-4.38967979919047,1.13517686963771e-05,-0.0683782480329294,-0.0261652017471265
"9","heart_shape_Volume_LV_ED","ie",":=","a*b","ie",0.010297770161824,0.00141813806150753,7.26147223696756,3.82804898890754e-13,0.00751827063616374,0.0130772696874842
"10","heart_shape_Volume_LV_ED","te",":=","c+a*b","te",-0.036973954728204,0.0107709612488132,-3.43274419748543,0.000597505539889243,-0.0580846508547545,-0.0158632586016535
"11","heart_shape_SurfaceArea_LV_ED","heart_shape_SurfaceArea_LV_ED","~","cardio_latent_gvrf","a",0.154316718216634,0.00821337385632404,18.7884687725271,0,0.138218801266677,0.170414635166592
"12","heart_shape_SurfaceArea_LV_ED","heart_shape_SurfaceArea_LV_ED","~","cov_age","",-0.186219174012463,0.00691345027792722,-26.9357797519728,0,-0.199769287566109,-0.172669060458817
"13","heart_shape_SurfaceArea_LV_ED","heart_shape_SurfaceArea_LV_ED","~","cov_sex","",0.554127775772534,0.00689138429895265,80.4087759054084,0,0.540620910742962,0.567634640802106
"14","heart_shape_SurfaceArea_LV_ED","cog_latent_g","~","cardio_latent_gvrf","c",-0.0523686936457557,0.0108860847162173,-4.81060868171828,1.50471357418525e-06,-0.0737050276221936,-0.0310323596693178
"15","heart_shape_SurfaceArea_LV_ED","cog_latent_g","~","heart_shape_SurfaceArea_LV_ED","b",0.0997606461287636,0.0118076249047534,8.44883259194681,0,0.0766181265724887,0.122903165685039
"16","heart_shape_SurfaceArea_LV_ED","cog_latent_g","~","cov_age","",-0.158809985305404,0.00924884622119184,-17.1707888213693,0,-0.17693739079749,-0.140682579813319
"17","heart_shape_SurfaceArea_LV_ED","cog_latent_g","~","cov_sex","",0.0463542220472005,0.0124069504091851,3.73614953863953,0.000186859571649434,0.0220370460872231,0.0706713980071778
"18","heart_shape_SurfaceArea_LV_ED","de",":=","c","de",-0.0523686936457557,0.0108860847162173,-4.81060868171828,1.50471357418525e-06,-0.0737050276221936,-0.0310323596693178
"19","heart_shape_SurfaceArea_LV_ED","ie",":=","a*b","ie",0.0153947355177618,0.00199966745541812,7.69864783069286,1.37667655053519e-14,0.0114754593240854,0.0193140117114382
"20","heart_shape_SurfaceArea_LV_ED","te",":=","c+a*b","te",-0.0369739581279939,0.0107709612189022,-3.43274452266226,0.000597504823326211,-0.0580846541959198,-0.0158632620600681
"21","heart_shape_SurfaceAreatoVolumeRatio_LV_ED","heart_shape_SurfaceAreatoVolumeRatio_LV_ED","~","cardio_latent_gvrf","a",0.0649457562849152,0.00982807513726442,6.60818678915721,3.89055454519394e-11,0.0456830829785234,0.084208429591307
"22","heart_shape_SurfaceAreatoVolumeRatio_LV_ED","heart_shape_SurfaceAreatoVolumeRatio_LV_ED","~","cov_age","",0.198824582595165,0.00815691264648969,24.3749799969636,0,0.182837327583006,0.214811837607325
"23","heart_shape_SurfaceAreatoVolumeRatio_LV_ED","heart_shape_SurfaceAreatoVolumeRatio_LV_ED","~","cov_sex","",-0.43668378735712,0.00868237023189282,-50.2954580021313,0,-0.453700920312073,-0.419666654402167
"24","heart_shape_SurfaceAreatoVolumeRatio_LV_ED","cog_latent_g","~","cardio_latent_gvrf","c",-0.0301918351095821,0.0107438609376236,-2.81014760753782,0.00495187834347655,-0.0512494156022312,-0.00913425461693304
"25","heart_shape_SurfaceAreatoVolumeRatio_LV_ED","cog_latent_g","~","heart_shape_SurfaceAreatoVolumeRatio_LV_ED","b",-0.104427585449103,0.0099242347364962,-10.5224824101623,0,-0.123878728106757,-0.0849764427914489
"26","heart_shape_SurfaceAreatoVolumeRatio_LV_ED","cog_latent_g","~","cov_age","",-0.156624539237312,0.00918854092233178,-17.045637665568,0,-0.174633748515554,-0.138615329959069
"27","heart_shape_SurfaceAreatoVolumeRatio_LV_ED","cog_latent_g","~","cov_sex","",0.056032532744959,0.0113725725916332,4.92698835672256,8.35067288651459e-07,0.0337427000537905,0.0783223654361274
"28","heart_shape_SurfaceAreatoVolumeRatio_LV_ED","de",":=","c","de",-0.0301918351095821,0.0107438609376236,-2.81014760753782,0.00495187834347655,-0.0512494156022312,-0.00913425461693304
"29","heart_shape_SurfaceAreatoVolumeRatio_LV_ED","ie",":=","a*b","ie",-0.00678212851399959,0.00121282482417388,-5.59200997441595,2.24455922737121e-08,-0.0091592214889365,-0.00440503553906267
"30","heart_shape_SurfaceAreatoVolumeRatio_LV_ED","te",":=","c+a*b","te",-0.0369739636235817,0.0107709612511165,-3.43274502261801,0.000597503721620374,-0.0580846597546466,-0.0158632674925168
"31","heart_shape_Sphericity_LV_ED","heart_shape_Sphericity_LV_ED","~","cardio_latent_gvrf","a",-0.262376786843211,0.00999108835774621,-26.2610816207813,0,-0.281958960190751,-0.242794613495671
"32","heart_shape_Sphericity_LV_ED","heart_shape_Sphericity_LV_ED","~","cov_age","",-0.0236255176219591,0.00880816691465455,-2.68222864653623,0.00731334558070129,-0.0408892075444993,-0.00636182769941888
"33","heart_shape_Sphericity_LV_ED","heart_shape_Sphericity_LV_ED","~","cov_sex","",-0.107723924455153,0.0100940527278101,-10.6720191938728,0,-0.12750790425971,-0.0879399446505974
"34","heart_shape_Sphericity_LV_ED","cog_latent_g","~","cardio_latent_gvrf","c",-0.0273777085449985,0.0110535690216692,-2.47682069848461,0.0132558476383677,-0.0490423057280977,-0.0057131113618993
"35","heart_shape_Sphericity_LV_ED","cog_latent_g","~","heart_shape_Sphericity_LV_ED","b",0.0365742897460539,0.00951331498942113,3.8445368188402,0.00012078035066887,0.0179285349932035,0.0552200444989044
"36","heart_shape_Sphericity_LV_ED","cog_latent_g","~","cov_age","",-0.176523242861828,0.00896637989685031,-19.687236643167,0,-0.194097024531358,-0.158949461192297
"37","heart_shape_Sphericity_LV_ED","cog_latent_g","~","cov_sex","",0.105574289377713,0.010553001341788,10.0041955798544,0,0.0848907868190057,0.126257791936421
"38","heart_shape_Sphericity_LV_ED","de",":=","c","de",-0.0273777085449985,0.0110535690216692,-2.47682069848461,0.0132558476383677,-0.0490423057280977,-0.0057131113618993
"39","heart_shape_Sphericity_LV_ED","ie",":=","a*b","ie",-0.00959624462464222,0.00252386665251599,-3.802199539772,0.000143417143449343,-0.0145429323653552,-0.00464955688392921
"40","heart_shape_Sphericity_LV_ED","te",":=","c+a*b","te",-0.0369739531696407,0.0107709612215856,-3.4327440614625,0.00059750583963103,-0.058084649242826,-0.0158632570964555
"41","heart_shape_Max3Ddiameter_LV_ED","heart_shape_Max3Ddiameter_LV_ED","~","cardio_latent_gvrf","a",0.0924852899407514,0.00896845838829636,10.312283999828,0,0.0749074345028444,0.110063145378658
"42","heart_shape_Max3Ddiameter_LV_ED","heart_shape_Max3Ddiameter_LV_ED","~","cov_age","",-0.178764125742531,0.00750543246762668,-23.8179647226988,0,-0.193474503067477,-0.164053748417585
"43","heart_shape_Max3Ddiameter_LV_ED","heart_shape_Max3Ddiameter_LV_ED","~","cov_sex","",0.508453641388462,0.00765748518968691,66.3995592277798,0,0.493445246204527,0.523462036572397
"44","heart_shape_Max3Ddiameter_LV_ED","cog_latent_g","~","cardio_latent_gvrf","c",-0.0446214320870945,0.0107892345301597,-4.13573659580407,3.53817857441374e-05,-0.0657679431869636,-0.0234749209872255
"45","heart_shape_Max3Ddiameter_LV_ED","cog_latent_g","~","heart_shape_Max3Ddiameter_LV_ED","b",0.0826884116812587,0.0109000879304651,7.58603161816238,3.30846461338297e-14,0.0613246319092273,0.10405219145329
"46","heart_shape_Max3Ddiameter_LV_ED","cog_latent_g","~","cov_age","",-0.16260560283899,0.00918902936171859,-17.6956233828573,0,-0.180615769440839,-0.14459543623714
"47","heart_shape_Max3Ddiameter_LV_ED","cog_latent_g","~","cov_sex","",0.0595911455387859,0.0119031038896004,5.00635347649531,5.54708510014379e-07,0.0362614906109305,0.0829208004666414
"48","heart_shape_Max3Ddiameter_LV_ED","de",":=","c","de",-0.0446214320870945,0.0107892345301597,-4.13573659580407,3.53817857441374e-05,-0.0657679431869636,-0.0234749209872255
"49","heart_shape_Max3Ddiameter_LV_ED","ie",":=","a*b","ie",0.00764746172908143,0.00125246975144256,6.10590532847065,1.02219588349328e-09,0.00519266612452818,0.0101022573336347
"50","heart_shape_Max3Ddiameter_LV_ED","te",":=","c+a*b","te",-0.0369739703580131,0.0107709612224175,-3.4327456570041,0.000597502323685273,-0.0580846664328288,-0.0158632742831974
"51","heart_shape_Max2DdiameterSlice_LV_ED","heart_shape_Max2DdiameterSlice_LV_ED","~","cardio_latent_gvrf","a",0.137966940266018,0.00981958135713387,14.0501855678181,0,0.118720914462775,0.157212966069262
"52","heart_shape_Max2DdiameterSlice_LV_ED","heart_shape_Max2DdiameterSlice_LV_ED","~","cov_age","",-0.141633991575035,0.00832133335304417,-17.0205885963241,0,-0.157943505250354,-0.125324477899717
"53","heart_shape_Max2DdiameterSlice_LV_ED","heart_shape_Max2DdiameterSlice_LV_ED","~","cov_sex","",0.337501296182138,0.00914513970682345,36.9049907384486,0,0.319577151723177,0.355425440641099
"54","heart_shape_Max2DdiameterSlice_LV_ED","cog_latent_g","~","cardio_latent_gvrf","c",-0.0427632619554798,0.0108474609587251,-3.94223700073181,8.07251483065929e-05,-0.0640238947582853,-0.0215026291526743
"55","heart_shape_Max2DdiameterSlice_LV_ED","cog_latent_g","~","heart_shape_Max2DdiameterSlice_LV_ED","b",0.0419615751228256,0.00993454404122529,4.22380483177668,2.40212089572811e-05,0.022490226599197,0.0614329236464542
"56","heart_shape_Max2DdiameterSlice_LV_ED","cog_latent_g","~","cov_age","",-0.171444137756405,0.00908392945264662,-18.8733453567778,0,-0.189248312321695,-0.153639963191115
"57","heart_shape_Max2DdiameterSlice_LV_ED","cog_latent_g","~","cov_sex","",0.0874722769753283,0.0110435189915033,7.92068878068918,2.44249065417534e-15,0.0658273774893977,0.109117176461259
"58","heart_shape_Max2DdiameterSlice_LV_ED","de",":=","c","de",-0.0427632619554798,0.0108474609587251,-3.94223700073181,8.07251483065929e-05,-0.0640238947582853,-0.0215026291526743
"59","heart_shape_Max2DdiameterSlice_LV_ED","ie",":=","a*b","ie",0.00578931012843891,0.00143190284905855,4.04308863010175,5.27516686030793e-05,0.00298283211492387,0.00859578814195396
"60","heart_shape_Max2DdiameterSlice_LV_ED","te",":=","c+a*b","te",-0.0369739518270409,0.0107709612446086,-3.43274392947503,0.000597506130480374,-0.0580846479453504,-0.0158632557087313
"61","heart_shape_Max2DdiameterColumn_LV_ED","heart_shape_Max2DdiameterColumn_LV_ED","~","cardio_latent_gvrf","a",0.0909888193920184,0.00860649472453031,10.5721112141835,0,0.074120399698805,0.107857239085232
"62","heart_shape_Max2DdiameterColumn_LV_ED","heart_shape_Max2DdiameterColumn_LV_ED","~","cov_age","",-0.209142939743985,0.00714860466959016,-29.2564702358867,0,-0.223153947436097,-0.195131932051874
"63","heart_shape_Max2DdiameterColumn_LV_ED","heart_shape_Max2DdiameterColumn_LV_ED","~","cov_sex","",0.549028603168308,0.00717169163767253,76.5549651192878,0,0.534972345850243,0.563084860486373
"64","heart_shape_Max2DdiameterColumn_LV_ED","cog_latent_g","~","cardio_latent_gvrf","c",-0.0467649962108291,0.0107761392591906,-4.33968001767839,1.42690335969142e-05,-0.0678858410512309,-0.0256441513704274
"65","heart_shape_Max2DdiameterColumn_LV_ED","cog_latent_g","~","heart_shape_Max2DdiameterColumn_LV_ED","b",0.10760700520617,0.0113297978383168,9.49769861226024,0,0.0854010094909496,0.129813000921391
"66","heart_shape_Max2DdiameterColumn_LV_ED","cog_latent_g","~","cov_age","",-0.154882077634982,0.00929280955778937,-16.6668730992294,0,-0.173095649683438,-0.136668505586525
"67","heart_shape_Max2DdiameterColumn_LV_ED","cog_latent_g","~","cov_sex","",0.0425550400916767,0.0122358383848599,3.47790145253409,0.00050535568046306,0.0185732375366985,0.0665368426466548
"68","heart_shape_Max2DdiameterColumn_LV_ED","de",":=","c","de",-0.0467649962108291,0.0107761392591906,-4.33968001767839,1.42690335969142e-05,-0.0678858410512309,-0.0256441513704274
"69","heart_shape_Max2DdiameterColumn_LV_ED","ie",":=","a*b","ie",0.00979103436202021,0.00138709146994725,7.05867967192715,1.68087765928249e-12,0.00707238503766088,0.0125096836863795
"70","heart_shape_Max2DdiameterColumn_LV_ED","te",":=","c+a*b","te",-0.0369739618488089,0.0107709612433348,-3.43274486032422,0.000597504079251854,-0.0580846579646219,-0.015863265732996
"71","heart_shape_Max2DdiameterRow_LV_ED","heart_shape_Max2DdiameterRow_LV_ED","~","cardio_latent_gvrf","a",0.0816997258681941,0.0089563592278028,9.12197956671696,0,0.0641455843490976,0.0992538673872905
"72","heart_shape_Max2DdiameterRow_LV_ED","heart_shape_Max2DdiameterRow_LV_ED","~","cov_age","",-0.188419574995628,0.00747125562290555,-25.2192649409514,0,-0.203062966935815,-0.17377618305544
"73","heart_shape_Max2DdiameterRow_LV_ED","heart_shape_Max2DdiameterRow_LV_ED","~","cov_sex","",0.515182210545814,0.00760820903000913,67.7139926773537,0,0.500270394860144,0.530094026231485
"74","heart_shape_Max2DdiameterRow_LV_ED","cog_latent_g","~","cardio_latent_gvrf","c",-0.0443911626743302,0.0107739462364864,-4.120232429228,3.78490385479768e-05,-0.0655077092692144,-0.023274616079446
"75","heart_shape_Max2DdiameterRow_LV_ED","cog_latent_g","~","heart_shape_Max2DdiameterRow_LV_ED","b",0.0907862396361449,0.0109139573135331,8.31836125321578,0,0.0693952763728125,0.112177202899477
"76","heart_shape_Max2DdiameterRow_LV_ED","cog_latent_g","~","cov_age","",-0.16028142090552,0.00921350350160909,-17.3963596885297,0,-0.178339555940107,-0.142223285870932
"77","heart_shape_Max2DdiameterRow_LV_ED","cog_latent_g","~","cov_sex","",0.0548629039709669,0.0119404661861619,4.59470368372624,4.33364642393741e-06,0.0314600202874712,0.0782657876544626
"78","heart_shape_Max2DdiameterRow_LV_ED","de",":=","c","de",-0.0443911626743302,0.0107739462364864,-4.120232429228,3.78490385479768e-05,-0.0655077092692144,-0.023274616079446
"79","heart_shape_Max2DdiameterRow_LV_ED","ie",":=","a*b","ie",0.00741721089087721,0.00120771827358269,6.14150754618797,8.17419465448666e-10,0.00505012657118424,0.00978429521057018
"80","heart_shape_Max2DdiameterRow_LV_ED","te",":=","c+a*b","te",-0.036973951783453,0.010770961246535,-3.43274392481427,0.000597506140750825,-0.0580846479055383,-0.0158632556613678
"81","heart_shape_MajorAxis_LV_ED","heart_shape_MajorAxis_LV_ED","~","cardio_latent_gvrf","a",0.125818522273317,0.00850293696614625,14.7970663282878,0,0.109153072056856,0.142483972489777
"82","heart_shape_MajorAxis_LV_ED","heart_shape_MajorAxis_LV_ED","~","cov_age","",-0.179034846988131,0.00714199992472345,-25.0678869889605,0,-0.193032909618177,-0.165036784358086
"83","heart_shape_MajorAxis_LV_ED","heart_shape_MajorAxis_LV_ED","~","cov_sex","",0.543842542311192,0.00714173112505331,76.1499603931298,0,0.529845006518819,0.557840078103565
"84","heart_shape_MajorAxis_LV_ED","cog_latent_g","~","cardio_latent_gvrf","c",-0.0491318424593001,0.0108301813498498,-4.53656692092063,5.71773517887841e-06,-0.0703586078510431,-0.0279050770675571
"85","heart_shape_MajorAxis_LV_ED","cog_latent_g","~","heart_shape_MajorAxis_LV_ED","b",0.0966302943301598,0.011446250229461,8.44209172375483,0,0.0741960561223829,0.119064532537937
"86","heart_shape_MajorAxis_LV_ED","cog_latent_g","~","cov_age","",-0.160087135158217,0.0092116396814527,-17.3787882173189,0,-0.178141617172425,-0.14203265314401
"87","heart_shape_MajorAxis_LV_ED","cog_latent_g","~","cov_sex","",0.0490827006471948,0.0122398688687855,4.01006752387415,6.07013862723438e-05,0.0250929984888823,0.0730724028055073
"88","heart_shape_MajorAxis_LV_ED","de",":=","c","de",-0.0491318424593001,0.0108301813498498,-4.53656692092063,5.71773517887841e-06,-0.0703586078510431,-0.0279050770675571
"89","heart_shape_MajorAxis_LV_ED","ie",":=","a*b","ie",0.0121578808394563,0.00165959149372235,7.3258274011679,2.37365682664858e-13,0.00890514128271151,0.0154106203962012
"90","heart_shape_MajorAxis_LV_ED","te",":=","c+a*b","te",-0.0369739616198438,0.0107709612328471,-3.43274484240906,0.00059750411872983,-0.0580846577151012,-0.0158632655245864
"91","heart_shape_MinorAxis_LV_ED","heart_shape_MinorAxis_LV_ED","~","cardio_latent_gvrf","a",0.0999018412313892,0.00936883878683129,10.663204213932,0,0.081539254632238,0.11826442783054
"92","heart_shape_MinorAxis_LV_ED","heart_shape_MinorAxis_LV_ED","~","cov_age","",-0.199776978396709,0.00780006865634954,-25.61220768667,0,-0.215064832040094,-0.184489124753324
"93","heart_shape_MinorAxis_LV_ED","heart_shape_MinorAxis_LV_ED","~","cov_sex","",0.437354938194839,0.00832038779544366,52.5642492810659,0,0.421047277778363,0.453662598611315
"94","heart_shape_MinorAxis_LV_ED","cog_latent_g","~","cardio_latent_gvrf","c",-0.0442411950869209,0.010796599888389,-4.09769701056525,4.17280979214674e-05,-0.0654021420236526,-0.0230802481501892
"95","heart_shape_MinorAxis_LV_ED","cog_latent_g","~","heart_shape_MinorAxis_LV_ED","b",0.0727438044007705,0.0104342298457738,6.97165056510941,3.13238324167742e-12,0.0522930896966409,0.0931945191049001
"96","heart_shape_MinorAxis_LV_ED","cog_latent_g","~","cov_age","",-0.162854788568097,0.00922143680010668,-17.6604570522256,0,-0.180928472582018,-0.144781104554175
"97","heart_shape_MinorAxis_LV_ED","cog_latent_g","~","cov_sex","",0.0698194935460436,0.0114741009181719,6.0849642202003,1.16517329118437e-09,0.0473306689914486,0.0923083181006385
"98","heart_shape_MinorAxis_LV_ED","de",":=","c","de",-0.0442411950869209,0.010796599888389,-4.09769701056525,4.17280979214674e-05,-0.0654021420236526,-0.0230802481501892
"99","heart_shape_MinorAxis_LV_ED","ie",":=","a*b","ie",0.00726723999781301,0.00124645958237215,5.83030537097936,5.53260348645779e-09,0.00482422410817876,0.00971025588744725
"100","heart_shape_MinorAxis_LV_ED","te",":=","c+a*b","te",-0.0369739550891079,0.0107709612454296,-3.43274423207094,0.000597505463676207,-0.0580846512090265,-0.0158632589691893
"101","heart_shape_LeastAxis_LV_ED","heart_shape_LeastAxis_LV_ED","~","cardio_latent_gvrf","a",0.105139865062639,0.00921853639463019,11.4052665804827,0,0.0870718657389919,0.123207864386286
"102","heart_shape_LeastAxis_LV_ED","heart_shape_LeastAxis_LV_ED","~","cov_age","",-0.150071663557046,0.00777090787543022,-19.311985930439,0,-0.165302363120068,-0.134840963994024
"103","heart_shape_LeastAxis_LV_ED","heart_shape_LeastAxis_LV_ED","~","cov_sex","",0.469339380119806,0.00805492972169947,58.2673463749082,0,0.453552007967274,0.485126752272338
"104","heart_shape_LeastAxis_LV_ED","cog_latent_g","~","cardio_latent_gvrf","c",-0.0461254254545997,0.0107944086447334,-4.27308498063063,1.92786939212652e-05,-0.067282077632685,-0.0249687732765144
