"","mediator","lhs","op","rhs","label","est.std","se","z","pvalue","ci.lower","ci.upper","pvalue_adj"
"1","heart_latent_pc1","heart_latent_pc1","~","cardio_latent_gvrf","a",0.397652638133107,0.00686132628094887,57.9556519906694,0,0.384204685736269,0.411100590529945,0
"2","heart_latent_pc1","heart_latent_pc1","~","cov_age","",-0.0928783346993263,0.00623287110712721,-14.9013725942641,0,-0.105094537589576,-0.0806621318090766,0
"3","heart_latent_pc1","heart_latent_pc1","~","cov_sex","",0.421435496131418,0.00664183834341951,63.4516340719074,0,0.408417732187179,0.434453260075657,0
"4","heart_latent_pc1","cog_latent_g","~","cardio_latent_gvrf","c",-0.0817342943052207,0.0112933884730438,-7.2373579019541,4.57411886145564e-13,-0.103868928975806,-0.0595996596346351,4.57411886145564e-13
"5","heart_latent_pc1","cog_latent_g","~","heart_latent_pc1","b",0.0896923700120677,0.0120381699247798,7.45066489113449,9.28146448586631e-14,0.0660979905197261,0.113286749504409,9.28146448586631e-14
"6","heart_latent_pc1","cog_latent_g","~","cov_age","",-0.149773995670363,0.00864105342742238,-17.3328399052661,0,-0.166710149176597,-0.132837842164129,0
"7","heart_latent_pc1","cog_latent_g","~","cov_sex","",0.0726870490217602,0.0112500635929687,6.46103450181289,1.0398970573533e-10,0.0506373295557562,0.0947367684877642,1.0398970573533e-10
"8","heart_latent_pc1","de",":=","c","de",-0.0817342943052207,0.0112933884730438,-7.2373579019541,4.57411886145564e-13,-0.103868928975806,-0.0595996596346351,4.57411886145564e-12
"9","heart_latent_pc1","ie",":=","a*b","ie",0.0356664075557095,0.00482902251756666,7.38584411772048,1.51434420558871e-13,0.0262016973407459,0.0451311177706731,7.57172102794357e-13
"10","heart_latent_pc1","te",":=","c+a*b","te",-0.0460678867495112,0.010268885733624,-4.48616217421417,7.25175523408339e-06,-0.0661945329487714,-0.0259412405502511,7.25175523408339e-06
"11","heart_latent_pc2","heart_latent_pc2","~","cardio_latent_gvrf","a",-0.466576384015664,0.00756733333351848,-61.6566448776648,0,-0.48140808480837,-0.451744683222959,0
"12","heart_latent_pc2","heart_latent_pc2","~","cov_age","",-0.104345247964502,0.00712605534049286,-14.6427782242406,0,-0.118312059783708,-0.090378436145297,0
"13","heart_latent_pc2","heart_latent_pc2","~","cov_sex","",0.659537302437623,0.00635540465098292,103.775815806728,0,0.647080938214518,0.671993666660728,0
"14","heart_latent_pc2","cog_latent_g","~","cardio_latent_gvrf","c",-0.00466198997525029,0.0113684043928647,-0.410083052479763,0.681745024328791,-0.026943653146952,0.0176196731964514,0.681745024328791
"15","heart_latent_pc2","cog_latent_g","~","heart_latent_pc2","b",0.0887440762275952,0.0104995215336097,8.45220193544245,0,0.0681653921668175,0.109322760288373,0
"16","heart_latent_pc2","cog_latent_g","~","cov_age","",-0.148844403414212,0.00863497034939619,-17.2373960061854,0,-0.165768634306599,-0.131920172521824,0
"17","heart_latent_pc2","cog_latent_g","~","cov_sex","",0.0519565646345424,0.0122098035247099,4.25531537255239,2.08754561974445e-05,0.0280257894678008,0.075887339801284,2.08754561974445e-05
"18","heart_latent_pc2","de",":=","c","de",-0.00466198997525029,0.0113684043928647,-0.410083052479763,0.681745024328791,-0.026943653146952,0.0176196731964514,0.681745024328791
"19","heart_latent_pc2","ie",":=","a*b","ie",-0.0414058901890819,0.00495022028074256,-8.36445407291466,0,-0.051108143654877,-0.0317036367232867,0
"20","heart_latent_pc2","te",":=","c+a*b","te",-0.0460678801643321,0.0102688858234774,-4.48616149368502,7.2517783844539e-06,-0.0661945265397017,-0.0259412337889626,7.2517783844539e-06
"21","heart_latent_pc3","heart_latent_pc3","~","cardio_latent_gvrf","a",-0.292397892547713,0.0095880108130742,-30.4961997069298,0,-0.311190048424719,-0.273605736670707,0
"22","heart_latent_pc3","heart_latent_pc3","~","cov_age","",0.177048581407121,0.00832377848492068,21.2702178136842,0,0.160734275361387,0.193362887452855,0
"23","heart_latent_pc3","heart_latent_pc3","~","cov_sex","",0.064593010172927,0.00981635208199141,6.58014399172031,4.69992933460617e-11,0.045353313632659,0.0838327067131949,4.69992933460617e-11
"24","heart_latent_pc3","cog_latent_g","~","cardio_latent_gvrf","c",-0.0480865387921985,0.0105921985271497,-4.53980716741136,5.6305698752368e-06,-0.0688468664225102,-0.0273262111618868,5.6305698752368e-06
"25","heart_latent_pc3","cog_latent_g","~","heart_latent_pc3","b",-0.00690384310564033,0.00889833541250312,-0.775857818973612,0.437832940526077,-0.0243442600365038,0.0105365738252231,0.437832940526077
"26","heart_latent_pc3","cog_latent_g","~","cov_age","",-0.156882099668881,0.00871539432019552,-18.0005739161279,0,-0.173963958647529,-0.139800240690232,0
"27","heart_latent_pc3","cog_latent_g","~","cov_sex","",0.110932522676654,0.0100348773819703,11.0546963808413,0,0.0912645244187161,0.130600520934591,0
"28","heart_latent_pc3","de",":=","c","de",-0.0480865387921985,0.0105921985271497,-4.53980716741136,5.6305698752368e-06,-0.0688468664225102,-0.0273262111618868,1.87685662507893e-05
"29","heart_latent_pc3","ie",":=","a*b","ie",0.00201866917456929,0.00260274634177598,0.775591974587833,0.437989940432633,-0.003082619916205,0.00711995826534358,0.437989940432633
"30","heart_latent_pc3","te",":=","c+a*b","te",-0.0460678696176292,0.0102688858498915,-4.48616045509124,7.25181371574735e-06,-0.0661945160447695,-0.0259412231904889,7.25181371574735e-06
"31","brain_latent_grey","brain_latent_grey","~","cardio_latent_gvrf","a",-0.067338611176961,0.00850616602876825,-7.91644683976526,2.44249065417534e-15,-0.0840103902398649,-0.0506668321140571,2.44249065417534e-15
"32","brain_latent_grey","brain_latent_grey","~","cov_age","",-0.35744624337597,0.00662059698874213,-53.9900320143007,0,-0.370422375030059,-0.344470111721882,0
"33","brain_latent_grey","brain_latent_grey","~","cov_sex","",0.504210282562207,0.00727907249044039,69.2684793597518,0,0.489943562640088,0.518477002484326,0
"34","brain_latent_grey","cog_latent_g","~","cardio_latent_gvrf","c",-0.0333374038632454,0.0101710884194837,-3.27766336190574,0.0010467014379798,-0.0532723708490058,-0.013402436877485,0.0010467014379798
"35","brain_latent_grey","cog_latent_g","~","brain_latent_grey","b",0.189051579999218,0.0102114286759537,18.5137247684454,0,0.169037547563649,0.209065612434786,0
"36","brain_latent_grey","cog_latent_g","~","cov_age","",-0.0905286546850974,0.00933106954160969,-9.70185189183366,0,-0.108817214923891,-0.0722400944463037,0
"37","brain_latent_grey","cog_latent_g","~","cov_sex","",0.0151648461312762,0.0112409059230384,1.34907686578852,0.177312278093398,-0.00686692463148194,0.0371966168940343,0.177312278093398
"38","brain_latent_grey","de",":=","c","de",-0.0333374038632454,0.0101710884194837,-3.27766336190574,0.0010467014379798,-0.0532723708490058,-0.013402436877485,0.00116300159775534
"39","brain_latent_grey","ie",":=","a*b","ie",-0.0127304708379574,0.00175002775689365,-7.27443938406693,3.47943895917524e-13,-0.0161604622134144,-0.00930047946250049,1.15981298639175e-12
"40","brain_latent_grey","te",":=","c+a*b","te",-0.0460678747012028,0.0102688858200386,-4.48616096317933,7.25179643135121e-06,-0.0661945210698325,-0.0259412283325732,7.25179643135121e-06
"41","brain_latent_atrophy","brain_latent_atrophy","~","cardio_latent_gvrf","a",-0.0301828944504136,0.00833488133332305,-3.62127464607585,0.000293155098794351,-0.0465189616791419,-0.0138468272216852,0.000293155098794351
