"","mean.in.group.Control","mean.in.group.Risk","ci.lower","ci.upper","p.value","diff","percent.diff","pvalue_adj","significant"
"cov_sex",0.634782608695652,0.634782608695652,-0.0884265672678478,0.0884265672678478,1,0,0,1,FALSE
"cov_age",56.2913043478261,56.2826086956522,-1.23237233688444,1.21498103253661,0.988864180441173,-0.00869565217391255,-0.0154475940372278,0.993935278802409,FALSE
"cov_bsa",1.8970735517913,1.89638566582609,-0.026991206049747,0.025615434119312,0.959034702472289,-0.000687885965217516,-0.0362603740149127,0.973756580256113,FALSE
"cov_headsize",1.2706552173913,1.2763776,-0.0168251619221146,0.0282699271395058,0.618197115344771,0.00572238260869562,0.450348964091444,0.683270495907379,FALSE
"cardio_hypertension",0,129,0.496250695587132,0.62548843484765,8.36791957557376e-43,0.560869565217391,Inf,8.20056118406228e-41,TRUE
"cardio_pack_years",0,15.0967391304348,12.8967099536122,17.2967683072574,5.1703450897444e-31,15.0967391304348,Inf,1.99122163907746e-29,TRUE
"cardio_sbp",131.930434782609,141.723913043478,7.07234711197552,12.5146094097636,5.74736301184298e-12,9.79347826086956,7.42321381492222,3.67331462061269e-11,TRUE
"cardio_dbp",78.954347826087,84.804347826087,4.13870162083061,7.56129837916938,5.50358750499099e-11,5.84999999999999,7.40934497095184,3.33619531230382e-10,TRUE
"cardio_diabetes",0,48,0.15578292728371,0.261608377064116,2.60176722021558e-13,0.208695652173913,Inf,1.84317966926116e-12,TRUE
"cardio_hyperchol",0,200,0.825714223635521,0.913416211147088,2.91180310656433e-103,0.869565217391304,Inf,5.70713408886609e-101,TRUE
"cardio_bmi",23.2297828911739,28.2571887302174,4.63983970956656,5.4149719685204,8.51980143563017e-81,5.02740583904348,21.6420698488475,1.25241081103763e-78,TRUE
"cardio_whr",0.822350925773258,0.929517803694547,0.0969873266178657,0.117346429224711,1.26642242630972e-67,0.107166877921288,13.0317695964796,1.48931277334023e-65,TRUE
"cardio_latent_agg",0,4.21304347826087,4.1557316106164,4.27035534590534,3.45885304508466e-227,4.21304347826087,Inf,2.03380559050978e-224,TRUE
"cardio_latent_gvrf",-0.047510441907996,0.0960699292363892,0.136355222344294,0.150805519944476,6.5393207060792e-146,0.143580371144385,-302.208031283794,1.92256028758728e-143,TRUE
"cog_vnr",7.35652173913043,6.74782608695652,-0.990692734848616,-0.22669856949921,0.0018513142706306,-0.608695652173913,-8.274231678487,0.00404673900048621,TRUE
"cog_vismem",1.33475318667087,1.33416622983159,-0.113365096881201,0.112191183202654,0.991843832767918,-0.000586956839273123,-0.0439749344773701,0.995228965302962,FALSE
"cog_rt",6.37433617396222,6.37766996419978,-0.027954241509168,0.0346218219842886,0.834235721033491,0.00333379023756031,0.0523001948215113,0.866661844465888,FALSE
"cog_prosmem",202,197,-0.0839935896199252,0.04051532875036,0.492912190671162,-0.0217391304347826,-2.47524752475247,0.568298761009104,FALSE
"cog_latent_g",0.101204207845901,-0.0544778281178425,-0.286017355065904,-0.0253467168615819,0.0193339648590439,-0.155682035963743,-153.829607757806,0.0332408518629175,TRUE
"heart_cmr_LVEDV",162.271071435174,146.336610434043,-21.8449688429556,-10.0239531593053,1.83394734755863e-07,-15.9344610011304,-9.81965599918784,8.6964600029393e-07,TRUE
"heart_cmr_LVESV",66.890070509913,58.7089285934348,-11.5556792545672,-4.80660457838931,2.5484363077434e-06,-8.18114191647826,-12.2307270034434,1.01248685740076e-05,TRUE
"heart_cmr_LVSV",95.3810000986087,87.627683186913,-11.1110680987359,-4.39556572465545,7.30312125689297e-06,-7.75331691169565,-8.12878550621189,2.68389706190817e-05,TRUE
"heart_cmr_LVEF",59.1054719618696,60.2357972111304,0.100272377366623,2.1603781211551,0.031568573907715,1.13032524926086,1.91238680910976,0.0514191730131203,FALSE
"heart_cmr_LVCO",5.58954851587826,5.68141522532609,-0.120324349610066,0.304057768505719,0.395310922823164,0.0918667094478263,1.64354436117443,0.476317259467255,FALSE
"heart_cmr_LVM",91.267214831913,90.6467617668261,-4.37267376353168,3.13176763335779,0.745360680542427,-0.620453065086949,-0.679820312507222,0.786843950016063,FALSE
"heart_cmr_RVEDV",174.341531982087,153.412075602043,-27.4127185660919,-14.4461941939951,5.61359295178997e-10,-20.9294563800435,-12.0048597382946,3.20465306374029e-09,TRUE
"heart_cmr_RVESV",76.1842389622609,65.0830445736957,-14.9009863198013,-7.30140245732913,1.74845742534149e-08,-11.1011943885652,-14.5715105115959,9.34629969182544e-08,TRUE
"heart_cmr_RVSV",98.1572949762174,88.3290315024348,-13.2608407790927,-6.39568616847253,3.26196424801913e-08,-9.8282634737826,-10.0127692762559,1.69737608657987e-07,TRUE
"heart_cmr_RVEF",56.7723003229565,58.0002815096087,0.187832072718717,2.26813030058564,0.0207782321048242,1.22798118665218,2.16299353675411,0.0355162804582461,TRUE
"heart_cmr_LAV.min",28.1968351998174,26.6175016015435,-3.61965092261852,0.460983726070685,0.12889842904111,-1.57933359827392,-5.60110234741573,0.183961835621778,FALSE
"heart_cmr_LASV",44.7078033172174,43.4359196538696,-3.27021719391103,0.72644986721539,0.211651730567405,-1.27188366334782,-2.84488068967148,0.279665657468841,FALSE
"heart_cmr_LAEF",62.3376701852174,62.7760317855652,-0.955441429875657,1.83216463057131,0.536844869278178,0.438361600347825,0.703204978699665,0.60993447845202,FALSE
"heart_cmr_RAV.min",55.3429303468565,41.2171967132609,-17.359934832699,-10.8915324344923,1.94188161126776e-16,-14.1257336335957,-25.5240073936526,1.73003998094764e-15,TRUE
"heart_cmr_RASV",45.2412290387826,37.2850756272174,-10.4536671984473,-5.45863962468313,9.36741468810807e-10,-7.95615341156522,-17.5860682404204,5.29619215058418e-09,TRUE
"heart_cmr_RAEF",45.3882880835217,47.8418686251304,0.786748205835647,4.12041287738174,0.00400371552414451,2.45358054160869,5.40575695891793,0.00811787837309301,TRUE
