"","Mode1","Mode2","Mode3","Mode4","Mode5","Mode6","Mode7","Mode8","Mode9","Mode10"
"brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging",-0.601979014252643,0.497535991589098,0.0345038572515993,-0.0414800252894909,-0.133928397564015,-0.093812607598448,-0.0464516449275961,0.00743634598314282,-0.0496863467040038,0.0847216834454335
"brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging",-0.381464346397749,-0.403638083168568,-0.21225672865439,0.0105358110548732,0.0183590994955944,0.15161780594758,0.0381819650751653,-0.089986073775596,-0.0533265632920784,0.0178761230929727
"brain_bio.volume_of_grey_matter.0.imaging",-0.611475973944566,0.503497295795104,-0.0105742045766066,-0.0137184981563082,-0.157418530499439,-0.0832564011449221,-0.0685864890517891,0.0168508090288263,-0.00953841549506329,0.104213557502518
"brain_bio.volume_of_white_matter.0.imaging",-0.774291546842709,0.232099094377231,-0.0309627895001011,0.0303358917593917,-0.0794687363607562,-0.0589963565095385,-0.109804878835811,-0.0191942276033558,0.00496295974218765,0.00206956626694768
"brain_bio.volume_of_brain._grey.white_matter.0.imaging",-0.732811072225222,0.378909693571514,-0.0224033827885984,0.00997412211960122,-0.12228811787061,-0.0740731109991269,-0.0949054392296626,-0.00224989088902641,-0.00199524936856386,0.0529743799828655
"brain_bio.volume_of_thalamus_.left..0.imaging",-0.560041503896385,0.45039048997747,-0.0346449214297812,0.0400880911086376,-0.15915355853875,-0.0540096736289489,-0.0714282253785331,-0.000706054138371189,0.0453597397581974,-0.0366688943620671
"brain_bio.volume_of_thalamus_.right..0.imaging",-0.587600607348558,0.461142934786839,-0.03089123396937,0.0364895231124586,-0.148550945429571,-0.0801216646945985,-0.0296894071576398,0.0176911091775607,0.0457793905406001,0.00173296919160844
"brain_bio.volume_of_caudate_.left..0.imaging",-0.437560762363487,0.173762071707188,-0.06044956084123,0.0808997140967893,-0.138044174570336,-0.0330104354670917,-0.0399856308040657,-0.105973870885923,-0.067568415177639,0.0540394198093336
"brain_bio.volume_of_caudate_.right..0.imaging",-0.439269905334406,0.145569172460997,-0.0811360161988733,0.122962439779132,-0.122502973723529,0.00943173747697099,-0.0488887744979913,-0.125890897931507,-0.0588760098152537,0.00395614458909727
"brain_bio.volume_of_putamen_.left..0.imaging",-0.536302371081463,0.403239981126356,-0.0133839878520241,0.116448107770677,-0.0953391913048712,-0.00923026174372097,-0.0894667263510986,-0.0135806211487418,0.0313505761799334,0.0606892774486358
"brain_bio.volume_of_pallidum_.left..0.imaging",-0.428114481708868,0.185953089932737,-0.107199998992388,0.0900407500881157,-0.213638442041255,-0.00627276813776017,-0.0691687235292592,-0.0112534944490435,0.144556964973448,0.035875635411979
"brain_bio.volume_of_pallidum_.right..0.imaging",-0.440027475198042,0.26161354511002,-0.117350772644002,0.0740150025774445,-0.182032978455813,-0.0273447126077855,-0.130117911507031,-0.0687471484294063,0.0942649291015664,-0.0571795725634072
"brain_bio.volume_of_hippocampus_.left..0.imaging",-0.310361332205725,0.270371749638028,0.0236224429985099,0.0602764810570141,-0.106750423449358,-0.00384024044434753,-0.00238307753563896,-0.0405404158359093,0.0570461583711295,-0.0136340737745878
"brain_bio.volume_of_hippocampus_.right..0.imaging",-0.35074270611766,0.258929344832223,0.00874384902439999,0.0351400528917342,-0.0410477061023607,-0.0438848722859105,0.0483477208130257,-0.0340116971406944,0.0595933805231266,0.0868085015223542
"brain_bio.volume_of_amygdala_.left..0.imaging",-0.33663146181659,0.0987568462650565,-0.0398877002718654,-0.0538242825944195,-0.0206654312233837,0.00780930504657745,0.10008481685721,-0.101870526907208,0.102428283079786,0.117601064402197
"brain_bio.volume_of_amygdala_.right..0.imaging",-0.29800689512782,0.099762694033248,-0.0380583151502601,-0.0574760274868533,-0.0293636401624623,0.139327911276419,0.0039752469006323,-0.0281343258337392,0.0545874373729424,-0.00293147880965024
"brain_bio.volume_of_accumbens_.left..0.imaging",-0.248384094280663,0.421128563030355,0.0341716308103048,-0.00503637921704094,-0.0607656321442419,0.0224773258146345,-0.029031799561819,-0.0276835054549356,-0.0361432482416436,-0.0690051886203615
"brain_bio.volume_of_accumbens_.right..0.imaging",-0.182164495849705,0.482274083690692,0.0962159448229763,0.0296175597781368,-0.109570480450519,0.0183931181079922,-0.0797561697376038,-0.072271357894463,-0.0175757177278406,-0.0464200186146603
"brain_bio.volume_of_brain_stem_._4th_ventricle.0.imaging",-0.604824103548272,0.137838822422313,-0.166897068422963,0.0228505576104528,-0.193764229756126,-0.0807161051073605,-0.0644705533983333,-0.0199606744475713,0.0904056020265409,-0.00967968716752844
"brain_wmh",-0.123048624365774,-0.507919155577412,-0.0295605379780325,0.149331708724908,-0.0882720821001107,0.0816221909223264,-0.0875621194856487,0.0864974561983359,-0.0457668465739454,0.0285254199085159
"brain_bio.weighted.mean_fa_in_tract_acoustic_radiation_.left..0.imaging",-0.0731149881492902,0.0555679422509748,0.0308694430908335,-0.0611458191644945,0.0736570160507856,0.0608480570226037,0.0953955975106088,-0.0313400639488727,0.164374127383035,0.0365419986056984
"brain_bio.weighted.mean_fa_in_tract_acoustic_radiation_.right..0.imaging",-0.285137759097092,0.013089768322386,0.116242962644716,-0.111210182557522,0.0474310833203525,0.00892376214981693,0.137929195414285,-0.116465888494673,0.156392918341581,-0.032502869668793
"brain_bio.weighted.mean_fa_in_tract_anterior_thalamic_radiation_.left..0.imaging",-0.0765979927747092,0.396069421515891,0.0891813743290351,-0.103247521620586,0.0796099673295977,-0.132390792814385,0.0677743969060765,-0.0126006800437834,0.133917532579805,-0.0571394427093341
"brain_bio.weighted.mean_fa_in_tract_anterior_thalamic_radiation_.right..0.imaging",-0.138450674460918,0.338236949657958,0.106685300868529,-0.111969879559906,0.113550420109431,-0.104053665610295,0.0702178881252523,-0.101927320945719,0.109084651762052,-0.0201669357538949
"brain_bio.weighted.mean_fa_in_tract_cingulate_gyrus_part_of_cingulum_.left..0.imaging",-0.19107301197113,0.228051499975582,0.0296804185700981,0.0503920937961682,0.0224659436883189,-0.121177653051873,0.0960762105814826,-0.0625830245563811,0.0301226951140647,-0.00959700961083656
"brain_bio.weighted.mean_fa_in_tract_cingulate_gyrus_part_of_cingulum_.right..0.imaging",-0.146446395780553,0.211944967224275,0.000638978607023622,0.0607571221336234,0.103663147776484,-0.0467960552639406,0.0589536502208357,-0.035788943619929,0.0697534236155714,-0.0101149400822807
"brain_bio.weighted.mean_fa_in_tract_corticospinal_tract_.left..0.imaging",-0.205179641232816,0.11041126896016,0.130978078211865,-0.0285458390877889,0.0836795694738054,0.0348745865136652,0.137775581047925,-0.0521159973134651,0.0704082724115655,0.0125644163660384
"brain_bio.weighted.mean_fa_in_tract_corticospinal_tract_.right..0.imaging",-0.299629111915265,0.10832872708672,0.149920417291522,-0.0634468138831426,0.0694084829756306,0.0525802745226815,0.0588629899346203,-0.127885055660406,0.083132012077406,0.0990070724656172
"brain_bio.weighted.mean_fa_in_tract_forceps_major.0.imaging",-0.00193943384840343,0.0945140196629459,0.0620176103188431,-0.118315634988569,0.103882894692533,0.0166013999509217,-0.00444772102417564,-0.0698180634341101,0.263795661286413,0.0858886463227307
"brain_bio.weighted.mean_fa_in_tract_forceps_minor.0.imaging",-0.0686257923336501,0.381138138528965,0.0935547340537153,-0.0377420936566501,0.127405984273265,-0.0861411274770783,0.0727735862927409,-0.093135893280621,0.0812023663398766,-0.0120401217266098
"brain_bio.weighted.mean_fa_in_tract_inferior_fronto.occipital_fasciculus_.right..0.imaging",0.00441097232517363,0.279466819337187,0.168829921710495,-0.0520623324994643,0.108084811929237,-0.0845561120417145,0.118398882342691,-0.136907969843058,0.106814307784367,0.0275567342730099
"brain_bio.weighted.mean_fa_in_tract_inferior_longitudinal_fasciculus_.left..0.imaging",0.0821167074598682,0.296575215241362,0.121913873560371,-0.0247904399157733,0.0153854823410543,-0.193739543128341,0.0775651468112202,-0.0693699508729268,0.19118058549229,0.0422475423816971
"brain_bio.weighted.mean_fa_in_tract_inferior_longitudinal_fasciculus_.right..0.imaging",0.00461379190051347,0.309615101959236,0.181467880414068,-0.0313601866851286,0.0698808871563143,-0.135708689073675,0.0692280005819636,-0.156713084277129,0.153545500608561,0.0388799238799173
"brain_bio.weighted.mean_fa_in_tract_posterior_thalamic_radiation_.left..0.imaging",0.0986056507183474,0.373729660269502,-0.00509945202769056,-0.00543805247796201,0.12847252991362,-0.196209441213599,0.0351081612411562,-0.0862154223272487,0.120647901482836,-0.0430027239308822
"brain_bio.weighted.mean_fa_in_tract_posterior_thalamic_radiation_.right..0.imaging",0.00425254444203767,0.318237491938611,0.0637042052731681,0.0338323023767802,0.147881813014834,-0.121074714863755,0.0791503910926291,-0.0980632153881945,0.0865161798436319,-0.0344244383405949
"brain_bio.weighted.mean_fa_in_tract_superior_longitudinal_fasciculus_.left..0.imaging",0.0367289061198685,0.294668019578934,0.0870654932830285,-0.0849798605996297,0.0520885023399947,-0.135339234642309,0.010338591585261,-0.000857265350689127,0.1850637637799,-0.0687067385522841
"brain_bio.weighted.mean_fa_in_tract_superior_longitudinal_fasciculus_.right..0.imaging",-0.0560320943189831,0.282721082446685,0.11872288132557,-0.0953504219524315,0.129380471579934,-0.103274633811917,0.0207712196745529,-0.0497187877155075,0.105166930772925,-0.0284161234861237
"brain_bio.weighted.mean_fa_in_tract_superior_thalamic_radiation_.left..0.imaging",-0.163735559024294,0.0811046281677392,0.0539244755662593,-0.045484219778002,0.124462923217862,0.0610211880032004,0.146557877508921,-0.055002084661618,0.0863229975466572,-0.0256524764283437
"brain_bio.weighted.mean_fa_in_tract_superior_thalamic_radiation_.right..0.imaging",-0.177213299350828,0.0860595768778466,0.0779227367308532,-0.0320580958694443,0.128484027714768,0.0898621989282071,0.153961451524041,-0.11585002312027,0.0544038594112251,-0.0530517443768168
