"","Mode1","Mode2","Mode3","Mode4","Mode5","Mode6","Mode7","Mode8","Mode9","Mode10"
"brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging",-0.609119095679481,-0.479423836758644,-0.131995937553918,-0.0575286910522883,-0.138016278647725,0.275403702685233,0.00855974556921221,-0.00156854039545731,0.0099730526772819,-0.0116649587409251
"brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging",-0.390197105124593,0.317596413981691,0.271328793763373,0.056264237822034,0.184937687260795,0.00385039479209417,-0.0431986836337875,0.0292359576164303,0.039948000961826,-0.113229045773535
"brain_bio.volume_of_grey_matter.0.imaging",-0.619768935725673,-0.501805197807397,-0.0822199708782023,-0.084438236980751,-0.150809546196631,0.264368115227144,0.0156785942587371,-0.0023127135010812,0.00612988173864492,0.00707549976562805
"brain_bio.volume_of_white_matter.0.imaging",-0.782075937299168,-0.249014452347368,-0.00594807540538022,-0.109816645268678,-0.0772326576419001,0.18274759751973,-0.0795676428454166,0.0384346317608268,-0.0280088323215845,-0.0235672517671399
"brain_bio.volume_of_brain._grey.white_matter.0.imaging",-0.74222849427837,-0.387397679378806,-0.0441014361858046,-0.102939530247856,-0.11775640678521,0.232753752689225,-0.0364472721681859,0.0202184296636326,-0.0125241726445027,-0.00959089957169829
"brain_bio.volume_of_thalamus_.left..0.imaging",-0.568782699591502,-0.460529657317369,-0.0387248275808053,-0.123614925806828,-0.0963960709060023,0.186396142476289,-0.0688069257895413,0.0342094815200956,0.0265383860349993,0.0449854132573465
"brain_bio.volume_of_thalamus_.right..0.imaging",-0.595165371896013,-0.461700028797213,-0.0401260215501467,-0.103684315233631,-0.120221311699014,0.189597954669364,-0.0503113676930044,0.027274331643503,0.0346529568937742,0.0370753929550941
"brain_bio.volume_of_caudate_.left..0.imaging",-0.445836872061221,-0.234962513479927,0.052163741023323,-0.117227676794563,-0.0462034470455041,0.159277596320028,0.0259327625495836,-0.0306300722782857,0.0576648575025682,-0.0194753470912927
"brain_bio.volume_of_caudate_.right..0.imaging",-0.445055379834234,-0.21262859810173,0.085491879563781,-0.108024680390788,-0.022034404780846,0.147839236217972,0.0132533673665474,0.00730314336919443,0.109843243278228,0.0226479473846851
"brain_bio.volume_of_putamen_.left..0.imaging",-0.551357415462546,-0.405557238453696,-0.0314457703168956,-0.0927318456766394,-0.0573989397020951,0.0686520342116371,0.123646823838922,-0.012847564130727,0.0465566902638088,0.0515895617082314
"brain_bio.volume_of_pallidum_.left..0.imaging",-0.424437984086761,-0.216862187457415,0.119254668833253,-0.0128592370676678,-0.0122564413906008,0.0765033811554888,-0.0503549554649573,-0.0909277043319094,0.0610410490516438,0.0645955531244244
"brain_bio.volume_of_pallidum_.right..0.imaging",-0.429204122606985,-0.301273480727114,0.100723180765452,-0.0505502067660126,-0.00556252363366799,0.068009639527684,-0.0677974210566048,-0.0767423741543369,0.0913304472025915,0.095578414907204
"brain_bio.volume_of_hippocampus_.left..0.imaging",-0.311937993199248,-0.26442341547027,-0.0471785517444631,-0.0467566241239601,-0.0204948753209855,0.0853006485670538,0.0244543849763824,-0.105689514888286,0.102882728819271,0.0394280658664999
"brain_bio.volume_of_hippocampus_.right..0.imaging",-0.35476286892738,-0.238778661066532,-0.0123310538451789,-0.113321130903028,-0.0587915149416125,0.131554628685476,0.0362382670119879,-0.0947862058346318,0.10144140742654,0.0488769999450675
"brain_bio.volume_of_amygdala_.left..0.imaging",-0.351059413072171,-0.0937173475209094,0.0432212097490805,0.011067503503733,0.125377064738645,0.204474384451561,0.0543905556776481,-0.0637289717070393,0.0815378342219305,0.0659291057310695
"brain_bio.volume_of_amygdala_.right..0.imaging",-0.303204073384991,-0.0812859614676098,0.0217479821998963,0.0799731364831373,0.0520441003190667,0.0434525832602699,-0.125924255983387,-0.0244070594291421,0.0869934678630049,-0.012375825072568
"brain_bio.volume_of_accumbens_.left..0.imaging",-0.242319299837449,-0.419542973681916,-0.132373569777361,0.00594184697654275,-0.122490123019823,0.124710089961386,-0.0201241715761586,-0.163343504847791,0.0874424449809531,0.0604821816356306
"brain_bio.volume_of_accumbens_.right..0.imaging",-0.177997124488579,-0.442131541567515,-0.188272642387699,-0.0413860506320796,-0.114025669750138,0.136640155858124,0.0407474806051924,-0.136583826888832,0.0590428987310227,0.110221553389957
"brain_bio.volume_of_brain_stem_._4th_ventricle.0.imaging",-0.605707517244385,-0.195119565729396,0.151351720064673,-0.0931735662022155,-0.0763592665566636,0.103334582586849,-0.121917727290494,-0.0661891014024676,0.0968779302372789,0.0988200164619906
"brain_bio.weighted.mean_fa_in_tract_acoustic_radiation_.left..0.imaging",-0.0527759548533311,-0.0498912707102283,-0.131147488661038,0.136131378607255,0.096720337069114,-0.0533711443419905,0.133341263702976,0.0592072996446914,0.0903317511752752,-0.0468462232972323
"brain_bio.weighted.mean_fa_in_tract_acoustic_radiation_.right..0.imaging",-0.263446559763745,0.0183717401309978,-0.187021628296747,0.0790984813446898,0.0575881410394613,-0.0800573419770984,0.0524972073851348,0.0867677558153551,0.134448337371825,-0.0486980822260527
"brain_bio.weighted.mean_fa_in_tract_anterior_thalamic_radiation_.left..0.imaging",-0.0621166060604034,-0.307891571948202,-0.260423228306544,0.0708100675687569,-0.000609065699916448,-0.00450620028640448,0.033891692641543,0.142808053297734,-0.0168409211623435,-0.0275406734673982
"brain_bio.weighted.mean_fa_in_tract_anterior_thalamic_radiation_.right..0.imaging",-0.113188926743846,-0.245421068152487,-0.262075357953023,0.0981932377937007,0.03179173133815,0.0172234828209561,-0.0147471452806091,0.11151047118021,0.0623518822287947,-0.0611697999937947
"brain_bio.weighted.mean_fa_in_tract_cingulate_gyrus_part_of_cingulum_.left..0.imaging",-0.172191363822466,-0.195545905503141,-0.110959777480998,-0.00540526148526364,-0.00647211015527359,-0.0263810128395998,0.067239735860575,-0.0788923596152371,0.0357040267946125,-0.0409356329758209
"brain_bio.weighted.mean_fa_in_tract_cingulate_gyrus_part_of_cingulum_.right..0.imaging",-0.133792170585121,-0.151178847593194,-0.0525839691520191,0.0228706666561919,0.00701805394398238,-0.0807725441729062,0.0767302745925067,-0.0235592837480654,0.0308060829257773,-0.052550451164802
"brain_bio.weighted.mean_fa_in_tract_corticospinal_tract_.left..0.imaging",-0.170712991584757,-0.0583911312980623,-0.200224102547642,0.0561447912928782,0.0504935935652094,0.0089749004631358,0.134743993928958,0.0826546329607125,-0.00180613298904965,-0.0105540032888144
"brain_bio.weighted.mean_fa_in_tract_corticospinal_tract_.right..0.imaging",-0.26944759717026,-0.0324642562522718,-0.204591770419492,0.0296695742138008,0.138931110822467,0.0332941863428952,0.0450555323183637,0.0889230080533314,-0.016941540580362,-0.0217576788698091
"brain_bio.weighted.mean_fa_in_tract_forceps_major.0.imaging",0.00106708497539421,-0.0712344014235172,-0.120653727636593,0.167417698088876,0.00182310273952903,-0.0184200453859786,0.108499281717921,0.169788409085668,0.107894539214352,0.0504670897360251
"brain_bio.weighted.mean_fa_in_tract_forceps_minor.0.imaging",-0.0471390676230738,-0.29823534137003,-0.225492543785235,0.0771922168962974,0.0868229098134788,-0.0574429993960199,0.0727972508899532,0.040844072417942,0.0204370968732587,-0.0268300805674704
"brain_bio.weighted.mean_fa_in_tract_inferior_fronto.occipital_fasciculus_.right..0.imaging",0.0149956769673989,-0.207466032783278,-0.269096989438412,0.0662300637287243,0.0603746200095507,-0.0109883885059679,0.065543130250705,0.114240000845431,0.172989305186085,-0.0643061106123753
"brain_bio.weighted.mean_fa_in_tract_inferior_longitudinal_fasciculus_.left..0.imaging",0.1017872780028,-0.25232419091891,-0.220435410550562,0.0758884067974194,-0.0531547785998448,-0.0124956930287357,0.108384860593392,0.128496181476591,0.116318300475295,-0.0421891046390153
"brain_bio.weighted.mean_fa_in_tract_inferior_longitudinal_fasciculus_.right..0.imaging",0.0194138556262877,-0.236187983821999,-0.272311952315707,0.0611858819229951,0.0246296041388781,0.00462586300888921,0.031366577582992,0.128063163292467,0.156842792857437,-0.0198864494384036
"brain_bio.weighted.mean_fa_in_tract_posterior_thalamic_radiation_.left..0.imaging",0.107115667927593,-0.352484550890625,-0.112153796886237,0.0650445858936892,-0.00960461270770969,-0.105782993622534,0.0697286964964719,0.0664397428369574,0.1603796548808,0.0285186251346826
"brain_bio.weighted.mean_fa_in_tract_posterior_thalamic_radiation_.right..0.imaging",0.00223347310360322,-0.2783106607857,-0.149678947290212,0.0659359741088371,0.00116077368463448,-0.12186805230382,0.048943173773537,0.0383320641879704,0.181255417018195,0.0176977691907479
"brain_bio.weighted.mean_fa_in_tract_superior_longitudinal_fasciculus_.left..0.imaging",0.0587460187457056,-0.248977570328794,-0.182837805893178,0.0838332261851704,-0.0603293784024224,-0.0481884738894516,0.104105257328262,0.158190525059418,0.0958198977300431,-0.04349536326747
"brain_bio.weighted.mean_fa_in_tract_superior_longitudinal_fasciculus_.right..0.imaging",-0.0373231505604242,-0.212122138873451,-0.213779720105092,0.0662485722280911,-0.00793300364329866,-0.0249575708504287,0.0249425669114392,0.160851964496507,0.101033247935991,-0.0249209552761997
"brain_bio.weighted.mean_fa_in_tract_superior_thalamic_radiation_.left..0.imaging",-0.146053398074018,-0.0592839801978712,-0.121883270545328,0.151767518507381,0.107755876282938,-0.0323513907219669,0.101207382185442,0.0742570589986684,0.0784867463426754,-0.0235978485795358
"brain_bio.weighted.mean_fa_in_tract_superior_thalamic_radiation_.right..0.imaging",-0.161370380631196,-0.050795470010095,-0.135231819073625,0.136722369300466,0.145728166576183,-0.074277944753648,0.0379024765451073,0.0652392946438745,0.131461750307615,-0.0136870600237785
"brain_bio.weighted.mean_fa_in_tract_uncinate_fasciculus_.left..0.imaging",-0.133085201102579,-0.201350345047843,-0.23851576345374,-0.0208272273678174,-0.0291161914563139,-0.0540029128357321,0.0617028886202611,-0.0106420744066028,-0.0448517862817007,-0.070411221963196
"brain_bio.weighted.mean_fa_in_tract_uncinate_fasciculus_.right..0.imaging",-0.125917106382258,-0.202814860431385,-0.232728383942449,-0.0332482174262942,-0.000314503079727901,0.101873043370216,-0.0268553043790374,0.0173445944381278,0.0479622114536301,-0.132174858304238
"brain_bio.weighted.mean_md_in_tract_acoustic_radiation_.left..0.imaging",-0.00684315669831152,0.0490009297135134,0.130185599857586,-0.153082199487693,-0.0647236206772436,0.100011401712959,-0.0016060514050164,-0.038321818650527,0.0642388945011397,0.0484882969872255
"brain_bio.weighted.mean_md_in_tract_acoustic_radiation_.right..0.imaging",0.173886587644616,0.0207435592082342,0.284827240723223,-0.0787150842728426,-0.130159181480479,0.142519152966962,-0.0255433242867061,-0.0902362807753654,0.0114327913247774,0.0451362392283298
"brain_bio.weighted.mean_md_in_tract_anterior_thalamic_radiation_.left..0.imaging",-0.106865119806707,0.459662807386238,0.465709496180874,-0.100675954239167,-0.039075495756022,0.0526030546351642,-0.0068523945684853,-0.0221549302829949,0.00873740208054119,0.0310241302608851
"brain_bio.weighted.mean_md_in_tract_anterior_thalamic_radiation_.right..0.imaging",-0.128905452289054,0.477603700153994,0.432827579669083,-0.131557310025783,-0.0264590343208806,0.0432174761168287,-0.0317165152498092,-0.0468006628967889,-0.0303535891958532,0.0177816130063837
"brain_bio.weighted.mean_md_in_tract_cingulate_gyrus_part_of_cingulum_.left..0.imaging",-0.0034252548436348,0.230274102961282,0.180677607729874,-0.122377602792813,-0.18677360421826,0.0629695844680942,0.0442904864822461,0.0716844342159105,-0.00928077899203091,0.0637056847498943
"brain_bio.weighted.mean_md_in_tract_corticospinal_tract_.left..0.imaging",-0.0225758148728886,0.101111611533814,0.2680445290036,-0.0681184739341057,-0.000249975686656207,-0.0140592864044969,0.0668921127154162,0.0292823561362573,0.0868327700674254,0.0932904039485763
"brain_bio.weighted.mean_md_in_tract_corticospinal_tract_.right..0.imaging",0.0361212813728555,0.0778416033110312,0.274094165306295,-0.0599637544335309,0.000424415287857214,-0.0511559373526902,0.113400695916899,0.0380966996685546,0.0332050887936916,0.0903346334776759
"brain_bio.weighted.mean_md_in_tract_forceps_major.0.imaging",-0.0415237540751411,-0.00095173885512569,0.192206219007841,-0.199431147827624,0.0197194670192295,-0.108714906633543,-0.0618250124823626,-0.151080701194001,-0.0152339491138123,-0.0299416820494944
"brain_bio.weighted.mean_md_in_tract_forceps_minor.0.imaging",-0.0676241275624334,0.213676411632086,0.25573083018241,-0.157253147430421,-0.0943958099199614,0.0908388702007096,0.0609678906707322,-0.0183205011797008,-0.0610971051263886,0.01567422107659
"brain_bio.weighted.mean_md_in_tract_inferior_fronto.occipital_fasciculus_.left..0.imaging",-0.118301459048934,0.288896340656298,0.365832940629318,-0.201079064601867,0.0151346223512117,0.0874316446492598,-0.00556316860000646,-0.094451472119853,-0.0428860721383875,0.0363553249517237
"brain_bio.weighted.mean_md_in_tract_inferior_fronto.occipital_fasciculus_.right..0.imaging",-0.125705587072384,0.304306867683539,0.357536777385285,-0.166975521338372,-0.0206645936988508,0.0557130293664993,-0.043605466388569,-0.0963320420968785,-0.0202307556378825,0.0345894922239163
"brain_bio.weighted.mean_md_in_tract_inferior_longitudinal_fasciculus_.left..0.imaging",-0.130637123623703,0.226759309365617,0.344254401471845,-0.195290915378314,0.0762947498693168,0.108475824790287,-0.0465435557398981,-0.0910820703644995,-0.0182294792939534,0.0352571546528586
"brain_bio.weighted.mean_md_in_tract_inferior_longitudinal_fasciculus_.right..0.imaging",-0.121023128554887,0.265088788546247,0.388797078007411,-0.182399560540637,0.0432118052940349,0.0839315283564451,-0.0556268024105208,-0.0854176161518194,0.00716310570643794,0.0213111443489175
"brain_bio.weighted.mean_md_in_tract_posterior_thalamic_radiation_.left..0.imaging",-0.166149998010842,0.322689977758374,0.297735477131562,-0.172835437143537,0.180271007556845,0.133290333384565,0.061517086477938,-0.0588222296942079,-0.048241853445479,-0.0535514929667817
"brain_bio.weighted.mean_md_in_tract_posterior_thalamic_radiation_.right..0.imaging",-0.143472796361464,0.320696343472943,0.281223159712022,-0.0914009826987445,0.133927434326441,0.109046997434527,0.0516764318991296,-0.0761312840875821,-0.0319578731306178,-0.0298082047009445
"brain_bio.weighted.mean_md_in_tract_superior_longitudinal_fasciculus_.left..0.imaging",-0.0867834288269096,0.340519206709548,0.318446530599363,-0.15083545712892,-0.00237447318258839,0.11167211887422,0.0174476302402926,-0.051407486294568,-0.0512179509186008,0.0709635422547871
"brain_bio.weighted.mean_md_in_tract_superior_longitudinal_fasciculus_.right..0.imaging",-0.0531463847987473,0.330363705328895,0.302973636616816,-0.131331650204892,-0.0295470191209855,0.102627462671109,0.0388166147928845,-0.0812519417386818,-0.0615842699744153,0.0893414270536053
"brain_bio.weighted.mean_md_in_tract_superior_thalamic_radiation_.left..0.imaging",-0.0104763519850457,0.375222510516786,0.293944576579609,-0.0608421381412326,-0.0454129386063257,0.0519900763494271,0.0615638176193848,-0.00322497331382713,-0.0689364813326761,0.0790238030530764
"brain_bio.weighted.mean_md_in_tract_superior_thalamic_radiation_.right..0.imaging",0.00719753086565919,0.358298373458241,0.305917313608007,-0.0918355984160461,-0.0752149534676885,0.0649886052558941,0.0908139177963514,0.00692406307696202,-0.12380550386631,0.0599165962718106
"brain_bio.weighted.mean_md_in_tract_uncinate_fasciculus_.right..0.imaging",-0.0426181620225435,0.296649290661886,0.406022528955909,-0.173066130352919,-0.00691793629638856,-0.0303747273598479,-0.0325432953587239,-0.0301829187388589,0.0545638572816219,0.078986090338476
"brain_bio.weighted.mean_mo_in_tract_acoustic_radiation_.left..0.imaging",-0.0106044857214431,0.0742117894167344,-0.0946669543152237,0.0458617974653351,0.025056158326665,-0.0666272195098622,0.0980669314377668,0.0855218655011875,0.137782825555965,0.0482189907646664
