"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging",-0.0207853925770836,-0.120337779607049,0.146519455079471,-0.0325772284179277,-0.0224360921776834,0.122091854532749,-0.0510591148897249,0.0653665927643782,-0.0309526840514146,0.0329684504394188
"brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging",0.0328665583265521,-0.0786925107273043,-0.028998885429937,0.197642990580756,0.0571980398800169,0.0486098401843811,-0.0532496632683813,-0.0351108268179723,-0.0327195001230585,-0.00744811289025107
"brain_bio.volume_of_grey_matter.0.imaging",-0.0199654335409966,-0.126387462295089,0.143733223904961,-0.0283431157057076,-0.0363541807503921,0.141904246615645,-0.0567182435214914,0.0523899195290991,-0.038378209151469,0.0385505861147708
"brain_bio.volume_of_white_matter.0.imaging",-0.00486654400589395,-0.134292013286218,0.137983434227453,-0.0222582579624182,0.0118950505538331,0.169354182019665,-0.0786995077628881,0.0121010585220972,-0.0243269846780628,0.00978441943048525
"brain_bio.volume_of_brain._grey.white_matter.0.imaging",-0.0126238605343492,-0.137210359372153,0.147880599436847,-0.0264198088700413,-0.0114937925916121,0.164340485829063,-0.0717820839369912,0.0327545321603229,-0.0325558094199173,0.0245893260657941
"brain_bio.volume_of_thalamus_.left..0.imaging",-0.0214868980729463,-0.10742996928408,0.148123571648542,-0.0772042947902378,-0.0241921950399509,0.145930966142943,-0.0878594025738735,0.0372394867828268,-0.0333165240251942,0.0240808776103006
"brain_bio.volume_of_thalamus_.right..0.imaging",-0.0208435209528305,-0.110401137581693,0.148376038467913,-0.0707388269285201,-0.0234035537366707,0.150957930220937,-0.0825007264762106,0.0352390520635119,-0.0343011866353259,0.0272939092284765
"brain_bio.volume_of_caudate_.left..0.imaging",0.000809188880392338,-0.0939158184124441,0.102136402894711,0.0108712452190641,-0.0160409558736362,0.15034188184892,-0.109971148124177,-0.00156336325935677,-0.0249314525450402,0.0570356770862893
"brain_bio.volume_of_caudate_.right..0.imaging",0.00314692502301084,-0.0924555626933817,0.0982494553649682,0.00712205648924913,-0.01368136840548,0.152080632302998,-0.109755774841586,-0.00449667010241767,-0.029831062128326,0.0544583357831253
"brain_bio.volume_of_putamen_.left..0.imaging",-0.0140176331128117,-0.0907890078146124,0.123165788758066,-0.0502199955052325,-0.023684084003219,0.143202780809785,-0.0711074598850746,0.0106797968211613,-0.0377709830729973,0.0476142710587308
"brain_bio.volume_of_pallidum_.left..0.imaging",-0.0110591047922284,-0.0804361888216375,0.0896642786664563,-0.0253685552859155,-0.0111835818741242,0.144319119536022,-0.0902277587133647,-0.0137138158155509,-0.0583142789358157,0.0440829054493693
"brain_bio.volume_of_pallidum_.right..0.imaging",-0.0140746918500583,-0.0783329908831066,0.0997298438682329,-0.038398865746599,-0.0116974753397178,0.149675184477019,-0.0813097716273348,-0.00605061237212623,-0.0534701703653445,0.0549850581407825
"brain_bio.volume_of_hippocampus_.left..0.imaging",-0.0152973040708893,-0.0633555709791708,0.107939807410709,-0.0692152923611534,-0.0444706923452968,0.0917619876224415,-0.0694884850051339,0.0384229032616307,-0.00412419861832311,0.0145765889633082
"brain_bio.volume_of_hippocampus_.right..0.imaging",-0.0156094362341736,-0.0687503806048553,0.109014826988155,-0.0640813810999004,-0.0299545061094161,0.102893839257503,-0.0756621268698031,0.0436143169328837,-0.0219429885523668,0.0193345893526701
"brain_bio.volume_of_amygdala_.left..0.imaging",-0.00255825551711084,-0.0554288939450843,0.0730321699711804,0.0174180322399687,0.017495820771322,0.0836245953208613,-0.0672882790244552,0.0296428212751573,-0.00539761216121935,0.0269841466490606
"brain_bio.volume_of_amygdala_.right..0.imaging",-0.00375819511465243,-0.0458368924205756,0.064025630020625,0.0244901645793275,0.0251125504767858,0.0700230422535864,-0.0579528833392882,0.0391616459846164,-0.0056841205428525,0.0177184725931293
"brain_bio.volume_of_accumbens_.left..0.imaging",-0.0306823250373514,-0.0454165692933018,0.103520280555583,-0.0878983340440122,-0.00392214922307647,0.116101235060757,-0.0134812013116946,0.0608830703241881,0.0037611129577893,0.0541930623109734
"brain_bio.volume_of_accumbens_.right..0.imaging",-0.0326932456602655,-0.0346674185262256,0.105909870755102,-0.0995154416766105,0.00120396464048913,0.0997385771176931,-0.00344301432352047,0.053641122304842,0.0133603823847073,0.0494793399997012
"brain_bio.volume_of_brain_stem_._4th_ventricle.0.imaging",-0.00478944362468847,-0.107331875207993,0.112629300831788,-0.0214866208611181,0.00571098526717274,0.155691621898183,-0.0927211310082241,-0.0138303184284992,-0.0600374719565489,0.0181734509476522
"brain_wmh",0.0544362751319929,-0.0325364148686559,-0.0432374025316204,0.0590142496303898,-0.0341985422431155,0.0746771705005237,-0.0307147093749817,-0.125077678306162,-0.0166406231876712,-0.066096614835205
"brain_bio.weighted.mean_fa_in_tract_acoustic_radiation_.left..0.imaging",-0.059174110796838,-0.0832681167319504,-0.0469443299364648,0.0777872038969956,-0.0604292625896453,-0.0304961889037162,-0.0419907072776439,-0.100630231670078,-0.036839700835992,-0.0292427345582468
"brain_bio.weighted.mean_fa_in_tract_acoustic_radiation_.right..0.imaging",-0.0552409882472651,-0.0966870556432472,-0.0135877894188029,0.0873949088911802,-0.0164222342214427,-0.0141085440313404,-0.0523646208394259,-0.0809302290155139,-0.0409162712635812,-0.0388688765219601
"brain_bio.weighted.mean_fa_in_tract_anterior_thalamic_radiation_.left..0.imaging",-0.0855673154676719,-0.0846094708944976,0.00734722278169176,-0.015705743257305,0.00641496645713235,-0.0635957796988783,0.0954412534777869,0.0611601953044323,0.0175337822134604,0.00114347448589032
"brain_bio.weighted.mean_fa_in_tract_anterior_thalamic_radiation_.right..0.imaging",-0.0822654725629605,-0.0920361916227354,0.0102880383199265,0.00547155984197839,0.0242497995344625,-0.0559413130381279,0.0793441862631955,0.0633468570659355,0.0144610545873723,-0.0142614802268874
