"","V1","V2","V3"
"brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging",0.135377418520088,-0.158510339009809,0.716081084947654
"brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging",-0.258726342164543,0.0905478630281582,0.270455523619412
"brain_bio.volume_of_grey_matter.0.imaging",0.123373086834779,-0.161704118611497,0.739517967217012
"brain_bio.volume_of_white_matter.0.imaging",0.0200186177576933,-0.0895915348323493,0.7518383394099
"brain_bio.volume_of_brain._grey.white_matter.0.imaging",0.0723367808940795,-0.130036657573286,0.784910105453582
"brain_bio.volume_of_thalamus_.left..0.imaging",0.149074639380518,-0.150218620734367,0.669783015050402
"brain_bio.volume_of_thalamus_.right..0.imaging",0.144822392276659,-0.150260124991367,0.680339428813808
"brain_bio.volume_of_caudate_.left..0.imaging",0.0155384339341649,-0.0235590355139605,0.570418338309423
"brain_bio.volume_of_caudate_.right..0.imaging",-0.00806933080160471,-0.0117592033440181,0.56168294818402
"brain_bio.volume_of_putamen_.left..0.imaging",0.105354780092874,-0.100109959030292,0.574474397781438
"brain_bio.volume_of_pallidum_.left..0.imaging",0.0521910865455498,-0.0925305125372596,0.47063445325035
"brain_bio.volume_of_pallidum_.right..0.imaging",0.0997661285312689,-0.0987893072907248,0.486637082586011
"brain_bio.volume_of_hippocampus_.left..0.imaging",0.133579191714955,-0.082113442732648,0.440619098103035
"brain_bio.volume_of_hippocampus_.right..0.imaging",0.125548935725698,-0.0934649306840437,0.461525539684049
"brain_bio.volume_of_amygdala_.left..0.imaging",0.0371744060368476,-0.0213572818099628,0.36180930373422
"brain_bio.volume_of_amygdala_.right..0.imaging",0.0465313333140231,-0.0127101361204247,0.314150527878557
"brain_bio.volume_of_accumbens_.left..0.imaging",0.212804672811479,-0.15071156397037,0.356815848733125
"brain_bio.volume_of_accumbens_.right..0.imaging",0.227500396777779,-0.154431081641699,0.310556021870875
"brain_bio.volume_of_brain_stem_._4th_ventricle.0.imaging",0.0230622590486102,-0.073861631475076,0.614023610290878
"brain_bio.weighted.mean_fa_in_tract_acoustic_radiation_.left..0.imaging",0.0690925625302608,-0.60841432731906,0.126879277316763
"brain_bio.weighted.mean_fa_in_tract_acoustic_radiation_.right..0.imaging",0.0624539217423094,-0.585276673336875,0.234348300799819
"brain_bio.weighted.mean_fa_in_tract_anterior_thalamic_radiation_.left..0.imaging",0.195056344285885,-0.748774685506396,0.170962494581191
"brain_bio.weighted.mean_fa_in_tract_anterior_thalamic_radiation_.right..0.imaging",0.17415176793488,-0.734639571610255,0.207951901421219
"brain_bio.weighted.mean_fa_in_tract_cingulate_gyrus_part_of_cingulum_.left..0.imaging",0.0607212944908649,-0.53985776856801,0.26691919482329
"brain_bio.weighted.mean_fa_in_tract_cingulate_gyrus_part_of_cingulum_.right..0.imaging",0.0445132490791541,-0.515636637253666,0.245918708355248
"brain_bio.weighted.mean_fa_in_tract_corticospinal_tract_.left..0.imaging",-0.0453855767893465,-0.548699973667335,0.233731574472818
"brain_bio.weighted.mean_fa_in_tract_corticospinal_tract_.right..0.imaging",-0.0424073019872375,-0.535663430190151,0.298739908230475
"brain_bio.weighted.mean_fa_in_tract_forceps_major.0.imaging",0.0680918627109587,-0.583877448301275,-0.00903065401295834
"brain_bio.weighted.mean_fa_in_tract_forceps_minor.0.imaging",0.212287249262428,-0.771690507022489,0.133040182158849
"brain_bio.weighted.mean_fa_in_tract_inferior_fronto.occipital_fasciculus_.right..0.imaging",0.227311822596484,-0.793128708956136,0.128387684929366
"brain_bio.weighted.mean_fa_in_tract_inferior_longitudinal_fasciculus_.left..0.imaging",0.219573037426678,-0.788833512384462,0.0756965273363801
"brain_bio.weighted.mean_fa_in_tract_inferior_longitudinal_fasciculus_.right..0.imaging",0.317585019712394,-0.765860618038891,0.112261463197802
"brain_bio.weighted.mean_fa_in_tract_posterior_thalamic_radiation_.left..0.imaging",0.218633487753728,-0.651416091299091,0.0449125510326236
"brain_bio.weighted.mean_fa_in_tract_posterior_thalamic_radiation_.right..0.imaging",0.231140188063887,-0.629985235254357,0.0947434903472576
"brain_bio.weighted.mean_fa_in_tract_superior_longitudinal_fasciculus_.left..0.imaging",0.271160764735067,-0.7495382937941,0.104882866427278
"brain_bio.weighted.mean_fa_in_tract_superior_longitudinal_fasciculus_.right..0.imaging",0.29466985449161,-0.713773397645758,0.168616708584578
"brain_bio.weighted.mean_fa_in_tract_superior_thalamic_radiation_.left..0.imaging",0.0770896704262518,-0.569588654545475,0.245552972011795
"brain_bio.weighted.mean_fa_in_tract_superior_thalamic_radiation_.right..0.imaging",0.0768191676702523,-0.553626927935086,0.261265484307549
"brain_bio.weighted.mean_fa_in_tract_uncinate_fasciculus_.left..0.imaging",0.128923596423635,-0.618517283894757,0.251008004364657
"brain_bio.weighted.mean_fa_in_tract_uncinate_fasciculus_.right..0.imaging",0.172628905001116,-0.622454656075855,0.25770910651364
"brain_bio.weighted.mean_md_in_tract_acoustic_radiation_.left..0.imaging",-0.523649547386481,0.167365185746121,0.0623017886376545
"brain_bio.weighted.mean_md_in_tract_acoustic_radiation_.right..0.imaging",-0.562671836265068,0.164367846292387,-0.0716180389040349
"brain_bio.weighted.mean_md_in_tract_anterior_thalamic_radiation_.left..0.imaging",-0.792093127937747,0.330825482474264,0.0676199603370059
"brain_bio.weighted.mean_md_in_tract_anterior_thalamic_radiation_.right..0.imaging",-0.794140972034281,0.325409326139037,0.072812333559886
"brain_bio.weighted.mean_md_in_tract_cingulate_gyrus_part_of_cingulum_.left..0.imaging",-0.708575830640816,0.207509075597528,0.0682830723133976
"brain_bio.weighted.mean_md_in_tract_corticospinal_tract_.left..0.imaging",-0.680224300512689,0.107804398353197,0.0338060018899424
"brain_bio.weighted.mean_md_in_tract_corticospinal_tract_.right..0.imaging",-0.697601252781017,0.087809846340149,-0.000525063960542888
"brain_bio.weighted.mean_md_in_tract_forceps_major.0.imaging",-0.437056742321496,0.174063614292891,0.140313146801603
"brain_bio.weighted.mean_md_in_tract_forceps_minor.0.imaging",-0.725015498787982,0.269394353824921,0.111534091016795
"brain_bio.weighted.mean_md_in_tract_inferior_fronto.occipital_fasciculus_.left..0.imaging",-0.76954380487561,0.410710459815692,0.161093896821855
"brain_bio.weighted.mean_md_in_tract_inferior_fronto.occipital_fasciculus_.right..0.imaging",-0.824490570666427,0.393924886121422,0.150370025287841
"brain_bio.weighted.mean_md_in_tract_inferior_longitudinal_fasciculus_.left..0.imaging",-0.755789753832296,0.412527288312307,0.165496029357959
"brain_bio.weighted.mean_md_in_tract_inferior_longitudinal_fasciculus_.right..0.imaging",-0.773668535839693,0.444944889548608,0.149513503941975
"brain_bio.weighted.mean_md_in_tract_posterior_thalamic_radiation_.left..0.imaging",-0.696851656957381,0.251573399787979,0.162066768042015
"brain_bio.weighted.mean_md_in_tract_posterior_thalamic_radiation_.right..0.imaging",-0.737247170944401,0.238213588056113,0.147889269243361
"brain_bio.weighted.mean_md_in_tract_superior_longitudinal_fasciculus_.left..0.imaging",-0.778847685695387,0.438657526957835,0.10928353292852
"brain_bio.weighted.mean_md_in_tract_superior_longitudinal_fasciculus_.right..0.imaging",-0.811842694952853,0.385596368746659,0.0796735738095903
"brain_bio.weighted.mean_md_in_tract_superior_thalamic_radiation_.left..0.imaging",-0.84359415776314,0.188122702189783,-0.000749708844350523
"brain_bio.weighted.mean_md_in_tract_superior_thalamic_radiation_.right..0.imaging",-0.82814994764285,0.172329337828198,0.0097294173742927
"brain_bio.weighted.mean_md_in_tract_uncinate_fasciculus_.right..0.imaging",-0.624841999152821,0.406162221064061,-0.0186124445939037
"brain_bio.weighted.mean_mo_in_tract_acoustic_radiation_.left..0.imaging",-0.0873301663249792,-0.0941961734440767,0.0663323437854367
"brain_bio.weighted.mean_mo_in_tract_acoustic_radiation_.right..0.imaging",-0.0947420281443233,-0.0935030223611657,0.0646337926496
"brain_bio.weighted.mean_mo_in_tract_anterior_thalamic_radiation_.left..0.imaging",-0.12495898761007,-0.176139961197691,0.111412870954772
"brain_bio.weighted.mean_mo_in_tract_anterior_thalamic_radiation_.right..0.imaging",-0.107270631271619,-0.167899890457133,0.145887284117968
"brain_bio.weighted.mean_mo_in_tract_cingulate_gyrus_part_of_cingulum_.left..0.imaging",0.0269213795820741,-0.280964209306896,0.235758188165734
"brain_bio.weighted.mean_mo_in_tract_cingulate_gyrus_part_of_cingulum_.right..0.imaging",0.0147660479510733,-0.268819080389844,0.197609154675688
"brain_bio.weighted.mean_mo_in_tract_corticospinal_tract_.left..0.imaging",-0.158653985078628,-0.174171312493705,0.21774374541519
"brain_bio.weighted.mean_mo_in_tract_corticospinal_tract_.right..0.imaging",-0.157350863979944,-0.171519544404522,0.249685169424888
"brain_bio.weighted.mean_mo_in_tract_forceps_major.0.imaging",-0.14998361761355,-0.214314963808967,0.076719084378173
"brain_bio.weighted.mean_mo_in_tract_forceps_minor.0.imaging",-0.0514277710118886,-0.243262392983221,0.0879916378132221
"brain_bio.weighted.mean_mo_in_tract_inferior_fronto.occipital_fasciculus_.left..0.imaging",-0.0944385674977869,-0.26171898156604,0.292447699682598
"brain_bio.weighted.mean_mo_in_tract_inferior_fronto.occipital_fasciculus_.right..0.imaging",-0.114551198551592,-0.259806640057682,0.291097083083493
