"","lhs","op","rhs","est.std","se","z","pvalue","ci.lower","ci.upper"
"1","gfa","=~","brain_bio.weighted.mean_fa_in_tract_acoustic_radiation_.left..0.imaging",0.613149131822584,0.00589895439934912,103.942002313196,0,0.601587393653416,0.624710869991753
"2","gfa","=~","brain_bio.weighted.mean_fa_in_tract_acoustic_radiation_.right..0.imaging",0.615821325560182,0.00586895426607432,104.928629129035,0,0.604318386571764,0.6273242645486
"3","gfa","=~","brain_bio.weighted.mean_fa_in_tract_anterior_thalamic_radiation_.left..0.imaging",0.808852896210744,0.0033712979158939,239.923292568547,0,0.802245273714437,0.815460518707051
"4","gfa","=~","brain_bio.weighted.mean_fa_in_tract_anterior_thalamic_radiation_.right..0.imaging",0.801267231386185,0.00348262777188929,230.075472852359,0,0.794441406381723,0.808093056390647
"5","gfa","=~","brain_bio.weighted.mean_fa_in_tract_cingulate_gyrus_part_of_cingulum_.left..0.imaging",0.509062125827774,0.00696266601686855,73.1131041751051,0,0.495415551198331,0.522708700457217
"6","gfa","=~","brain_bio.weighted.mean_fa_in_tract_cingulate_gyrus_part_of_cingulum_.right..0.imaging",0.482506029633868,0.00720328642606756,66.9841515516798,0,0.468387847668449,0.496624211599286
"7","gfa","=~","brain_bio.weighted.mean_fa_in_tract_corticospinal_tract_.left..0.imaging",0.55357036574185,0.00653101093993797,84.760287623574,0,0.540769819516935,0.566370911966766
"8","gfa","=~","brain_bio.weighted.mean_fa_in_tract_corticospinal_tract_.right..0.imaging",0.550098992788576,0.00656601677880067,83.7797117065936,0,0.537229836380241,0.562968149196911
"9","gfa","=~","brain_bio.weighted.mean_fa_in_tract_forceps_major.0.imaging",0.590030750705172,0.0061722375088617,95.5943043115312,0,0.577933387483776,0.602128113926568
"10","gfa","=~","brain_bio.weighted.mean_fa_in_tract_forceps_minor.0.imaging",0.835716363733773,0.0029763825460964,280.78257777376,0,0.829882761139211,0.841549966328336
"11","gfa","=~","brain_bio.weighted.mean_fa_in_tract_inferior_fronto.occipital_fasciculus_.left..0.imaging",0.887903497307114,0.00221813341059796,400.293099172855,0,0.883556035709437,0.892250958904791
