"","lhs","op","rhs","est.std","se","z","pvalue","ci.lower","ci.upper"
"1","gMD","=~","brain_bio.weighted.mean_md_in_tract_acoustic_radiation_.left..0.imaging",0.535528137701133,0.00655404574540622,81.7095513983082,0,0.522682444087109,0.548373831315157
"2","gMD","=~","brain_bio.weighted.mean_md_in_tract_acoustic_radiation_.right..0.imaging",0.556332094729287,0.00635012696846803,87.6096017436801,0,0.543886074573833,0.568778114884741
"3","gMD","=~","brain_bio.weighted.mean_md_in_tract_anterior_thalamic_radiation_.left..0.imaging",0.835149735984122,0.0028809414318954,289.887786935908,0,0.829503194536038,0.840796277432206
"4","gMD","=~","brain_bio.weighted.mean_md_in_tract_anterior_thalamic_radiation_.right..0.imaging",0.841542184918088,0.0027849322089399,302.176901188709,0,0.83608381808918,0.847000551746996
"5","gMD","=~","brain_bio.weighted.mean_md_in_tract_cingulate_gyrus_part_of_cingulum_.left..0.imaging",0.735481912108313,0.00427665263449105,171.9760698301,0,0.727099826970322,0.743863997246303
"6","gMD","=~","brain_bio.weighted.mean_md_in_tract_cingulate_gyrus_part_of_cingulum_.right..0.imaging",0.729693594849497,0.00435274434652813,167.639892618899,0,0.721162372696391,0.738224817002602
"7","gMD","=~","brain_bio.weighted.mean_md_in_tract_corticospinal_tract_.left..0.imaging",0.643662907116249,0.00541051834350925,118.965109486861,0,0.633058486025277,0.65426732820722
"8","gMD","=~","brain_bio.weighted.mean_md_in_tract_corticospinal_tract_.right..0.imaging",0.646914840252264,0.00537284901007943,120.404433297615,0,0.636384249698137,0.657445430806392
"9","gMD","=~","brain_bio.weighted.mean_md_in_tract_forceps_major.0.imaging",0.485001461968662,0.00701528375585983,69.134974271503,0,0.471251758465848,0.498751165471476
"10","gMD","=~","brain_bio.weighted.mean_md_in_tract_forceps_minor.0.imaging",0.785786382252051,0.00359157740975808,218.785868325467,0,0.778747019881238,0.792825744622865
"11","gMD","=~","brain_bio.weighted.mean_md_in_tract_inferior_fronto.occipital_fasciculus_.left..0.imaging",0.888123161299521,0.00210263454885994,422.385888114064,0,0.884002073311106,0.892244249287936
"12","gMD","=~","brain_bio.weighted.mean_md_in_tract_inferior_fronto.occipital_fasciculus_.right..0.imaging",0.943081371223768,0.00121622055552469,775.419694182782,0,0.940697622737682,0.945465119709854
"13","gMD","=~","brain_bio.weighted.mean_md_in_tract_inferior_longitudinal_fasciculus_.left..0.imaging",0.865106112238613,0.00244468484834446,353.872243624556,0,0.860314617982308,0.869897606494919
"14","gMD","=~","brain_bio.weighted.mean_md_in_tract_inferior_longitudinal_fasciculus_.right..0.imaging",0.901299772960086,0.00187366180667934,481.036529509797,0,0.897627463299787,0.904972082620386
"15","gMD","=~","brain_bio.weighted.mean_md_in_tract_posterior_thalamic_radiation_.left..0.imaging",0.723464005582491,0.00443515877892675,163.120204178476,0,0.714771254110078,0.732156757054904
"16","gMD","=~","brain_bio.weighted.mean_md_in_tract_posterior_thalamic_radiation_.right..0.imaging",0.76766332848655,0.00384390105299299,199.709440462527,0,0.760129420862548,0.775197236110552
"17","gMD","=~","brain_bio.weighted.mean_md_in_tract_superior_longitudinal_fasciculus_.left..0.imaging",0.88033524292582,0.00219861240743564,400.404928103086,0,0.876026041791283,0.884644444060356
"18","gMD","=~","brain_bio.weighted.mean_md_in_tract_superior_longitudinal_fasciculus_.right..0.imaging",0.891360431428557,0.00202415016898666,440.362797724042,0,0.887393169998043,0.895327692859072
"19","gMD","=~","brain_bio.weighted.mean_md_in_tract_superior_thalamic_radiation_.left..0.imaging",0.812949532499001,0.00320521186644554,253.633633710627,0,0.806667432677947,0.819231632320054
"20","gMD","=~","brain_bio.weighted.mean_md_in_tract_superior_thalamic_radiation_.right..0.imaging",0.797616131253977,0.00342660287243904,232.771686987537,0,0.790900113034675,0.804332149473279
"21","gMD","=~","brain_bio.weighted.mean_md_in_tract_uncinate_fasciculus_.left..0.imaging",0.659111792432153,0.00523168135914953,125.984697305667,0,0.64885788538963,0.669365699474676
"22","gMD","=~","brain_bio.weighted.mean_md_in_tract_uncinate_fasciculus_.right..0.imaging",0.722957161427502,0.00443982963473002,162.834437558653,0,0.714255255245938,0.731659067609067
"23","brain_bio.weighted.mean_md_in_tract_acoustic_radiation_.left..0.imaging","~~","brain_bio.weighted.mean_md_in_tract_acoustic_radiation_.right..0.imaging",0.302415398641753,0.00824890004361365,36.6612999360908,0,0.286247851644199,0.318582945639306
"24","brain_bio.weighted.mean_md_in_tract_anterior_thalamic_radiation_.left..0.imaging","~~","brain_bio.weighted.mean_md_in_tract_anterior_thalamic_radiation_.right..0.imaging",0.717519916416295,0.00457975968279449,156.671957943976,0,0.708543752380169,0.72649608045242
"25","brain_bio.weighted.mean_md_in_tract_cingulate_gyrus_part_of_cingulum_.left..0.imaging","~~","brain_bio.weighted.mean_md_in_tract_cingulate_gyrus_part_of_cingulum_.right..0.imaging",0.705866446075918,0.00461219138474521,153.043615755098,0,0.696826717072011,0.714906175079824
"26","brain_bio.weighted.mean_md_in_tract_corticospinal_tract_.left..0.imaging","~~","brain_bio.weighted.mean_md_in_tract_corticospinal_tract_.right..0.imaging",0.638040297758104,0.00540334571639724,118.082449513063,0,0.627449934757947,0.648630660758261
"27","brain_bio.weighted.mean_md_in_tract_inferior_fronto.occipital_fasciculus_.left..0.imaging","~~","brain_bio.weighted.mean_md_in_tract_inferior_fronto.occipital_fasciculus_.right..0.imaging",0.178190538205696,0.00900515924515624,19.7876054553441,0,0.160540750410142,0.19584032600125
"28","brain_bio.weighted.mean_md_in_tract_inferior_longitudinal_fasciculus_.left..0.imaging","~~","brain_bio.weighted.mean_md_in_tract_inferior_longitudinal_fasciculus_.right..0.imaging",0.484706798127149,0.00759643476595516,63.8071428322472,0,0.469818059574969,0.49959553667933
"29","brain_bio.weighted.mean_md_in_tract_posterior_thalamic_radiation_.left..0.imaging","~~","brain_bio.weighted.mean_md_in_tract_posterior_thalamic_radiation_.right..0.imaging",0.62513084534312,0.00562230770311648,111.18759028372,0,0.614111324735009,0.63615036595123
"30","brain_bio.weighted.mean_md_in_tract_superior_longitudinal_fasciculus_.left..0.imaging","~~","brain_bio.weighted.mean_md_in_tract_superior_longitudinal_fasciculus_.right..0.imaging",0.636679406491198,0.00582406713163963,109.318692951253,0,0.625264444669641,0.648094368312756
"31","brain_bio.weighted.mean_md_in_tract_superior_thalamic_radiation_.left..0.imaging","~~","brain_bio.weighted.mean_md_in_tract_superior_thalamic_radiation_.right..0.imaging",0.728318680514804,0.00437968660183088,166.29470250459,0,0.719734652511643,0.736902708517966
"32","brain_bio.weighted.mean_md_in_tract_uncinate_fasciculus_.left..0.imaging","~~","brain_bio.weighted.mean_md_in_tract_uncinate_fasciculus_.right..0.imaging",0.552548039901984,0.0063698724700508,86.7439721124554,0,0.540063319274571,0.565032760529396
"33","brain_bio.weighted.mean_md_in_tract_inferior_fronto.occipital_fasciculus_.left..0.imaging","~~","brain_bio.weighted.mean_md_in_tract_inferior_longitudinal_fasciculus_.left..0.imaging",0.526274553713573,0.00681105952531373,77.2676485585893,0,0.5129251223474,0.539623985079746
"34","brain_bio.weighted.mean_md_in_tract_inferior_fronto.occipital_fasciculus_.left..0.imaging","~~","brain_bio.weighted.mean_md_in_tract_inferior_longitudinal_fasciculus_.right..0.imaging",0.1469921994616,0.00981893440811062,14.9702802108732,0,0.127747441655142,0.166236957268058
"35","brain_bio.weighted.mean_md_in_tract_inferior_fronto.occipital_fasciculus_.right..0.imaging","~~","brain_bio.weighted.mean_md_in_tract_inferior_fronto.occipital_fasciculus_.right..0.imaging",0.110597527250697,0.00229398988476384,48.2118635244476,0,0.106101389695661,0.115093664805734
"36","brain_bio.weighted.mean_md_in_tract_acoustic_radiation_.left..0.imaging","~~","brain_bio.weighted.mean_md_in_tract_acoustic_radiation_.left..0.imaging",0.713209613730357,0.00701975185239432,101.600402510965,0,0.699451152919255,0.726968074541458
"37","brain_bio.weighted.mean_md_in_tract_acoustic_radiation_.right..0.imaging","~~","brain_bio.weighted.mean_md_in_tract_acoustic_radiation_.right..0.imaging",0.690494600374124,0.00706555898893411,97.7268184237875,0,0.67664635922517,0.704342841523078
"38","brain_bio.weighted.mean_md_in_tract_anterior_thalamic_radiation_.left..0.imaging","~~","brain_bio.weighted.mean_md_in_tract_anterior_thalamic_radiation_.left..0.imaging",0.302524918485651,0.00481203490714411,62.8683964940721,0,0.293093503375299,0.311956333596003
"39","brain_bio.weighted.mean_md_in_tract_anterior_thalamic_radiation_.right..0.imaging","~~","brain_bio.weighted.mean_md_in_tract_anterior_thalamic_radiation_.right..0.imaging",0.291806751003291,0.00468727582273228,62.2550841979665,0,0.28261985920513,0.300993642801451
"40","brain_bio.weighted.mean_md_in_tract_cingulate_gyrus_part_of_cingulum_.left..0.imaging","~~","brain_bio.weighted.mean_md_in_tract_cingulate_gyrus_part_of_cingulum_.left..0.imaging",0.4590663569615,0.00629080128582806,72.9742263510512,0,0.446736613007379,0.471396100915622
"41","brain_bio.weighted.mean_md_in_tract_cingulate_gyrus_part_of_cingulum_.right..0.imaging","~~","brain_bio.weighted.mean_md_in_tract_cingulate_gyrus_part_of_cingulum_.right..0.imaging",0.467547257635619,0.00635233936143993,73.6023740283354,0,0.45509690126962,0.479997614001617
"42","brain_bio.weighted.mean_md_in_tract_corticospinal_tract_.left..0.imaging","~~","brain_bio.weighted.mean_md_in_tract_corticospinal_tract_.left..0.imaging",0.58569806200266,0.00696509993778834,84.0904031864672,0,0.572046716975872,0.599349407029447
"43","brain_bio.weighted.mean_md_in_tract_corticospinal_tract_.right..0.imaging","~~","brain_bio.weighted.mean_md_in_tract_corticospinal_tract_.right..0.imaging",0.581501189461388,0.00695155161478009,83.6505605777313,0,0.567876398659747,0.595125980263028
"44","brain_bio.weighted.mean_md_in_tract_forceps_major.0.imaging","~~","brain_bio.weighted.mean_md_in_tract_forceps_major.0.imaging",0.76477358188826,0.00680484585884028,112.386613562265,0,0.751436329084587,0.778110834691934
"45","brain_bio.weighted.mean_md_in_tract_forceps_minor.0.imaging","~~","brain_bio.weighted.mean_md_in_tract_forceps_minor.0.imaging",0.382539761467233,0.00564442522760178,67.7730231231654,0,0.371476891307704,0.393602631626762
"46","brain_bio.weighted.mean_md_in_tract_inferior_fronto.occipital_fasciculus_.left..0.imaging","~~","brain_bio.weighted.mean_md_in_tract_inferior_fronto.occipital_fasciculus_.left..0.imaging",0.211237250363345,0.00373479685383874,56.5592343118284,0,0.203917183040247,0.218557317686442
"47","brain_bio.weighted.mean_md_in_tract_inferior_longitudinal_fasciculus_.left..0.imaging","~~","brain_bio.weighted.mean_md_in_tract_inferior_longitudinal_fasciculus_.left..0.imaging",0.251591414567392,0.00422982360705587,59.480356142442,0,0.243301112636605,0.259881716498178
"48","brain_bio.weighted.mean_md_in_tract_inferior_longitudinal_fasciculus_.right..0.imaging","~~","brain_bio.weighted.mean_md_in_tract_inferior_longitudinal_fasciculus_.right..0.imaging",0.187658719262097,0.00337746185195263,55.562054432563,0,0.181039015673112,0.194278422851082
"49","brain_bio.weighted.mean_md_in_tract_posterior_thalamic_radiation_.left..0.imaging","~~","brain_bio.weighted.mean_md_in_tract_posterior_thalamic_radiation_.left..0.imaging",0.476599832626538,0.00641735539922224,74.2673271117725,0,0.464022047168068,0.489177618085007
"50","brain_bio.weighted.mean_md_in_tract_posterior_thalamic_radiation_.right..0.imaging","~~","brain_bio.weighted.mean_md_in_tract_posterior_thalamic_radiation_.right..0.imaging",0.410693014096951,0.00590164381713118,69.5895968687232,0,0.399126004765791,0.422260023428112
"51","brain_bio.weighted.mean_md_in_tract_superior_longitudinal_fasciculus_.left..0.imaging","~~","brain_bio.weighted.mean_md_in_tract_superior_longitudinal_fasciculus_.left..0.imaging",0.225009860062738,0.00387103200183429,58.1265822540649,0,0.217422776756141,0.232596943369336
"52","brain_bio.weighted.mean_md_in_tract_superior_longitudinal_fasciculus_.right..0.imaging","~~","brain_bio.weighted.mean_md_in_tract_superior_longitudinal_fasciculus_.right..0.imaging",0.205476581283496,0.0036084946700517,56.9424649532742,0,0.19840406169179,0.212549100875202
"53","brain_bio.weighted.mean_md_in_tract_superior_thalamic_radiation_.left..0.imaging","~~","brain_bio.weighted.mean_md_in_tract_superior_thalamic_radiation_.left..0.imaging",0.339113057609656,0.00521135101019697,65.0720047346875,0,0.328898997318874,0.349327117900439
"54","brain_bio.weighted.mean_md_in_tract_superior_thalamic_radiation_.right..0.imaging","~~","brain_bio.weighted.mean_md_in_tract_superior_thalamic_radiation_.right..0.imaging",0.363808507163439,0.00546622741085326,66.5556845368512,0,0.35309489830686,0.374522116020017
"55","brain_bio.weighted.mean_md_in_tract_uncinate_fasciculus_.left..0.imaging","~~","brain_bio.weighted.mean_md_in_tract_uncinate_fasciculus_.left..0.imaging",0.565571645076874,0.00689652585209016,82.0081961855423,0,0.552054702788328,0.579088587365421
"56","brain_bio.weighted.mean_md_in_tract_uncinate_fasciculus_.right..0.imaging","~~","brain_bio.weighted.mean_md_in_tract_uncinate_fasciculus_.right..0.imaging",0.477332942740689,0.00641961326550675,74.3554047570822,0,0.46475073194562,0.489915153535757
"57","gMD","~~","gMD",1,0,NA,NA,1,1
