"","Mode1","Mode2","Mode3","Mode4","Mode5","Mode6","Mode7","Mode8","Mode9","Mode10"
"heart_cmr_LVEDV",-0.735435384430939,-0.255121821789682,-0.053295969601437,-0.0120639438051872,0.022266117994419,0.15119605039415,0.0492520932173889,-0.0640666245917687,0.0323243663915113,0.0670001578707936
"heart_cmr_LVESV",-0.679046463464351,-0.227004712979398,0.00790731060321989,0.0210570699692464,0.0285760129826543,0.0892831129389711,0.0515911803163434,-0.139059689534843,0.0246796525271582,0.0317442565124371
"heart_cmr_LVSV",-0.631464228892502,-0.2272220100536,-0.10028665950021,-0.0410935982390142,0.0114650109140822,0.177857828646119,0.0364512780879646,0.0212707193669567,0.0326864135943372,0.0862803916137596
"heart_cmr_LVEF",0.284042115865805,0.0867140712405614,-0.102738391496345,-0.0865865399456632,-0.0297183103097778,0.0568131722553639,-0.0380244653069766,0.16337109138313,0.0194434923577599,0.0458617505938039
"heart_cmr_LVCO",-0.530652058497925,-0.0607038347880953,-0.251820989448371,-0.363512491988142,0.112113450040153,0.208816323062002,-0.00307761237798627,0.125578361453402,0.026112753558863,-0.0459497157497648
"heart_cmr_LVM",-0.88893521648119,-0.0505683948916884,-0.120030938095174,-0.0544987520115849,0.023918046684922,0.0368240935823942,0.0400768781712867,-0.0724737034074809,-0.0126656384156434,0.0636440654835868
"heart_cmr_RVEDV",-0.7769327402342,-0.291290453548367,0.00310254850738016,0.0792904550686962,0.0208801458568752,0.106984367998646,0.0582432568752621,-0.0331629765966389,0.0155855779620835,0.0354098739386327
"heart_cmr_RVESV",-0.744748314752625,-0.284001818590036,0.0449920909077482,0.0917624851302234,0.0288097744916063,0.048963029739902,0.0705834145367706,-0.0499692514303737,0.0412633561356109,0.0181906627844863
"heart_cmr_RVSV",-0.663087330537002,-0.243555848491911,-0.0417724965779383,0.0510143672050516,0.00852314902485692,0.147961371165369,0.0341123869227697,-0.00908395658458861,-0.0145267282774805,0.0468740712442763
"heart_cmr_RVEF",0.357122097297183,0.131733945140227,-0.0959111360260214,-0.0863251578735128,-0.0402869571625801,0.0703392907520126,-0.0532842759700975,0.0304485684027197,-0.0593745774471969,0.0120365810952374
"heart_cmr_LAV.min",-0.263422254799911,0.00311532600703175,-0.0861801550935567,0.0066878801271598,-0.134120460562045,0.0141337326116359,0.058563780356403,-0.117193222537276,-0.0195776147573394,0.1768112236028
"heart_cmr_LASV",-0.332781712073246,-0.194147064742631,-0.191427754322074,0.015751904419157,-0.0452397320926522,0.155350005930555,0.0013802929456192,-0.0599606943464407,-0.0539456089695805,0.0129457114250916
"heart_cmr_LAEF",0.0636744289081428,-0.110998168666806,-0.0316918248717228,-0.0360018848336163,0.124229737266503,0.084990870335878,-0.0686082370846447,0.0740316686564652,0.00816807046900811,-0.237068568727259
"heart_cmr_RAV.min",-0.536374080225331,-0.180760155517143,0.21050425773529,0.127863479159331,0.0145356798131588,0.0844314097074311,0.0286214178847926,-0.00481261960225774,0.0523213253019671,0.0967056364638458
"heart_cmr_RASV",-0.311752081484633,-0.148381875917352,0.128456614292278,0.0435601114539858,0.154531007648647,0.117546747587325,-0.0034068989401175,0.040219092934848,0.0575927300509064,-0.0389481699473033
"heart_cmr_RAEF",0.289163500233184,0.0430363802623336,-0.0890610295451015,-0.0912119692666194,0.096868180911437,-0.0106230255583075,-0.0330625420218626,0.0489927864782787,0.00383764871554782,-0.121593842078624
"heart_cmr_AAo.min.area",-0.507294924912916,0.375071452757037,0.0996757541070522,0.0370639613607483,0.210582971793258,0.00866536418069199,0.0714126042586986,-0.0647456113857424,-0.00164672665717424,0.0156639183493542
"heart_cmr_AAo.distensibility",-0.010777868831572,-0.540522229618929,-0.199414744598844,0.0460600886422785,-0.107517712068195,-0.113266110702897,-0.00251968804322337,0.00449096209666365,-0.0605692618560233,-0.018127714373114
"heart_cmr_DAo.min.area",-0.657811498785487,0.419890048031949,0.137495391523123,0.0271325700436194,0.0200905608146249,0.080795582715977,0.033064431401328,-0.0185707084350498,-0.0226543999495541,0.034034761446675
"heart_cmr_DAo.distensibility",0.00476483023934759,-0.47674330075964,-0.182925039746311,0.112120934303239,-0.109779377981959,-0.0967628022772102,0.00660461369900747,-0.0288158718409539,-0.0423970445657363,0.0272625297515858
"heart_cmr_WT_AHA_1",-0.609753416822321,0.169626987818682,-0.0628317422675262,-0.0740248236872743,-0.00239237007602977,0.0575219124391135,0.070146532360036,-0.0481601738400491,-0.0715877703560231,-0.00232562055357708
"heart_cmr_WT_AHA_2",-0.422698814979313,0.0109575809161522,-0.0648149910783123,-0.0526130836324023,0.0157388703664094,-0.0216758122304722,0.12880781559872,-0.101668337542637,0.016367853456935,0.0763449569327809
"heart_cmr_WT_AHA_3",-0.44633849980205,-0.0243236119223935,-0.0953270974561953,-0.0837386667611497,0.0355320082128762,-0.150591820142983,0.0600452073453817,-0.10140593443868,-0.0522375367268083,0.0858169030874283
"heart_cmr_WT_AHA_4",-0.658681162361089,0.0817714819757712,-0.0633693588769728,-0.0986614002513229,0.0799222123685963,-0.0886185657491799,0.0985246800699743,-0.100930765562188,-0.109096062841758,0.0265046515063535
"heart_cmr_WT_AHA_5",-0.68025324371894,0.0909985115324335,-0.122399289941222,-0.0683906005254198,0.0725708483976659,-0.0953443609198208,0.0800322902994998,-0.0689428676666287,-0.0841546426862024,0.0535247326553381
"heart_cmr_WT_AHA_6",-0.672868012089692,0.151961802082483,-0.107008676104045,-0.0739293424565294,0.0231925827723497,-0.0749820015180523,0.0295873486696219,-0.0483966139988401,-0.0482999104175304,0.0411606577009457
"heart_cmr_WT_AHA_7",-0.722193422019407,0.161967751095552,-0.13470052036665,-0.111551256073184,0.0626993617728936,-0.0724402436240015,-0.0183876236003312,0.000332251052223755,-0.0660963373213532,0.048837879086955
"heart_cmr_WT_AHA_8",-0.699219973971921,0.150429299845282,-0.113854622206169,-0.106034396702313,0.0714969779747622,-0.0407368741800478,-0.0161756837493211,0.00312987835984084,-0.0760838618830653,0.0024347667786943
