"","Mode1","Mode2","Mode3","Mode4","Mode5","Mode6","Mode7","Mode8","Mode9","Mode10"
"heart_shape_Volume_LV_ED",-0.744971518437834,-0.288797214420042,0.14836338628271,0.074539201371424,-0.206093590197845,0.0772130943670503,-0.0593273065303082,0.0538728830618333,-0.0506733457723482,0.0357348794197543
"heart_shape_SurfaceArea_LV_ED",-0.779825983081502,-0.20873716208671,0.167024893833463,0.079304912700468,-0.147123474117622,0.0887957621721986,-0.0537902811592869,0.0694534077911072,-0.0470019212023029,-0.0127993157252985
"heart_shape_SurfaceAreatoVolumeRatio_LV_ED",0.483719249647264,0.394681305586098,-0.0866771375941631,-0.0484411887113026,0.251510674358595,-0.0823498265108118,0.0665565991187405,-0.00307747970791133,0.0223510426682553,-0.138520874592538
"heart_shape_Sphericity_LV_ED",0.315884648684905,-0.231274072846533,-0.091183422454961,-0.0104498220276748,-0.150942774107499,-0.0283769132495351,-0.0132472984750495,-0.0472606289427441,0.0121700175042653,0.165605159716804
"heart_shape_Max3Ddiameter_LV_ED",-0.662541113110464,-0.19563694789227,0.0856197228147022,0.0199423057857876,-0.149542309893416,0.055267973970731,0.034559204610083,0.0154383225522997,0.0855965872836564,0.0359144985442072
"heart_shape_Max2DdiameterSlice_LV_ED",-0.522122152334614,-0.135783471283546,0.157561024719244,0.0174098773498299,-0.143220707830395,0.0534976747758067,-0.0539142798723748,0.110305868247764,-0.0945603657692841,-0.0794044396784638
"heart_shape_Max2DdiameterColumn_LV_ED",-0.70379777874477,-0.255721211713089,0.101969148616391,0.0165786765650928,-0.180783743655354,0.0565685435010388,0.0270405695743501,0.0079594504707741,0.0728988546906357,0.0447119438710816
"heart_shape_Max2DdiameterRow_LV_ED",-0.661578986524416,-0.21896592042585,0.0974661641147005,0.0258038285789059,-0.177910168254034,0.0714687596813167,0.0635001037817513,0.0259336670012857,0.0897501852503286,0.0587870535990032
"heart_shape_MajorAxis_LV_ED",-0.719329286655818,-0.181428634684332,0.0933090747101282,0.0607204131166786,-0.139272159207981,0.0792377135803884,0.082817574365912,0.00218448521525386,0.113436235918768,0.00910073921886376
"heart_shape_MinorAxis_LV_ED",-0.618661092296155,-0.272066699684944,0.211169144389409,0.0757146879134597,-0.143145140681522,0.0855301255467191,-0.137914476591525,0.06801074383511,-0.117726295213352,-0.0279673574932684
"heart_shape_LeastAxis_LV_ED",-0.658240093842756,-0.215195526871975,0.133805767985564,0.0304356905986986,-0.184889037142905,0.103264655530555,-0.115369018347085,0.055217156694149,-0.0974832693159141,0.0507987430048744
"heart_shape_Elongation_LV_ED",0.175198079936033,-0.0501662593944492,0.0908116411997437,0.00899038123837495,0.0158346865373712,-0.0135002239074897,-0.207005871589035,0.0621786469267266,-0.218680865222042,-0.0316257153248775
"heart_shape_Flatness_LV_ED",0.155452137785158,0.00466226560498313,0.0224515829179199,-0.0295800515731896,-0.0189040522648757,0.00635744546122875,-0.196351159353363,0.0520203239725315,-0.210025584252669,0.0364592051548979
"heart_shape_Volume_LV_ES",-0.68356233821757,-0.263317531685987,0.0707568676886593,0.016053692253248,-0.0846036616178192,0.0876216043045636,-0.0523154997426211,0.0991869820163805,-0.0337309053742353,-0.0516845763191304
"heart_shape_SurfaceArea_LV_ES",-0.739873141788585,-0.194206273708571,0.0793764952667955,0.0215909243309291,-0.0484533910905153,0.0898872126825151,-0.0430984854980496,0.10717732054412,-0.0209518640145316,-0.0901737222759199
"heart_shape_SurfaceAreatoVolumeRatio_LV_ES",0.470743379438325,0.409933817690718,-0.0570519783153746,0.00956087469306612,0.105364857822276,-0.107347994192935,0.0808885189173432,-0.0242140203544234,0.0429851258673279,-0.0492250494518679
"heart_shape_Sphericity_LV_ES",0.347337122638967,-0.286739194853648,-0.0318756306295498,-0.0238274658468202,-0.107455677822347,-0.0108653387635427,-0.0407374318845677,-0.0667685038631084,-0.0370055215410764,0.170859478678015
"heart_shape_Max3Ddiameter_LV_ES",-0.649663195447382,-0.167622600124562,0.0394373437800441,0.00181064407905973,-0.0794705707998705,0.087199311310617,0.0461492503769152,0.0499929621481532,0.0639485327419288,-0.0433536790865146
"heart_shape_Max2DdiameterSlice_LV_ES",-0.586589270552541,-0.0145074218395921,0.0299716226627096,-0.032165701725042,-0.0728849554973016,0.093017060586813,-0.0473624613715259,0.106025606420534,0.0146546810776879,-0.0408602517380541
"heart_shape_Max2DdiameterColumn_LV_ES",-0.662036488591415,-0.205969838623203,0.0536743054193421,0.040273779024066,-0.0517960211393658,0.0948530481447402,0.0515566778558989,0.0354667804622197,0.0442628899699157,-0.0086233170965392
"heart_shape_Max2DdiameterRow_LV_ES",-0.647496442994132,-0.200448846652661,0.0459648838258024,0.0142725763459923,-0.0888205227268829,0.0645547047847251,0.0655151518196062,0.027705044904657,0.0440826154909119,-0.0512323308621369
"heart_shape_MajorAxis_LV_ES",-0.701865276655294,-0.127965111509653,0.00414795580872719,0.0399234314024133,-0.0605511699158232,0.0912524908050973,0.0689276902397116,0.0635783507480344,0.0437841649478576,-0.0680850138810702
"heart_shape_MinorAxis_LV_ES",-0.653732135617407,-0.142537083514598,0.0852584636702711,-0.00187617804213116,-0.0478619784241598,0.122604093096219,-0.127061572859614,0.0932208303888341,-0.0026475879376019,-0.0891222699154633
"heart_shape_LeastAxis_LV_ES",-0.630432117789651,-0.253546785004997,0.118280928412889,-0.0143281840491889,-0.0257896209585795,0.103783242302219,-0.082458936228808,0.0960509045180365,-0.0707474115681901,-0.053543303120531
"heart_shape_Elongation_LV_ES",0.0862075183212394,-0.00561885130064067,0.0840390443191206,-0.0405807005648014,0.0175618322243554,0.0290356847904636,-0.206485463032832,0.0403642041097938,-0.0337325427871661,-0.0271050946409525
"heart_shape_Flatness_LV_ES",0.134528291137113,-0.118308121188962,0.116257462886958,-0.0561600376517436,0.0390520427868635,0.0064357153295556,-0.157020667012698,0.0402604202780344,-0.102506960210928,0.013046856191314
"heart_shape_Volume_RV_ED",-0.793421029596992,-0.3377559990552,0.127190410184064,-0.0111021803050765,-0.0899680791073452,0.0749224637826277,-0.11088835782373,0.0603839758145579,-0.013765107511712,0.0421333461913428
"heart_shape_SurfaceArea_RV_ED",-0.76995666605915,-0.401663680559795,0.0822151518904575,0.0513910534067149,-0.0887569741829766,0.0562273907308226,-0.133862686081667,0.0591679329045479,-0.045442767819533,0.0279211332744951
"heart_shape_SurfaceAreatoVolumeRatio_RV_ED",0.688846748459883,0.16001367972884,-0.191389844279134,0.117462988450061,0.060663438385152,-0.132099302795082,0.0734292130432128,-0.0400484791527976,-0.0648946058559366,-0.102797619462796
"heart_shape_Sphericity_RV_ED",-0.0298999573929542,0.272559052164788,0.166099951702285,-0.228000630568195,0.0220063759691932,0.0972910352989541,0.0755652023311086,-0.00356168210643976,0.129819414045429,0.093090938032274
"heart_shape_Max3Ddiameter_RV_ED",-0.683085802945608,-0.343243539742569,0.0734533857912452,0.0115762904419744,-0.10753886495415,-0.0104860196944363,-0.0622949733929737,-0.0275572617257686,0.0475530263532322,0.0923997211443099
"heart_shape_Max2DdiameterSlice_RV_ED",-0.475461854596441,-0.457476032232111,0.00103308311900874,0.148937434601434,-0.058011346940799,0.0195650371664542,-0.152067577785457,0.0415266086249598,-0.128601234055514,0.0325480578654273
"heart_shape_Max2DdiameterColumn_RV_ED",-0.6301566905729,-0.304245379962906,0.132297925513167,0.0558335294540809,-0.0911051172158049,0.0358765013631029,-0.080259174512902,-0.03399752279523,0.0923096909406296,0.0654572186240429
"heart_shape_Max2DdiameterRow_RV_ED",-0.60574136193466,-0.305073673117574,0.101266476491139,0.0580487974719296,-0.0946572685000268,-0.018728201696873,-0.0564210902925818,0.0673226680170078,-0.0460918437724061,-0.0144052613960484
"heart_shape_MajorAxis_RV_ED",-0.631437102109423,-0.465852762411018,0.0922219883456109,0.0897694009077631,-0.147095040050952,-0.0428518766194872,-0.0671545980528566,0.0411427088742016,0.00278682719806021,0.0170964394465329
"heart_shape_MinorAxis_RV_ED",-0.563433988528005,-0.434867010432669,0.0682044062733648,0.0308801832564232,-0.0862824587224387,0.0563541391339522,-0.111446831017965,-0.0105958773273862,-0.129263106298055,0.0536438085549245
"heart_shape_LeastAxis_RV_ED",-0.69906710208255,-0.0685943410031011,0.0255743040852928,-0.0190640988202644,-0.0660967476381831,0.119654120659729,-0.166509223792574,0.0939471473982857,0.0461712918207771,0.0131863151207387
"heart_shape_Elongation_RV_ED",-0.0772470370362795,-0.0699580092643986,-0.0021642586102725,-0.0446349164650001,0.0345892215987598,0.0905246289622366,-0.0684640884837819,-0.0455147084485076,-0.147328447765584,0.0454660835877437
"heart_shape_Flatness_RV_ED",-0.0705983398789533,0.380614881790087,-0.0690120643517398,-0.101519190099704,0.0757391959011686,0.157076356547811,-0.0965748203093341,0.0466831140801375,0.0388948863750103,-0.000799611166279367
"heart_shape_Volume_RV_ES",-0.766197544794529,-0.339561563908016,0.105272027618198,-0.0500937681854981,0.0348343657480238,0.0831635286278134,-0.126680144342373,0.0640991574675298,-0.0109212980196769,-0.0196936929454641
"heart_shape_SurfaceArea_RV_ES",-0.770261582031458,-0.373980161892823,0.0857526717688392,-0.00113104405504003,0.0308222756871166,0.0719176382404305,-0.132994068658333,0.0733391897042167,-0.0454365931110205,-0.0373456311498215
"heart_shape_SurfaceAreatoVolumeRatio_RV_ES",0.677237126144494,0.238993757859034,-0.128310347418132,0.110138635919166,-0.0544604256267543,-0.133300568348959,0.121109525404333,-0.0485099293452481,-0.0673540476814312,-0.0505886801515061
"heart_shape_Sphericity_RV_ES",-0.0709222000212878,0.135740281997728,0.102289537502341,-0.207631546771697,0.049299829587379,0.0967511466684832,0.00078917404663641,-0.0279093239006492,0.169891075919334,0.12543133712292
"heart_shape_Max3Ddiameter_RV_ES",-0.685486909236326,-0.217978265214822,0.0930864896540646,0.0312477259386834,-0.0301627440551294,0.0182543078425571,-0.00293840102338702,0.0797695347005902,0.0149834605522178,-0.00418374553018915
"heart_shape_Max2DdiameterSlice_RV_ES",-0.525453964902218,-0.23764615435064,0.0433177884109755,0.0643022550038327,0.0218310472821227,-0.033712464410463,-0.0987968572511036,0.0883018840460346,-0.126729761633274,0.0420541706607083
"heart_shape_Max2DdiameterColumn_RV_ES",-0.591939130312064,-0.265516196093831,0.158002095564114,-0.0311329416761423,-0.00700120048382025,-0.000931897203735169,-0.0529689768999998,-0.003920008371615,0.102732541347196,-0.0315661579872221
