,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
heart_intensity_Percentile90_MYO_ES,-0.018998102,-0.118714266,-0.041127571,0.011151534,-0.003954235,0.035166613,0.022409578,-0.039446272,-0.048961184,-0.020686415
heart_intensity_RootMeanSquared_MYO_ES,-0.014395827,-0.113436538,-0.069350334,-0.013097938,0.014747927,0.016830758,0.011038806,-0.024699631,-0.039644996,-0.010928307
heart_intensity_Mean_MYO_ES,-0.013146755,-0.111301036,-0.07451585,-0.017912445,0.019573647,0.015392567,0.008806866,-0.020887675,-0.040947482,-0.008929752
heart_intensity_Energy_MYO_ES,0.036357064,-0.109875068,-0.046186342,0.014591606,-0.002689549,0.011430814,0.02158588,-0.013493112,-0.049971324,-0.023349528
heart_intensity_Energy_MYO_ED,0.031893436,-0.109491525,-0.054014004,0.019888805,-0.02072678,-0.005865319,-0.010448078,0.04679108,-0.018207174,-0.017411971
heart_texture_ShortRunHighGrayLevelEmphasis_glrlm_MYO_ES,-0.031739751,-0.109176044,-0.020024722,-0.01009746,-0.001702342,0.053021189,0.021517224,-0.019073663,-0.052086731,-0.080495914
heart_intensity_TotalEnergy_MYO_ES,0.039450119,-0.109033127,-0.046156396,0.015653293,-0.000953963,0.012772989,0.020121711,-0.010961746,-0.045263153,-0.024654684
heart_texture_HighGrayLevelRunEmphasis_glrlm_MYO_ES,-0.018721952,-0.108608173,-0.045279128,-0.010492038,0.030023841,0.055227753,0.031250168,-0.036101965,-0.025655184,-0.083424992
heart_intensity_Median_MYO_ES,-0.011755977,-0.108199034,-0.076232245,-0.027262313,0.039112159,0.010079228,0.008304202,-0.021678524,-0.030802003,-0.006117752
heart_intensity_TotalEnergy_MYO_ED,0.035323763,-0.107904311,-0.053883146,0.021265363,-0.019153664,-0.00440178,-0.012896621,0.051044064,-0.011883426,-0.01860895
heart_intensity_Percentile90_MYO_ED,-0.041912273,-0.107398931,-0.051618889,0.014977011,-0.029005727,-0.00547574,-0.01034851,0.030483281,0.01011519,-0.015880155
heart_texture_HighGrayLevelEmphasis_gldm_MYO_ES,-0.018635302,-0.10689895,-0.045483278,-0.017129337,0.048707515,0.056071237,0.031985686,-0.033725325,-0.017083213,-0.082335588
heart_texture_HighGrayLevelRunEmphasis_glrlm_MYO_ED,-0.027610456,-0.10641613,-0.070833684,0.004477425,-0.007251413,0.007801578,-0.00969606,0.053652573,0.014869263,-0.017731463
heart_intensity_RootMeanSquared_MYO_ED,-0.023996848,-0.105808086,-0.081327046,-0.005530922,-0.00447379,0.000142532,-0.020113774,0.044739891,-0.004530415,-0.003449049
heart_texture_ShortRunHighGrayLevelEmphasis_glrlm_MYO_ED,-0.040872949,-0.105693009,-0.056909259,0.005071809,-0.014805815,-0.007734342,-0.013743676,0.048487609,0.013952981,-0.016684969
heart_texture_HighGrayLevelEmphasis_gldm_MYO_ED,-0.026376175,-0.105428271,-0.071507812,0.000610742,0.005063275,0.011436661,-0.012190096,0.059435656,0.022566967,-0.026073575
heart_texture_HighGrayLevelZoneEmphasis_glszm_MYO_ES,-0.019981511,-0.105408908,-0.039389182,0.012475679,-0.056363747,0.014398736,0.014401734,-0.040831387,-0.054230916,-0.023565534
heart_texture_Autocorrelation_glcm_MYO_ES,-0.017345191,-0.104978494,-0.047267011,-0.019999397,0.056250734,0.056845103,0.034235556,-0.037870037,-0.016458044,-0.083025322
heart_intensity_Mean_MYO_ED,-0.019193787,-0.103972439,-0.086377148,-0.011388081,0.003132685,0.005067197,-0.02130651,0.045263408,-0.010836137,-0.005089217
heart_texture_JointAverage_glcm_MYO_ES,-0.017931795,-0.103720176,-0.049764381,-0.029524986,0.075362537,0.060934275,0.031729868,-0.028183374,-0.013708892,-0.078199837
heart_texture_SumAverage_glcm_MYO_ES,-0.017931795,-0.103720176,-0.049764381,-0.029524987,0.075362535,0.060934276,0.031729868,-0.028183376,-0.013708895,-0.078199838
heart_intensity_Maximum_MYO_ES,-0.018090154,-0.103265306,-0.046717371,0.013840336,-0.07108518,-0.02700053,-0.008111838,-0.030320087,-0.034299273,0.032820307
heart_texture_Autocorrelation_glcm_MYO_ED,-0.020681203,-0.103144756,-0.07534962,-0.003944769,0.016430484,0.024292152,-0.012609837,0.055449512,0.019794895,-0.040514344
heart_intensity_Range_MYO_ES,-0.019098258,-0.102637665,-0.030221915,0.017552057,-0.068562544,-0.014647054,-0.001203842,-0.038674985,-0.020069178,0.014061915
heart_texture_JointAverage_glcm_MYO_ED,-0.019810985,-0.102498533,-0.078077156,-0.014504038,0.038811292,0.030220378,-0.016773826,0.062414104,0.019789885,-0.03389896
heart_texture_SumAverage_glcm_MYO_ED,-0.019810985,-0.102498532,-0.078077157,-0.014504037,0.038811292,0.030220379,-0.016773823,0.062414105,0.019789883,-0.03389896
heart_texture_SmallAreaHighGrayLevelEmphasis_glszm_MYO_ES,-0.018855405,-0.101592468,-0.042051399,0.011674289,-0.059905712,0.010087247,0.009146272,-0.046181309,-0.055893883,-0.015856117
heart_intensity_Median_MYO_ED,-0.013790169,-0.100172163,-0.090130879,-0.017980407,0.022522765,0.010519438,-0.023101323,0.05214114,-0.001753623,-0.012516655
heart_texture_HighGrayLevelZoneEmphasis_glszm_MYO_ED,-0.033932865,-0.099194005,-0.064663258,0.023574871,-0.060368584,-0.035205482,-0.013732951,0.035008858,-0.018429028,0.064769165
heart_texture_SmallDependenceHighGrayLevelEmphasis_gldm_MYO_ES,-0.043560315,-0.098282842,-0.002501317,0.007198061,-0.097016146,0.00979483,0.004671242,-0.015066771,-0.038299185,-0.072380838
heart_intensity_Percentile10_MYO_ES,-0.007831788,-0.096875824,-0.101863901,-0.031040732,0.009957175,0.008437302,-0.004211502,0.003944069,-0.043303526,-0.009168107
heart_texture_SmallAreaHighGrayLevelEmphasis_glszm_MYO_ED,-0.033439364,-0.096650274,-0.067697279,0.021325398,-0.061053622,-0.03633237,-0.015584474,0.025035687,-0.024127233,0.063282325
heart_texture_Complexity_ngtdm_MYO_ES,-0.032822349,-0.09348213,0.00517133,0.043529086,-0.100424572,0.003301199,-0.001486387,-0.004476141,-0.028626801,0.00264391
heart_texture_GrayLevelVariance_glszm_MYO_ES,-0.028135621,-0.093211142,-0.01569821,0.037255351,-0.088237278,0.005187336,0.013197067,-0.055071756,-0.021868666,-0.007210414
heart_intensity_Percentile10_MYO_ED,0.001537941,-0.09244103,-0.104821305,-0.026499834,-0.000911912,0.015875997,-0.021135457,0.033707091,-0.051780991,4.23E-05
heart_texture_SmallDependenceHighGrayLevelEmphasis_gldm_MYO_ED,-0.057693707,-0.089791059,-0.02536494,0.029969146,-0.094827585,-0.038267029,-0.007468071,-0.000305031,-0.020592916,-0.027149769
heart_texture_GrayLevelVariance_glszm_MYO_ED,-0.039468372,-0.086457574,-0.055369679,0.02326882,-0.046109392,-0.033310796,-0.014885524,0.050889242,0.045571065,0.082431865
heart_texture_GrayLevelVariance_glrlm_MYO_ES,-0.029195007,-0.086296458,0.055948443,0.09662648,-0.10336534,0.041096381,0.041916703,-0.055490259,0.014097964,-0.046774612
heart_intensity_Variance_MYO_ES,-0.029580002,-0.085568528,0.060385054,0.092660517,-0.09839034,0.040375857,0.04473276,-0.060096737,0.010657827,-0.055040454
heart_texture_ZoneEntropy_glszm_MYO_ES,-0.011798641,-0.084494203,0.031232062,-0.004300608,-0.012806648,0.006275924,0.015375579,-0.035133535,-0.015301967,-0.028748503
heart_intensity_MeanAbsoluteDeviation_MYO_ES,-0.029243188,-0.082388624,0.087429321,0.07405804,-0.019449754,0.062468452,0.050490458,-0.089360122,-0.029687055,-0.015930058
heart_intensity_Maximum_MYO_ED,-0.032148892,-0.082065088,-0.056388352,0.014517937,-0.05978528,-0.076875927,-0.030123907,0.051768109,-0.028002078,0.141177429
heart_texture_GrayLevelVariance_gldm_MYO_ES,-0.031089181,-0.080501124,0.076897749,0.096950287,-0.079944144,0.059335912,0.043421118,-0.04645903,-0.00340676,-0.031319533
heart_intensity_Range_MYO_ED,-0.033364262,-0.080141345,-0.047385948,0.019340923,-0.058450787,-0.076600396,-0.026745398,0.05370609,-0.017571738,0.142115956
heart_texture_LongRunHighGrayLevelEmphasis_glrlm_MYO_ED,0.030967649,-0.079772419,-0.100941066,0.006238694,-0.005594578,0.050972006,0.0143656,0.054542718,-0.00788979,-0.027179649
heart_texture_SumofSquares_glcm_MYO_ES,-0.029545428,-0.077147009,0.082789818,0.098760245,-0.075069999,0.065143134,0.042236721,-0.038230354,-0.016005723,-0.026325654
heart_texture_ClusterTendency_glcm_MYO_ES,-0.020055056,-0.076962335,0.078281051,0.109022142,-0.065692419,0.06697846,0.050050952,-0.060035843,-0.004542866,-0.025944343
heart_texture_Complexity_ngtdm_MYO_ED,-0.045751007,-0.07616969,-0.021447952,0.03891055,-0.079677922,-0.077102137,-0.028132101,0.05533949,0.007020744,0.126159582
heart_intensity_Entropy_MYO_ES,-0.033280295,-0.07400157,0.10467628,0.05456206,0.028579733,0.090185225,0.036848913,-0.056813162,-0.0634107,0.034952243
heart_texture_LargeDependenceHighGrayLevelEmphasis_gldm_MYO_ES,0.021301309,-0.072964453,-0.097500817,-0.010730823,0.082841064,0.028790805,0.039626348,-0.054955151,0.058199029,-0.074129661
heart_texture_GrayLevelVariance_glrlm_MYO_ED,-0.058200215,-0.070879798,0.024560023,0.088907304,-0.120753836,-0.035129276,0.014162797,0.016275853,0.081013264,-0.000153267
heart_intensity_RobustMeanAbsoluteDeviation_MYO_ES,-0.023368797,-0.069809511,0.094920461,0.06821949,0.024746584,0.071436019,0.05115868,-0.088554299,-0.04000829,0.00804183
heart_texture_DifferenceVariance_glcm_MYO_ES,-0.050456163,-0.06880017,0.061570883,0.055564503,-0.116139508,0.031083958,0.01188182,0.021390281,-0.024975957,-0.036774407
heart_texture_Strength_ngtdm_MYO_ES,-0.032452718,-0.068659889,-0.046922829,0.021317471,-0.093401923,-0.041521889,-0.009457506,-0.04958925,-9.35E-05,0.007213379
heart_texture_DifferenceVariance_glcm_MYO_ED,-0.06696037,-0.068585458,0.025641178,0.062498468,-0.115969473,-0.044466393,5.55E-05,-0.006490467,0.018507682,-0.015555127
