"","V1","V2","V3"
"heart_shape_Volume_LV_ED",0.0383283971220191,0.0643754186392048,0.924665053209494
"heart_shape_SurfaceArea_LV_ED",0.0350110659773345,-0.00816993985082816,0.924172550571659
"heart_shape_SurfaceAreatoVolumeRatio_LV_ED",-0.0173925265247233,-0.184255253386551,-0.677682679250109
"heart_shape_Sphericity_LV_ED",-0.0311136711376011,0.233537690696158,-0.235809698129845
"heart_shape_Max3Ddiameter_LV_ED",0.149679497659201,0.0743280699003692,0.777018515818441
"heart_shape_Max2DdiameterSlice_LV_ED",-0.0567870025410632,-0.0537079512215947,0.689280227951932
"heart_shape_Max2DdiameterColumn_LV_ED",0.175253967441576,0.0883111962424366,0.800814569146596
"heart_shape_Max2DdiameterRow_LV_ED",0.152714646027214,0.085100905275604,0.777849714078063
"heart_shape_MajorAxis_LV_ED",0.211272523649526,0.0626587977422485,0.769176644415293
"heart_shape_MinorAxis_LV_ED",-0.0870660044837049,0.00156947507517989,0.816149517779445
"heart_shape_LeastAxis_LV_ED",-0.0309647570681605,0.00997739288914111,0.827349470373077
"heart_shape_Elongation_LV_ED",-0.285945571163872,-0.0610034935277313,-0.057461288255849
"heart_shape_Flatness_LV_ED",-0.245919438744563,-0.0569310135185147,-0.0612517635668262
"heart_shape_Volume_LV_ES",0.0151727621740027,0.0561312911820875,0.881144265117125
"heart_shape_SurfaceArea_LV_ES",0.0219055344020936,0.00124124578434353,0.90337108642963
"heart_shape_SurfaceAreatoVolumeRatio_LV_ES",0.0165212880304218,-0.157554463201621,-0.680038306919815
"heart_shape_Sphericity_LV_ES",-0.0624563430595277,0.211512599643461,-0.258380809664003
"heart_shape_Max3Ddiameter_LV_ES",0.133909667567876,0.0519588079627398,0.780129070652246
"heart_shape_Max2DdiameterSlice_LV_ES",0.0264687267465866,-0.0662891252063828,0.695284274353222
"heart_shape_Max2DdiameterColumn_LV_ES",0.141076866322142,0.0804973692332845,0.786906682255124
"heart_shape_Max2DdiameterRow_LV_ES",0.135837554222606,0.061066242132466,0.782124574247303
"heart_shape_MajorAxis_LV_ES",0.189768399627803,0.0533403984700474,0.778449380993194
"heart_shape_MinorAxis_LV_ES",-0.0419282348568652,-0.0337395297288749,0.810717700613964
"heart_shape_LeastAxis_LV_ES",-0.0647579143434839,0.00808166168306276,0.828947611966425
"heart_shape_Elongation_LV_ES",-0.264178348911557,-0.0976733085261048,-0.000282846049176918
"heart_shape_Flatness_LV_ES",-0.290062788260389,-0.0539269128124341,-0.00823941931423666
"heart_shape_Volume_RV_ED",0.107413058103679,0.0983069478498756,0.887436068606801
"heart_shape_SurfaceArea_RV_ED",0.0659227467708707,0.145330281984178,0.887413786465955
"heart_shape_SurfaceAreatoVolumeRatio_RV_ED",-0.163731984453089,0.00708585382449022,-0.715452033126044
"heart_shape_Sphericity_RV_ED",0.145803160555532,-0.191325258827307,-0.0736123071267828
"heart_shape_Max3Ddiameter_RV_ED",0.153254927653333,0.151693797902411,0.746542645602094
"heart_shape_Max2DdiameterSlice_RV_ED",-0.00722331314013095,0.218061010825617,0.582152235202451
"heart_shape_Max2DdiameterColumn_RV_ED",0.0972689303199653,0.095189957448612,0.753736287852234
"heart_shape_Max2DdiameterRow_RV_ED",0.0762862616320043,0.091556470374169,0.662194392862063
