"","PC1","PC2","PC3"
"brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging",-0.0207853925770836,-0.120337779607049,0.146519455079471
"brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging",0.0328665583265521,-0.0786925107273043,-0.028998885429937
"brain_bio.volume_of_grey_matter.0.imaging",-0.0199654335409966,-0.126387462295089,0.143733223904961
"brain_bio.volume_of_white_matter.0.imaging",-0.00486654400589395,-0.134292013286218,0.137983434227453
"brain_bio.volume_of_brain._grey.white_matter.0.imaging",-0.0126238605343492,-0.137210359372153,0.147880599436847
"brain_bio.volume_of_thalamus_.left..0.imaging",-0.0214868980729463,-0.10742996928408,0.148123571648542
"brain_bio.volume_of_thalamus_.right..0.imaging",-0.0208435209528305,-0.110401137581693,0.148376038467913
"brain_bio.volume_of_caudate_.left..0.imaging",0.000809188880392338,-0.0939158184124441,0.102136402894711
"brain_bio.volume_of_caudate_.right..0.imaging",0.00314692502301084,-0.0924555626933817,0.0982494553649682
"brain_bio.volume_of_putamen_.left..0.imaging",-0.0140176331128117,-0.0907890078146124,0.123165788758066
"brain_bio.volume_of_pallidum_.left..0.imaging",-0.0110591047922284,-0.0804361888216375,0.0896642786664563
"brain_bio.volume_of_pallidum_.right..0.imaging",-0.0140746918500583,-0.0783329908831066,0.0997298438682329
"brain_bio.volume_of_hippocampus_.left..0.imaging",-0.0152973040708893,-0.0633555709791708,0.107939807410709
"brain_bio.volume_of_hippocampus_.right..0.imaging",-0.0156094362341736,-0.0687503806048553,0.109014826988155
"brain_bio.volume_of_amygdala_.left..0.imaging",-0.00255825551711084,-0.0554288939450843,0.0730321699711804
"brain_bio.volume_of_amygdala_.right..0.imaging",-0.00375819511465243,-0.0458368924205756,0.064025630020625
"brain_bio.volume_of_accumbens_.left..0.imaging",-0.0306823250373514,-0.0454165692933018,0.103520280555583
"brain_bio.volume_of_accumbens_.right..0.imaging",-0.0326932456602655,-0.0346674185262256,0.105909870755102
"brain_bio.volume_of_brain_stem_._4th_ventricle.0.imaging",-0.00478944362468847,-0.107331875207993,0.112629300831788
"brain_wmh",0.0544362751319929,-0.0325364148686559,-0.0432374025316204
"brain_bio.weighted.mean_fa_in_tract_acoustic_radiation_.left..0.imaging",-0.059174110796838,-0.0832681167319504,-0.0469443299364648
"brain_bio.weighted.mean_fa_in_tract_acoustic_radiation_.right..0.imaging",-0.0552409882472651,-0.0966870556432472,-0.0135877894188029
"brain_bio.weighted.mean_fa_in_tract_anterior_thalamic_radiation_.left..0.imaging",-0.0855673154676719,-0.0846094708944976,0.00734722278169176
"brain_bio.weighted.mean_fa_in_tract_anterior_thalamic_radiation_.right..0.imaging",-0.0822654725629605,-0.0920361916227354,0.0102880383199265
"brain_bio.weighted.mean_fa_in_tract_cingulate_gyrus_part_of_cingulum_.left..0.imaging",-0.0518751348292827,-0.0909558785493054,0.0263331793601719
"brain_bio.weighted.mean_fa_in_tract_cingulate_gyrus_part_of_cingulum_.right..0.imaging",-0.0489128451841766,-0.08800194228196,0.0231458425736147
"brain_bio.weighted.mean_fa_in_tract_corticospinal_tract_.left..0.imaging",-0.046267199019551,-0.100560683147365,-0.0234381018697668
"brain_bio.weighted.mean_fa_in_tract_corticospinal_tract_.right..0.imaging",-0.0438203241964274,-0.112684346884148,-0.00654498030293194
"brain_bio.weighted.mean_fa_in_tract_forceps_major.0.imaging",-0.0584622666889134,-0.0450079705728448,-0.0456325481507335
"brain_bio.weighted.mean_fa_in_tract_forceps_minor.0.imaging",-0.0903542449717182,-0.076941165235171,0.00287221785224021
"brain_bio.weighted.mean_fa_in_tract_inferior_fronto.occipital_fasciculus_.right..0.imaging",-0.0935777924459244,-0.0755585480719155,0.0024109916510286
"brain_bio.weighted.mean_fa_in_tract_inferior_longitudinal_fasciculus_.left..0.imaging",-0.0924426634291403,-0.069236868079437,-0.0193026676466527
"brain_bio.weighted.mean_fa_in_tract_inferior_longitudinal_fasciculus_.right..0.imaging",-0.0974018541385991,-0.0652838327060488,0.00371795525982317
"brain_bio.weighted.mean_fa_in_tract_posterior_thalamic_radiation_.left..0.imaging",-0.0811391336824698,-0.0336665888264434,0.0246395594365507
"brain_bio.weighted.mean_fa_in_tract_posterior_thalamic_radiation_.right..0.imaging",-0.0807776117142102,-0.0328891111318923,0.0433840457902548
"brain_bio.weighted.mean_fa_in_tract_superior_longitudinal_fasciculus_.left..0.imaging",-0.090648639130311,-0.0768910843134296,-0.0223169943839493
"brain_bio.weighted.mean_fa_in_tract_superior_longitudinal_fasciculus_.right..0.imaging",-0.0894240544236465,-0.0873535432399289,-0.0125942584532811
"brain_bio.weighted.mean_fa_in_tract_superior_thalamic_radiation_.left..0.imaging",-0.0599221000666972,-0.0851719368535369,-0.000487146871838011
"brain_bio.weighted.mean_fa_in_tract_superior_thalamic_radiation_.right..0.imaging",-0.0588152081776164,-0.0872398350364798,0.00838162355338943
"brain_bio.weighted.mean_fa_in_tract_uncinate_fasciculus_.left..0.imaging",-0.0641772606849831,-0.0991436796897273,0.00413037245815144
"brain_bio.weighted.mean_fa_in_tract_uncinate_fasciculus_.right..0.imaging",-0.0685981658920881,-0.0940125578424992,0.0214135388365777
"brain_bio.weighted.mean_md_in_tract_acoustic_radiation_.left..0.imaging",0.0599699537942559,-0.0116600138280392,0.034415048085486
