"","lhs","op","rhs","est.std","pvalue","ci.lower","ci.upper","model.r","additional.r","pvalue_adj"
"151","cog_latent_g","~","cardio_latent_agg",-0.0327739629623846,0.000618494205164133,-0.0515378574470201,-0.0140100684777492,0.0392404239604955,0.000953224019939136,0.000789769868686933
"155","cog_latent_g","~","cardio_latent_gvrf",-0.036652266601227,0.000659557381830433,-0.0577444724826256,-0.0155600607198285,0.039230860033783,0.00094366009322655,0.000832082301697309
"162","cog_latent_g","~","heart_latent_pc1",-0.00189220093994876,0.838395325393753,-0.0200766077518901,0.0162922058719926,0.0383037964485543,1.65965079979014e-05,0.843066051440514
"166","cog_latent_g","~","heart_latent_pc2",0.0750007576073429,3.10862446895044e-15,0.0563537280532615,0.0936477871614244,0.0432348041871026,0.00494760424654617,6.03340555532854e-15
"170","cog_latent_g","~","heart_latent_pc3",-0.0218488825507344,0.0168838570658083,-0.0397722607549042,-0.00392550434656449,0.0387588571585216,0.00047165721796516,0.0195983909862125
"174","cog_latent_g","~","brain_latent_grey",0.204044869905042,0,0.183186859659192,0.224902880150891,0.0658489728375297,0.0275617728969733,0
"178","cog_latent_g","~","brain_latent_atrophy",0.204185569660977,0,0.182880246976053,0.225490892345901,0.0648117147941727,0.0265245148536163,0
"182","cog_latent_g","~","brain_latent_gMD",-0.0387169962568895,4.59290031749049e-05,-0.0573368427709923,-0.0200971497427867,0.0396312963737059,0.00134409643314948,6.36357796673827e-05
"186","cog_latent_g","~","brain_latent_gFA",0.0485241200185405,1.52132120456727e-07,0.0304086439078941,0.066639596129187,0.0405040541256603,0.00221685418510387,2.444897610084e-07
"190","cog_latent_g","~","brain_latent_pc1",0.053432535947351,2.55578420649272e-08,0.034628833913028,0.072236237981674,0.0407786831001182,0.00249148315956182,4.27147267844385e-08
"194","cog_latent_g","~","brain_latent_pc2",0.0423611806589659,3.88665067729832e-06,0.0243798001441441,0.0603425611737877,0.0400071382655695,0.00171993832501305,5.77636814959937e-06
"198","cog_latent_g","~","brain_latent_pc3",0.126656740218337,0,0.106917331912416,0.146396148524258,0.0506244972799029,0.0123372973393465,0
"202","cog_latent_g","~","heart_latent_cc1",-0.00980371944826502,0.347579874647116,-0.0302605085671151,0.010653069670585,0.0383713766233934,8.41766828370005e-05,0.365827469342876
"206","cog_latent_g","~","heart_latent_cc2",0.107023326212681,0,0.0874435125876966,0.126603139837666,0.0473194449137214,0.00903224497316502,0
"210","cog_latent_g","~","heart_latent_cc3",-0.0311392671522568,0.00132936747239221,-0.0501548887168767,-0.0121236455876369,0.039126914534765,0.000839714594208618,0.00163952530273346
"214","cog_latent_g","~","brain_latent_cc1",0.137912899800993,0,0.111381887369667,0.16444391223232,0.0464747883083684,0.00818758836781197,0
"218","cog_latent_g","~","brain_latent_cc2",0.14350365426557,0,0.122085949498263,0.164921359032877,0.0517019036232755,0.0134147036827191,0
"222","cog_latent_g","~","brain_latent_cc3",-0.013203034467841,0.167688325606823,-0.0319593132851546,0.00555324434947259,0.0384534270372558,0.000166227096699445,0.181794178920002
