"","Tract1","FA","MD"
"1","acoustic radiation left",0.60135282957118,0.524116044177617
"2","acoustic radiation right",0.606280151593052,0.544209303953746
"3","anterior thalamic radiation left",0.79980573223975,0.829473161595156
"4","anterior thalamic radiation right",0.792441079500552,0.834961773250802
"5","cingulate gyrus left",0.496438679319568,0.731133353485672
"6","cingulate gyrus right",0.470456085002967,0.726746161688282
"7","corticospinal tract left",0.536265210712731,0.650929196224333
"8","corticospinal tract right",0.534880330716055,0.65405411140716
"9","forceps major",0.574957612753628,0.4645658512537
"10","forceps minor",0.828233745592736,0.782343508918545
"11","inferior fronto-occipital fasciculus left",0.880896374228984,0.905312876382668
"12","inferior fronto-occipital fasciculus right",0.917474534248486,0.941833315888909
"13","inferior longitudinal fasciculus left",0.863305948401817,0.858030024055378
"14","inferior longitudinal fasciculus right",0.910931072073232,0.918136921886587
"15","posterior thalamic radiation left",0.730559226239445,0.709306079969913
"16","posterior thalamic radiation right",0.747781914389036,0.758998763109956
"17","superior longitudinal fasciculus left",0.824044246767425,0.901366629037197
"18","superior longitudinal fasciculus right",0.830719939799576,0.896790594386466
"19","superior thalamic radiation left",0.62735897094297,0.806755062908107
"20","superior thalamic radiation right",0.626198727685186,0.790570466160486
"21","uncinate fasciculus left",0.628545532590027,0.648219482101066
"22","uncinate fasciculus right",0.684513720456909,0.755619109029234
"23","cfi",0.904337227317497,0.883725858519457
"24","tli",0.887254589338479,0.863658240192866
"25","rmsea",0.101188575432993,0.126335658418277
"26","srmr",0.0605766692647666,0.0606786738622641
"27","evr",0.537270795550349,0.606551021805488
