"","rhs","est.std"
"1","brain_bio.weighted.mean_fa_in_tract_acoustic_radiation_.left..0.imaging",0.613149131822584
"2","brain_bio.weighted.mean_fa_in_tract_acoustic_radiation_.right..0.imaging",0.615821325560182
"3","brain_bio.weighted.mean_fa_in_tract_anterior_thalamic_radiation_.left..0.imaging",0.808852896210744
"4","brain_bio.weighted.mean_fa_in_tract_anterior_thalamic_radiation_.right..0.imaging",0.801267231386185
"5","brain_bio.weighted.mean_fa_in_tract_cingulate_gyrus_part_of_cingulum_.left..0.imaging",0.509062125827774
"6","brain_bio.weighted.mean_fa_in_tract_cingulate_gyrus_part_of_cingulum_.right..0.imaging",0.482506029633868
"7","brain_bio.weighted.mean_fa_in_tract_corticospinal_tract_.left..0.imaging",0.55357036574185
"8","brain_bio.weighted.mean_fa_in_tract_corticospinal_tract_.right..0.imaging",0.550098992788576
"9","brain_bio.weighted.mean_fa_in_tract_forceps_major.0.imaging",0.590030750705172
"10","brain_bio.weighted.mean_fa_in_tract_forceps_minor.0.imaging",0.835716363733773
"11","brain_bio.weighted.mean_fa_in_tract_inferior_fronto.occipital_fasciculus_.left..0.imaging",0.887903497307114
"12","brain_bio.weighted.mean_fa_in_tract_inferior_fronto.occipital_fasciculus_.right..0.imaging",0.919378453762286
"13","brain_bio.weighted.mean_fa_in_tract_inferior_longitudinal_fasciculus_.left..0.imaging",0.870061642617984
"14","brain_bio.weighted.mean_fa_in_tract_inferior_longitudinal_fasciculus_.right..0.imaging",0.894459965012555
"15","brain_bio.weighted.mean_fa_in_tract_posterior_thalamic_radiation_.left..0.imaging",0.741314778287854
"16","brain_bio.weighted.mean_fa_in_tract_posterior_thalamic_radiation_.right..0.imaging",0.753322813199415
"17","brain_bio.weighted.mean_fa_in_tract_superior_longitudinal_fasciculus_.left..0.imaging",0.807515636440647
"18","brain_bio.weighted.mean_fa_in_tract_superior_longitudinal_fasciculus_.right..0.imaging",0.784176406017521
"19","brain_bio.weighted.mean_fa_in_tract_superior_thalamic_radiation_.left..0.imaging",0.638836357205883
"20","brain_bio.weighted.mean_fa_in_tract_superior_thalamic_radiation_.right..0.imaging",0.636650632238176
"21","brain_bio.weighted.mean_fa_in_tract_uncinate_fasciculus_.left..0.imaging",0.640905651630038
"22","brain_bio.weighted.mean_fa_in_tract_uncinate_fasciculus_.right..0.imaging",0.682662619707802
"23","cfi",0.90525465928115
"24","tli",0.888335848438498
"25","rmsea",0.101000467894484
"26","srmr",0.058904105234424
"27","evr",0.542396265787594
