"","rhs","est.std"
"1","brain_bio.weighted.mean_md_in_tract_acoustic_radiation_.left..0.imaging",0.540059169073721
"2","brain_bio.weighted.mean_md_in_tract_acoustic_radiation_.right..0.imaging",0.558372299825825
"3","brain_bio.weighted.mean_md_in_tract_anterior_thalamic_radiation_.left..0.imaging",0.837869839913742
"4","brain_bio.weighted.mean_md_in_tract_anterior_thalamic_radiation_.right..0.imaging",0.842551998699344
"5","brain_bio.weighted.mean_md_in_tract_cingulate_gyrus_part_of_cingulum_.left..0.imaging",0.741852834436244
"6","brain_bio.weighted.mean_md_in_tract_cingulate_gyrus_part_of_cingulum_.right..0.imaging",0.737410011932954
"7","brain_bio.weighted.mean_md_in_tract_corticospinal_tract_.left..0.imaging",0.666507199739061
"8","brain_bio.weighted.mean_md_in_tract_corticospinal_tract_.right..0.imaging",0.668686595440163
"9","brain_bio.weighted.mean_md_in_tract_forceps_major.0.imaging",0.479920048361098
"10","brain_bio.weighted.mean_md_in_tract_forceps_minor.0.imaging",0.791460231765728
"11","brain_bio.weighted.mean_md_in_tract_inferior_fronto.occipital_fasciculus_.left..0.imaging",0.910373820102259
"12","brain_bio.weighted.mean_md_in_tract_inferior_fronto.occipital_fasciculus_.right..0.imaging",0.942242070334316
"13","brain_bio.weighted.mean_md_in_tract_inferior_longitudinal_fasciculus_.left..0.imaging",0.863995373880801
"14","brain_bio.weighted.mean_md_in_tract_inferior_longitudinal_fasciculus_.right..0.imaging",0.899701049122554
"15","brain_bio.weighted.mean_md_in_tract_posterior_thalamic_radiation_.left..0.imaging",0.720751355558166
"16","brain_bio.weighted.mean_md_in_tract_posterior_thalamic_radiation_.right..0.imaging",0.765610517241318
"17","brain_bio.weighted.mean_md_in_tract_superior_longitudinal_fasciculus_.left..0.imaging",0.88119881541706
"18","brain_bio.weighted.mean_md_in_tract_superior_longitudinal_fasciculus_.right..0.imaging",0.892337497391828
"19","brain_bio.weighted.mean_md_in_tract_superior_thalamic_radiation_.left..0.imaging",0.814372615120185
"20","brain_bio.weighted.mean_md_in_tract_superior_thalamic_radiation_.right..0.imaging",0.798375220935386
"21","brain_bio.weighted.mean_md_in_tract_uncinate_fasciculus_.left..0.imaging",0.662115060785644
"22","brain_bio.weighted.mean_md_in_tract_uncinate_fasciculus_.right..0.imaging",0.722723083270235
"23","cfi",0.881447836903562
"24","tli",0.860987057485903
"25","rmsea",0.127611072775413
"26","srmr",0.0593621144528702
"27","evr",0.612718295216489
