"","rowname","Mode1","Mode2","Mode3","rowname","Mode1","Mode2","Mode3"
"1","heart_shape_Volume_LV_ED",-0.745022072859138,-0.289358198016407,-0.147648941427679,"brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging",-0.609119095679481,-0.479423836758644,-0.131995937553918
"2","heart_shape_SurfaceArea_LV_ED",-0.779881633963147,-0.209404531486073,-0.165772949191738,"brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging",-0.390197105124593,0.317596413981691,0.271328793763373
"3","heart_shape_SurfaceAreatoVolumeRatio_LV_ED",0.483697524825186,0.394734870242377,0.0875357191023624,"brain_bio.volume_of_grey_matter.0.imaging",-0.619768935725673,-0.501805197807397,-0.0822199708782023
"4","heart_shape_Sphericity_LV_ED",0.315865711729934,-0.23067434639883,0.0891017933342119,"brain_bio.volume_of_white_matter.0.imaging",-0.782075937299168,-0.249014452347368,-0.00594807540538022
"5","heart_shape_Max3Ddiameter_LV_ED",-0.662605282639832,-0.196879324001222,-0.0860767190757972,"brain_bio.volume_of_brain._grey.white_matter.0.imaging",-0.74222849427837,-0.387397679378806,-0.0441014361858046
"6","heart_shape_Max2DdiameterSlice_LV_ED",-0.522001682445366,-0.136154981410831,-0.155681034034293,"brain_bio.volume_of_thalamus_.left..0.imaging",-0.568782699591502,-0.460529657317369,-0.0387248275808053
"7","heart_shape_Max2DdiameterColumn_LV_ED",-0.703765996388027,-0.256646174933194,-0.102019718369135,"brain_bio.volume_of_thalamus_.right..0.imaging",-0.595165371896013,-0.461700028797213,-0.0401260215501467
"8","heart_shape_Max2DdiameterRow_LV_ED",-0.661511179202888,-0.220304100235554,-0.0979596001350994,"brain_bio.volume_of_caudate_.left..0.imaging",-0.445836872061221,-0.234962513479927,0.052163741023323
"9","heart_shape_MajorAxis_LV_ED",-0.71940145583379,-0.182815146392342,-0.0938864778214869,"brain_bio.volume_of_caudate_.right..0.imaging",-0.445055379834234,-0.21262859810173,0.085491879563781
"10","heart_shape_MinorAxis_LV_ED",-0.618378732346481,-0.272032071925275,-0.209648345361696,"brain_bio.volume_of_putamen_.left..0.imaging",-0.551357415462546,-0.405557238453696,-0.0314457703168956
"11","heart_shape_LeastAxis_LV_ED",-0.658054736970707,-0.21503152717734,-0.132762551836964,"brain_bio.volume_of_pallidum_.left..0.imaging",-0.424437984086761,-0.216862187457415,0.119254668833253
"12","heart_shape_Elongation_LV_ED",0.175671124037575,-0.0485609249745604,-0.0890405620411462,"brain_bio.volume_of_pallidum_.right..0.imaging",-0.429204122606985,-0.301273480727114,0.100723180765452
"13","heart_shape_Flatness_LV_ED",0.155948499929465,0.00643174370200955,-0.0209779093893807,"brain_bio.volume_of_hippocampus_.left..0.imaging",-0.311937993199248,-0.26442341547027,-0.0471785517444631
"14","heart_shape_Volume_LV_ES",-0.683697067985224,-0.263954066119798,-0.0708648342594954,"brain_bio.volume_of_hippocampus_.right..0.imaging",-0.35476286892738,-0.238778661066532,-0.0123310538451789
"15","heart_shape_SurfaceArea_LV_ES",-0.740024575043734,-0.195137604343692,-0.0789963602901608,"brain_bio.volume_of_amygdala_.left..0.imaging",-0.351059413072171,-0.0937173475209094,0.0432212097490805
"16","heart_shape_SurfaceAreatoVolumeRatio_LV_ES",0.470847269614692,0.409917985387386,0.0582739477275292,"brain_bio.volume_of_amygdala_.right..0.imaging",-0.303204073384991,-0.0812859614676098,0.0217479821998963
"17","heart_shape_Sphericity_LV_ES",0.347454559429779,-0.285649163779663,0.0300089474987697,"brain_bio.volume_of_accumbens_.left..0.imaging",-0.242319299837449,-0.419542973681916,-0.132373569777361
"18","heart_shape_Max3Ddiameter_LV_ES",-0.64974505493929,-0.169166388029891,-0.0399041414120708,"brain_bio.volume_of_accumbens_.right..0.imaging",-0.177997124488579,-0.442131541567515,-0.188272642387699
"19","heart_shape_Max2DdiameterSlice_LV_ES",-0.586785536645036,-0.0157286813707525,-0.0288671635521468,"brain_bio.volume_of_brain_stem_._4th_ventricle.0.imaging",-0.605707517244385,-0.195119565729396,0.151351720064673
"20","heart_shape_Max2DdiameterColumn_LV_ES",-0.661986504078182,-0.207255624926256,-0.0542811292605783,"brain_bio.weighted.mean_fa_in_tract_acoustic_radiation_.left..0.imaging",-0.0527759548533311,-0.0498912707102283,-0.131147488661038
"21","heart_shape_Max2DdiameterRow_LV_ES",-0.647547491667039,-0.201851291312251,-0.0466617228622765,"brain_bio.weighted.mean_fa_in_tract_acoustic_radiation_.right..0.imaging",-0.263446559763745,0.0183717401309978,-0.187021628296747
"22","heart_shape_MajorAxis_LV_ES",-0.702028961743258,-0.129185059068081,-0.00502946992157181,"brain_bio.weighted.mean_fa_in_tract_anterior_thalamic_radiation_.left..0.imaging",-0.0621166060604034,-0.307891571948202,-0.260423228306544
"23","heart_shape_MinorAxis_LV_ES",-0.653610403071668,-0.143298418860988,-0.0844448069831841,"brain_bio.weighted.mean_fa_in_tract_anterior_thalamic_radiation_.right..0.imaging",-0.113188926743846,-0.245421068152487,-0.262075357953023
"24","heart_shape_LeastAxis_LV_ES",-0.630377874077022,-0.25379776356328,-0.118058951591528,"brain_bio.weighted.mean_fa_in_tract_cingulate_gyrus_part_of_cingulum_.left..0.imaging",-0.172191363822466,-0.195545905503141,-0.110959777480998
"25","heart_shape_Elongation_LV_ES",0.0869264237022093,-0.00507069688959981,-0.0823293402609752,"brain_bio.weighted.mean_fa_in_tract_cingulate_gyrus_part_of_cingulum_.right..0.imaging",-0.133792170585121,-0.151178847593194,-0.0525839691520191
"26","heart_shape_Flatness_LV_ES",0.135150554453727,-0.11714160055183,-0.115214797614542,"brain_bio.weighted.mean_fa_in_tract_corticospinal_tract_.left..0.imaging",-0.170712991584757,-0.0583911312980623,-0.200224102547642
"27","heart_shape_Volume_RV_ED",-0.793455164329283,-0.338056079336891,-0.126900172546648,"brain_bio.weighted.mean_fa_in_tract_corticospinal_tract_.right..0.imaging",-0.26944759717026,-0.0324642562522718,-0.204591770419492
"28","heart_shape_SurfaceArea_RV_ED",-0.769955500606339,-0.401957636825365,-0.0808668019307957,"brain_bio.weighted.mean_fa_in_tract_forceps_major.0.imaging",0.00106708497539421,-0.0712344014235172,-0.120653727636593
"29","heart_shape_SurfaceAreatoVolumeRatio_RV_ED",0.688799983967755,0.160051064954802,0.193561777244477,"brain_bio.weighted.mean_fa_in_tract_forceps_minor.0.imaging",-0.0471390676230738,-0.29823534137003,-0.225492543785235
"30","heart_shape_Sphericity_RV_ED",-0.029808018479379,0.272745289003502,-0.17058021255804,"brain_bio.weighted.mean_fa_in_tract_inferior_fronto.occipital_fasciculus_.right..0.imaging",0.0149956769673989,-0.207466032783278,-0.269096989438412
"31","heart_shape_Max3Ddiameter_RV_ED",-0.683207954425867,-0.343905694670344,-0.0741078537350923,"brain_bio.weighted.mean_fa_in_tract_inferior_longitudinal_fasciculus_.left..0.imaging",0.1017872780028,-0.25232419091891,-0.220435410550562
"32","heart_shape_Max2DdiameterSlice_RV_ED",-0.474966149021364,-0.457861829984635,0.000964760465074681,"brain_bio.weighted.mean_fa_in_tract_inferior_longitudinal_fasciculus_.right..0.imaging",0.0194138556262877,-0.236187983821999,-0.272311952315707
"33","heart_shape_Max2DdiameterColumn_RV_ED",-0.63069868692704,-0.304477357162264,-0.131612843703448,"brain_bio.weighted.mean_fa_in_tract_posterior_thalamic_radiation_.left..0.imaging",0.107115667927593,-0.352484550890625,-0.112153796886237
"34","heart_shape_Max2DdiameterRow_RV_ED",-0.604978123379637,-0.30623697987702,-0.100453395149324,"brain_bio.weighted.mean_fa_in_tract_posterior_thalamic_radiation_.right..0.imaging",0.00223347310360322,-0.2783106607857,-0.149678947290212
"35","heart_shape_MajorAxis_RV_ED",-0.631319628210637,-0.466340456159612,-0.092197426341682,"brain_bio.weighted.mean_fa_in_tract_superior_longitudinal_fasciculus_.left..0.imaging",0.0587460187457056,-0.248977570328794,-0.182837805893178
"36","heart_shape_MinorAxis_RV_ED",-0.563456580170077,-0.434935884980797,-0.0661092123357051,"brain_bio.weighted.mean_fa_in_tract_superior_longitudinal_fasciculus_.right..0.imaging",-0.0373231505604242,-0.212122138873451,-0.213779720105092
"37","heart_shape_LeastAxis_RV_ED",-0.699241460769734,-0.0678920700399253,-0.0260369107735698,"brain_bio.weighted.mean_fa_in_tract_superior_thalamic_radiation_.left..0.imaging",-0.146053398074018,-0.0592839801978712,-0.121883270545328
"38","heart_shape_Elongation_RV_ED",-0.0775598007904374,-0.0696892564373186,0.00425090006651481,"brain_bio.weighted.mean_fa_in_tract_superior_thalamic_radiation_.right..0.imaging",-0.161370380631196,-0.050795470010095,-0.135231819073625
"39","heart_shape_Flatness_RV_ED",-0.0706731732401695,0.381871299965609,0.0683204166429557,"brain_bio.weighted.mean_fa_in_tract_uncinate_fasciculus_.left..0.imaging",-0.133085201102579,-0.201350345047843,-0.23851576345374
"40","heart_shape_Volume_RV_ES",-0.766300726473741,-0.339699546165696,-0.104612967756922,"brain_bio.weighted.mean_fa_in_tract_uncinate_fasciculus_.right..0.imaging",-0.125917106382258,-0.202814860431385,-0.232728383942449
"41","heart_shape_SurfaceArea_RV_ES",-0.770285696014027,-0.374164228658173,-0.0847301025553176,"brain_bio.weighted.mean_md_in_tract_acoustic_radiation_.left..0.imaging",-0.00684315669831152,0.0490009297135134,0.130185599857586
"42","heart_shape_SurfaceAreatoVolumeRatio_RV_ES",0.677414796257118,0.238704106304739,0.128740489370789,"brain_bio.weighted.mean_md_in_tract_acoustic_radiation_.right..0.imaging",0.173886587644616,0.0207435592082342,0.284827240723223
"43","heart_shape_Sphericity_RV_ES",-0.0713211044733333,0.136270087702277,-0.104333231274545,"brain_bio.weighted.mean_md_in_tract_anterior_thalamic_radiation_.left..0.imaging",-0.106865119806707,0.459662807386238,0.465709496180874
"44","heart_shape_Max3Ddiameter_RV_ES",-0.685506385219308,-0.218777364015107,-0.0931372865599019,"brain_bio.weighted.mean_md_in_tract_anterior_thalamic_radiation_.right..0.imaging",-0.128905452289054,0.477603700153994,0.432827579669083
"45","heart_shape_Max2DdiameterSlice_RV_ES",-0.524665822219083,-0.237286334655457,-0.042541195510802,"brain_bio.weighted.mean_md_in_tract_cingulate_gyrus_part_of_cingulum_.left..0.imaging",-0.0034252548436348,0.230274102961282,0.180677607729874
"46","heart_shape_Max2DdiameterColumn_RV_ES",-0.592763788588701,-0.265434942086394,-0.157300345369642,"brain_bio.weighted.mean_md_in_tract_corticospinal_tract_.left..0.imaging",-0.0225758148728886,0.101111611533814,0.2680445290036
"47","heart_shape_Max2DdiameterRow_RV_ES",-0.50225916731782,-0.280423147616142,-0.0438474321376997,"brain_bio.weighted.mean_md_in_tract_corticospinal_tract_.right..0.imaging",0.0361212813728555,0.0778416033110312,0.274094165306295
"48","heart_shape_MajorAxis_RV_ES",-0.626887308380131,-0.239812217272435,-0.0443622458593531,"brain_bio.weighted.mean_md_in_tract_forceps_major.0.imaging",-0.0415237540751411,-0.00095173885512569,0.192206219007841
"49","heart_shape_MinorAxis_RV_ES",-0.583302899347789,-0.390224579033533,-0.11699026504565,"brain_bio.weighted.mean_md_in_tract_forceps_minor.0.imaging",-0.0676241275624334,0.213676411632086,0.25573083018241
"50","heart_shape_LeastAxis_RV_ES",-0.720390522093924,-0.234885254899074,-0.0265075101289384,"brain_bio.weighted.mean_md_in_tract_inferior_fronto.occipital_fasciculus_.left..0.imaging",-0.118301459048934,0.288896340656298,0.365832940629318
"51","heart_shape_Elongation_RV_ES",-0.191751437575417,-0.23050333585584,-0.0940520951162623,"brain_bio.weighted.mean_md_in_tract_inferior_fronto.occipital_fasciculus_.right..0.imaging",-0.125705587072384,0.304306867683539,0.357536777385285
"52","heart_shape_Flatness_RV_ES",-0.192229566535794,-0.0151748972480594,0.0148836472074273,"brain_bio.weighted.mean_md_in_tract_inferior_longitudinal_fasciculus_.left..0.imaging",-0.130637123623703,0.226759309365617,0.344254401471845
"53","heart_shape_Volume_MYO_ED",-0.907541075725723,-0.027889198521727,-0.113119679366834,"brain_bio.weighted.mean_md_in_tract_inferior_longitudinal_fasciculus_.right..0.imaging",-0.121023128554887,0.265088788546247,0.388797078007411
"54","heart_shape_SurfaceArea_MYO_ED",-0.827400227753327,-0.208608879826098,-0.166008992269185,"brain_bio.weighted.mean_md_in_tract_posterior_thalamic_radiation_.left..0.imaging",-0.166149998010842,0.322689977758374,0.297735477131562
"55","heart_shape_SurfaceAreatoVolumeRatio_MYO_ED",0.79995710188929,-0.209262891940254,-0.00470581178061205,"brain_bio.weighted.mean_md_in_tract_posterior_thalamic_radiation_.right..0.imaging",-0.143472796361464,0.320696343472943,0.281223159712022
"56","heart_shape_Sphericity_MYO_ED",-0.392708905617021,0.415658073467196,0.122427894642057,"brain_bio.weighted.mean_md_in_tract_superior_longitudinal_fasciculus_.left..0.imaging",-0.0867834288269096,0.340519206709548,0.318446530599363
"57","heart_shape_Max3Ddiameter_MYO_ED",-0.655903147831662,-0.154065547224171,-0.122452587469175,"brain_bio.weighted.mean_md_in_tract_superior_longitudinal_fasciculus_.right..0.imaging",-0.0531463847987473,0.330363705328895,0.302973636616816
"58","heart_shape_Max2DdiameterSlice_MYO_ED",-0.538760902651884,-0.120981778821352,-0.164586335765085,"brain_bio.weighted.mean_md_in_tract_superior_thalamic_radiation_.left..0.imaging",-0.0104763519850457,0.375222510516786,0.293944576579609
"59","heart_shape_Max2DdiameterColumn_MYO_ED",-0.761989901662424,-0.194248301731853,-0.128792334338927,"brain_bio.weighted.mean_md_in_tract_superior_thalamic_radiation_.right..0.imaging",0.00719753086565919,0.358298373458241,0.305917313608007
"60","heart_shape_Max2DdiameterRow_MYO_ED",-0.674967304995459,-0.195321271026454,-0.113372892174562,"brain_bio.weighted.mean_md_in_tract_uncinate_fasciculus_.right..0.imaging",-0.0426181620225435,0.296649290661886,0.406022528955909
