"","PC1","PC2","PC3"
"heart_shape_Volume_LV_ED",0.0733207189288222,0.0799646863706261,-0.0732399162336712
"heart_shape_SurfaceArea_LV_ED",0.0756067334600001,0.072216503066715,-0.0808171388851803
"heart_shape_SurfaceAreatoVolumeRatio_LV_ED",-0.0480091920352746,-0.0737424794309526,0.0414221000270331
"heart_shape_Sphericity_LV_ED",-0.0294142145573461,0.00726439326284023,0.0410229921853916
"heart_shape_Max3Ddiameter_LV_ED",0.0713450245333382,0.0662116648312517,-0.0456759857904577
"heart_shape_Max2DdiameterSlice_LV_ED",0.0504147757520597,0.050738330535522,-0.0744368931541562
"heart_shape_Max2DdiameterColumn_LV_ED",0.074979394866714,0.0690481193709678,-0.0433041602480278
"heart_shape_Max2DdiameterRow_LV_ED",0.0712202042544064,0.0673074192849193,-0.0443436051615481
"heart_shape_MajorAxis_LV_ED",0.0766775747547185,0.062699808614624,-0.0389933632456524
"heart_shape_MinorAxis_LV_ED",0.0558362331069059,0.0678878853509518,-0.0843966731845634
"heart_shape_LeastAxis_LV_ED",0.0614408606192174,0.0681542663593751,-0.0779361973790984
"heart_shape_Elongation_LV_ED",-0.0280814964938132,-0.00370253219734484,-0.0342967084054088
"heart_shape_Flatness_LV_ED",-0.0249120072388856,-0.00462947087170901,-0.028846780102488
"heart_shape_Volume_LV_ES",0.0680832264015151,0.0762304247330486,-0.0730653752380055
"heart_shape_SurfaceArea_LV_ES",0.0723985279066356,0.0719208429727425,-0.0797850945991526
"heart_shape_SurfaceAreatoVolumeRatio_LV_ES",-0.0459627928046423,-0.0720353389060431,0.0484207554820134
"heart_shape_Sphericity_LV_ES",-0.0333405907488536,0.00386972853078602,0.0374063560254118
"heart_shape_Max3Ddiameter_LV_ES",0.0707660684795201,0.064428112598496,-0.0504063501256386
"heart_shape_Max2DdiameterSlice_LV_ES",0.0588586873995435,0.0476619474795005,-0.0667122904680319
"heart_shape_Max2DdiameterColumn_LV_ES",0.0709566618795518,0.0679930370602767,-0.0473588874155893
"heart_shape_Max2DdiameterRow_LV_ES",0.0708069434283781,0.0655102679457597,-0.0494150898919154
"heart_shape_MajorAxis_LV_ES",0.0757135646721873,0.0629820396696316,-0.0435697348748101
"heart_shape_MinorAxis_LV_ES",0.0607453798239297,0.0624448879690361,-0.0824178921621917
"heart_shape_LeastAxis_LV_ES",0.0586032713948396,0.0690436974827101,-0.0824770099819565
"heart_shape_Elongation_LV_ES",-0.0203495019735678,-0.00368549175675206,-0.0405445378191603
"heart_shape_Flatness_LV_ES",-0.0247616565908261,0.0011899021286151,-0.0384732230628688
"heart_shape_Volume_RV_ED",0.0754466468843227,0.0786838790047278,-0.0582160736062382
"heart_shape_SurfaceArea_RV_ED",0.0699875320908866,0.0849039921554893,-0.0585064415284593
"heart_shape_SurfaceAreatoVolumeRatio_RV_ED",-0.0709464724467755,-0.0520009342091321,0.0462707330007332
"heart_shape_Sphericity_RV_ED",0.0145851709449965,-0.0303196082551098,0.00505342348388754
"heart_shape_Max3Ddiameter_RV_ED",0.0662577231610579,0.072318265998058,-0.0350133136338365
"heart_shape_Max2DdiameterSlice_RV_ED",0.0367485906146233,0.0709139820834107,-0.032656147285604
"heart_shape_Max2DdiameterColumn_RV_ED",0.0639353072354911,0.068070950729247,-0.0476597348146655
"heart_shape_Max2DdiameterRow_RV_ED",0.0551096980676868,0.0611196001191583,-0.0425131139317283
"heart_shape_MajorAxis_RV_ED",0.0539514258757486,0.0783079185475768,-0.0399658524741976
"heart_shape_MinorAxis_RV_ED",0.0535356128059202,0.0729947207076552,-0.039192322787057
"heart_shape_LeastAxis_RV_ED",0.0676036904930567,0.0577493419500249,-0.0532435319937897
"heart_shape_Elongation_RV_ED",0.0122237363390424,0.0122526582620842,-0.00929539765472547
"heart_shape_Flatness_RV_ED",0.0134701319122121,-0.019183919442242,-0.0128878118120056
"heart_shape_Volume_RV_ES",0.0718231432562777,0.0747138631858937,-0.0591982704354624
"heart_shape_SurfaceArea_RV_ES",0.0709784282547945,0.0797119802188772,-0.0607136660232662
"heart_shape_SurfaceAreatoVolumeRatio_RV_ES",-0.0652056759798258,-0.0565138082249759,0.04945382024105
"heart_shape_Sphericity_RV_ES",0.0118413124191275,-0.0167146643689313,2.65223199770935e-05
"heart_shape_Max3Ddiameter_RV_ES",0.0681020375774054,0.0627273276651024,-0.040576560021578
"heart_shape_Max2DdiameterSlice_RV_ES",0.0459024915163032,0.0552764526847727,-0.0315162420277891
"heart_shape_Max2DdiameterColumn_RV_ES",0.0605052240658156,0.0579217505372938,-0.0524945937325807
"heart_shape_Max2DdiameterRow_RV_ES",0.0458859431134387,0.0541908857849136,-0.0353831213292427
"heart_shape_MajorAxis_RV_ES",0.0567730284609798,0.0622629642487133,-0.0376923020689928
"heart_shape_MinorAxis_RV_ES",0.0580668801912792,0.0658848767719021,-0.0459657204941923
"heart_shape_LeastAxis_RV_ES",0.0659060682097979,0.0674200044506371,-0.0562040095687182
"heart_shape_Elongation_RV_ES",0.022546749939675,0.025978567833981,-0.023167923306794
"heart_shape_Flatness_RV_ES",0.0178525119374712,0.0137127242544902,-0.0256374894233023
"heart_shape_Volume_MYO_ED",0.100247872652091,0.0563177974160794,-0.0505110710811878
"heart_shape_SurfaceArea_MYO_ED",0.0852927425765019,0.071406393354532,-0.0733377636383698
"heart_shape_SurfaceAreatoVolumeRatio_MYO_ED",-0.096558478584011,-0.0230692251933971,0.00399682370830236
"heart_shape_Sphericity_MYO_ED",0.0575460969651813,-0.0230530708582795,0.0476248840755187
"heart_shape_Max3Ddiameter_MYO_ED",0.0713914495162278,0.0603838187611935,-0.0486833815115619
"heart_shape_Max2DdiameterSlice_MYO_ED",0.0564282739747478,0.0465675679673843,-0.0663489994170659
"heart_shape_Max2DdiameterColumn_MYO_ED",0.081788681355825,0.0651307002726306,-0.0511726461523913
"heart_shape_Max2DdiameterRow_MYO_ED",0.0730671654505655,0.0650057095220462,-0.046916760953913
"heart_shape_MajorAxis_MYO_ED",0.0779872352455702,0.0648599443731173,-0.0583239702670577
"heart_shape_MinorAxis_MYO_ED",0.0701508307542191,0.0708670034670675,-0.0752785882762294
"heart_shape_LeastAxis_MYO_ED",0.0731857340583507,0.0747698980076823,-0.0671853026270769
"heart_shape_Elongation_MYO_ED",-0.0157505937871775,0.00154698706021023,-0.0148510461861777
"heart_shape_Flatness_MYO_ED",-0.0130426108639427,0.00556979305861999,-0.00525169371469404
"heart_shape_Volume_MYO_ES",0.100904168048462,0.0530154307012035,-0.0448378431996675
"heart_shape_SurfaceArea_MYO_ES",0.0871385479242072,0.0684286711782515,-0.0732446760494163
"heart_shape_SurfaceAreatoVolumeRatio_MYO_ES",-0.0847087577413088,-0.00910562340230079,-0.018024833907225
"heart_shape_Sphericity_MYO_ES",0.0227380305221157,-0.0423122753506278,0.0722879531479567
"heart_shape_Max3Ddiameter_MYO_ES",0.0697947737289536,0.0551218789113817,-0.0496415401337373
"heart_shape_Max2DdiameterSlice_MYO_ES",0.0591428349197208,0.0388611442818294,-0.0585537440998521
"heart_shape_Max2DdiameterColumn_MYO_ES",0.0850835985783694,0.0665568741814122,-0.052562517584195
"heart_shape_Max2DdiameterRow_MYO_ES",0.0725933394746796,0.0591612216426127,-0.0485090588190304
"heart_shape_MajorAxis_MYO_ES",0.0832001674189647,0.0667840205150858,-0.0583308952157411
"heart_shape_MinorAxis_MYO_ES",0.0776901406665346,0.0674531518770746,-0.0734622531753858
"heart_shape_LeastAxis_MYO_ES",0.0802386470447722,0.0707319574127301,-0.0639667477225904
"heart_shape_Elongation_MYO_ES",-0.0199427713084925,-0.00888065342952276,-0.0124167614143582
"heart_shape_Flatness_MYO_ES",-0.0153026739351277,-0.00330925945404638,-0.000829602175666973
"heart_intensity_Energy_MYO_ED",0.00853321293634417,0.121153520236333,0.0418811308772695
"heart_intensity_TotalEnergy_MYO_ED",0.0121803450935099,0.120619853726166,0.0416995994672183
"heart_intensity_Entropy_MYO_ED",-0.101051933105824,0.0332445536452982,-0.0495269996617698
"heart_intensity_Minimum_MYO_ED",-0.0108010014578408,0.0493386705999111,0.0854912894322073
"heart_intensity_Percentile10_MYO_ED",-0.0137137484962475,0.0962064929239038,0.101813352334121
"heart_intensity_Percentile90_MYO_ED",-0.0676341582630442,0.0965724388322957,0.0509767280728385
"heart_intensity_Maximum_MYO_ED",-0.0512761819432677,0.0749015519321814,0.0559351532482252
"heart_intensity_Mean_MYO_ED",-0.0405213355761538,0.101437771971421,0.0837046658476842
"heart_intensity_Median_MYO_ED",-0.0337896941036865,0.0995355395879169,0.0865872477281899
"heart_intensity_InterquartileRange_MYO_ED",-0.0799177158289272,0.0133243582959758,-0.0665996053365329
"heart_intensity_Range_MYO_ED",-0.0528792728776355,0.0722342610290488,0.0466828452035373
"heart_intensity_MeanAbsoluteDeviation_MYO_ED",-0.0970180441351897,0.0320583191149109,-0.051866252016642
"heart_intensity_RobustMeanAbsoluteDeviation_MYO_ED",-0.0851011518672397,0.0150724757359124,-0.0703150186570085
"heart_intensity_RootMeanSquared_MYO_ED",-0.0466549454030013,0.101689426847266,0.0787528607826847
"heart_intensity_Skewness_MYO_ED",-0.00777349454301196,-0.00339563376938883,0.0269894760058148
"heart_intensity_Kurtosis_MYO_ED",0.00095149584774777,0.0322209194277896,0.0662010668602335
"heart_intensity_Variance_MYO_ED",-0.0799479374986351,0.0485121307902366,-0.0253843772272029
"heart_intensity_Uniformity_MYO_ED",0.0853363555729669,-0.0131102441452487,0.0695085522879611
"heart_intensity_Energy_MYO_ES",0.0136528137677705,0.12196888236177,0.0338335589082999
"heart_intensity_TotalEnergy_MYO_ES",0.0168456008855507,0.122059084060122,0.0337547911738285
"heart_intensity_Entropy_MYO_ES",-0.0599227897202027,0.0598806091116388,-0.105237602856668
"heart_intensity_Minimum_MYO_ES",-0.00930310679203526,0.0490352431341583,0.0832595579439874
"heart_intensity_Percentile10_MYO_ES",-0.0247684316256074,0.0977846692742285,0.0992957780146654
"heart_intensity_Percentile90_MYO_ES",-0.0464789229655259,0.113287441238492,0.0356285535384548
"heart_intensity_Maximum_MYO_ES",-0.0418839909000372,0.0987692788886122,0.041883964639485
"heart_intensity_Mean_MYO_ES",-0.0358120679962046,0.109208785133846,0.0703662692472815
"heart_intensity_Median_MYO_ES",-0.0332074242251517,0.106461272719888,0.0722347846107166
"heart_intensity_InterquartileRange_MYO_ES",-0.0445896916909746,0.0550036628340595,-0.0954419889309044
"heart_intensity_Range_MYO_ES",-0.0439366416329042,0.0965586806116875,0.0246919249717675
"heart_intensity_MeanAbsoluteDeviation_MYO_ES",-0.0565113669502909,0.069216124361676,-0.0896040020461146
"heart_intensity_RobustMeanAbsoluteDeviation_MYO_ES",-0.0476255467755482,0.059106436391259,-0.0974819769865218
"heart_intensity_RootMeanSquared_MYO_ES",-0.0381680774337368,0.110759824858507,0.0648388830783261
"heart_intensity_Skewness_MYO_ES",0.00513936626788866,-0.0237288697248999,0.00312417500828237
"heart_intensity_Kurtosis_MYO_ES",-0.00432696921004715,0.0213624329161549,0.0759494496755857
"heart_intensity_Variance_MYO_ES",-0.0560909265164975,0.0716397592568367,-0.060094281347932
"heart_intensity_Uniformity_MYO_ES",0.0483130826108852,-0.0441562154534977,0.111917473209011
"heart_texture_Autocorrelation_glcm_MYO_ED",-0.0435979043412767,0.100306197416926,0.0725640836196788
"heart_texture_JointAverage_glcm_MYO_ED",-0.0418418009505574,0.0999859259598742,0.0757681756864762
"heart_texture_ClusterProminence_glcm_MYO_ED",-0.034627239284928,0.0337860892357488,-0.0175728833966343
"heart_texture_ClusterShade_glcm_MYO_ED",-0.0393151426698962,0.0318356260013274,-0.0169747741817994
"heart_texture_ClusterTendency_glcm_MYO_ED",-0.0721079386949075,0.0458833797756878,-0.0404369376672819
"heart_texture_Contrast_glcm_MYO_ED",-0.0986153588572018,0.037153730241996,-0.0387014523950726
"heart_texture_Correlation_glcm_MYO_ED",0.0257056228656385,0.0358282446364106,-0.0188822975894735
"heart_texture_DifferenceAverage_glcm_MYO_ED",-0.106838252917433,0.019036975400265,-0.056174617354179
"heart_texture_DifferenceEntropy_glcm_MYO_ED",-0.107057947028382,0.0227273137038556,-0.0456660595572722
"heart_texture_DifferenceVariance_glcm_MYO_ED",-0.0888824358891086,0.0459034800989586,-0.0206458411455089
"heart_texture_JointEnergy_glcm_MYO_ED",0.0778704240151192,-0.0115182133960598,0.0675638727441123
"heart_texture_JointEntropy_glcm_MYO_ED",-0.100000745127256,0.0276769863583108,-0.0600205922089788
"heart_texture_InformalMeasureofCorrelation1_glcm_MYO_ED",-0.031748033830629,-0.0388763073723624,-0.00414362389454032
"heart_texture_InformalMeasureofCorrelation2_glcm_MYO_ED",-0.00897291491180441,0.051291087291145,-0.00782015433149725
"heart_texture_InverseDifferenceMoment_glcm_MYO_ED",0.103368021659459,-0.00828462087909088,0.0621796791303217
"heart_texture_InverseDifferenceMomentNormalized_glcm_MYO_ED",0.0122195998847489,0.0680133373099084,0.0900550337360798
"heart_texture_InverseDifference_glcm_MYO_ED",0.101553537430525,-0.00757364625562652,0.062283161740121
"heart_texture_InverseDifferenceNormalized_glcm_MYO_ED",0.0350618065250998,0.0606804173200782,0.0992020191840191
"heart_texture_InverseVariance_glcm_MYO_ED",-0.0655401925059905,-0.00501212351204303,-0.0536305457558308
"heart_texture_MaximumProbability_glcm_MYO_ED",0.0677934587259996,-0.011509901042707,0.0594005582276186
"heart_texture_SumAverage_glcm_MYO_ED",-0.0418418002741235,0.0999859256420499,0.0757681776867755
"heart_texture_SumEntropy_glcm_MYO_ED",-0.0924780036575994,0.0359020566307179,-0.0602841274393552
"heart_texture_SumofSquares_glcm_MYO_ED",-0.0826248430117602,0.0449617238629653,-0.0413968686291189
"heart_texture_Autocorrelation_glcm_MYO_ES",-0.0403982904381033,0.10229630331438,0.0442978693838564
"heart_texture_JointAverage_glcm_MYO_ES",-0.0403166014781106,0.101075425558262,0.0472318101610904
"heart_texture_ClusterProminence_glcm_MYO_ES",-0.0275899571593881,0.0330321288649921,-0.0245470765267631
"heart_texture_ClusterShade_glcm_MYO_ES",-0.0264609798536741,0.0299711797064997,-0.0236996291676044
"heart_texture_ClusterTendency_glcm_MYO_ES",-0.0459981367938535,0.0669110629481522,-0.0775061330481049
"heart_texture_Contrast_glcm_MYO_ES",-0.0794353443737847,0.0418741303077474,-0.0780908928343153
"heart_texture_Correlation_glcm_MYO_ES",0.0312785031281822,0.0542224823016434,-0.0427639366906217
"heart_texture_DifferenceAverage_glcm_MYO_ES",-0.0824762140065184,0.0238083291895217,-0.101401646424144
"heart_texture_DifferenceEntropy_glcm_MYO_ES",-0.0861540406396048,0.0319784868827891,-0.0910174824677424
"heart_texture_DifferenceVariance_glcm_MYO_ES",-0.0745966928740524,0.0503673899763573,-0.0584620708493989
"heart_texture_JointEnergy_glcm_MYO_ES",0.051678165091881,-0.0293380755132525,0.113991318747203
"heart_texture_JointEntropy_glcm_MYO_ES",-0.065367205767387,0.046687351938105,-0.114200822713112
"heart_texture_InformalMeasureofCorrelation1_glcm_MYO_ES",-0.0407837576744373,-0.0580633913239782,0.0133900700363034
"heart_texture_InformalMeasureofCorrelation2_glcm_MYO_ES",0.0183618165757119,0.064413679712278,-0.0408865768803746
"heart_texture_InverseDifferenceMoment_glcm_MYO_ES",0.0796757739594437,-0.0158466339990095,0.106071406579019
