"","lhs","rhs","est.std","pvalue","ci.lower","ci.upper","model.r","additional.r","pvalue_adj"
"4","cardio_latent_agg","cardio_latent_gvrf",0.880217352543457,0,0.870037371065555,0.890397334021359,0.656759590670483,0.528070309922332,0
"7","cardio_latent_agg","cog_latent_g",-0.0389663551115642,0.000554118511401303,-0.0610832798282721,-0.0168494303948562,0.130143429686708,0.00145414893855678,0.000697004416856984
"10","cardio_latent_agg","heart_latent_pc1",0.352618022093951,0,0.322035197063095,0.383200847124806,0.182844048165981,0.0541547674178293,0
"13","cardio_latent_agg","heart_latent_pc2",0.35042231997476,0,0.33101010420951,0.36983453574001,0.241368340445725,0.112679059697573,0
"16","cardio_latent_agg","heart_latent_pc3",0.203794487247766,0,0.183094793300802,0.224494181194731,0.169612204035356,0.0409229232872051,0
"19","cardio_latent_agg","brain_latent_grey",-0.0798839189708706,3.40496164596971e-09,-0.106372751812522,-0.0533950861292198,0.132919361698342,0.00423008095019106,5.38333857070309e-09
"22","cardio_latent_agg","brain_latent_atrophy",-0.0425332817020553,0.00215842074901396,-0.069709523374133,-0.0153570400299776,0.129837696990366,0.00114841624221507,0.00270560497664607
"25","cardio_latent_agg","brain_latent_wmh",0.105996474130425,0,0.0830748696825359,0.128918078578313,0.138492199270855,0.00980291852270332,0
"28","cardio_latent_agg","brain_latent_gMD",0.0550623165036222,4.00294811675472e-06,0.0316585445882711,0.0784660884189734,0.131274777800738,0.00258549705258659,5.52761510586796e-06
"31","cardio_latent_agg","brain_latent_gFA",-0.0485818042973605,2.29572082588447e-05,-0.0710708481835694,-0.0260927604111516,0.130871337469987,0.00218205672183591,3.08150446427446e-05
"34","cardio_latent_agg","brain_latent_pc1",0.0536648053938874,7.05932232070161e-06,0.0302490407396716,0.0770805700481033,0.131143520422875,0.00245423967472402,9.61473535073968e-06
"37","cardio_latent_agg","brain_latent_pc2",0.0108801659350419,0.362953959625329,-0.012560026640987,0.0343203585110708,0.12879057401235,0.000101293264199054,0.376118207507474
"40","cardio_latent_agg","brain_latent_pc3",-0.0596185866313978,6.38905717442739e-07,-0.083086881981573,-0.0361502912812227,0.131700400776243,0.00301112002809145,9.14546783065922e-07
"43","cardio_latent_agg","heart_latent_cc1",0.414232164272115,0,0.375723437100199,0.452740891444031,0.17662651255732,0.0479372318091682,0
"46","cardio_latent_agg","heart_latent_cc2",-0.34678269540536,0,-0.372594958806142,-0.320970432004579,0.199026023654496,0.0703367429063442,0
"49","cardio_latent_agg","heart_latent_cc3",-0.401629662243714,0,-0.419710963661785,-0.383548360825643,0.280655293961897,0.151966013213746,0
"52","cardio_latent_agg","brain_latent_cc1",0.180382628966577,0,0.14683687686572,0.213928381067435,0.141829227810128,0.0131399470619766,0
"55","cardio_latent_agg","brain_latent_cc2",-0.31255769670262,0,-0.340743328350703,-0.284372065054537,0.17927168523108,0.0505824044829289,0
"58","cardio_latent_agg","brain_latent_cc3",-0.261171180158215,0,-0.281703128387937,-0.240639231928493,0.192828480552308,0.0641391998041568,0
"61","cardio_latent_gvrf","cardio_latent_agg",0.688539357284409,0,0.679138010738464,0.697940703830353,0.731504349367897,0.413076605178574,0
"67","cardio_latent_gvrf","cog_latent_g",-0.0274549197941853,0.00598658336556013,-0.0470330000852437,-0.00787683950312696,0.319149630407942,0.000721886218618795,0.00725646468552743
"70","cardio_latent_gvrf","heart_latent_pc1",0.475650107025443,0,0.450540265393206,0.50075994865768,0.416965554810797,0.0985378106214743,0
"73","cardio_latent_gvrf","heart_latent_pc2",0.401460672580053,0,0.385489756017105,0.417431589143001,0.466320102206205,0.147892358016882,0
"76","cardio_latent_gvrf","heart_latent_pc3",0.207640989747854,0,0.189463581914771,0.225818397580937,0.360910054848331,0.0424823106590082,0
"79","cardio_latent_gvrf","brain_latent_grey",-0.0637858997425807,9.96658411356321e-08,-0.0872531933318393,-0.0403186061533221,0.321124728539045,0.00269698434972199,1.44705114235749e-07
"82","cardio_latent_gvrf","brain_latent_atrophy",-0.0274780408061733,0.025166415124227,-0.0515333562035762,-0.00342272540877045,0.318907051754003,0.000479307564679954,0.029787470440444
"85","cardio_latent_gvrf","brain_latent_wmh",0.117925718706043,0,0.0977424036372585,0.138109033774828,0.330561335130081,0.0121335909407583,0
"88","cardio_latent_gvrf","brain_latent_gMD",0.0406418870292138,0.000121523271634061,0.019914341588169,0.0613694324702585,0.319836328824965,0.00140858463564175,0.000159899041623764
"91","cardio_latent_gvrf","brain_latent_gFA",-0.0353558873767232,0.000501864069458069,-0.0552699836858752,-0.0154417910675711,0.319583436143662,0.00115569195433929,0.000639317285933846
"94","cardio_latent_gvrf","brain_latent_pc1",0.0367464849887019,0.000516132330212082,0.0160043238334414,0.0574886461439624,0.319578464100671,0.00115071991134763,0.000653332063559598
