"","lhs","op","rhs","est.std","pvalue","ci.lower","ci.upper","model.r","additional.r","pvalue_adj"
"4","cardio_latent_agg","~","cardio_latent_gvrf",0.888398187514772,0,0.880955469623211,0.895840905406333,0.671404188811109,0.546624988218571,0
"7","cardio_latent_agg","~","cog_latent_g",-0.029864294095128,0.000608788710875219,-0.0469408998073982,-0.0127876883828578,0.125636928729968,0.000857728137430569,0.000776582065816092
"10","cardio_latent_agg","~","heart_latent_pc1",0.0293186650591254,0.000894011029687336,0.0120203647546015,0.0466169653636492,0.125584922926361,0.000805722333823589,0.00110906522926848
"13","cardio_latent_agg","~","heart_latent_pc2",-0.389797195203378,0,-0.404696244138275,-0.374898146268482,0.25806497576191,0.133285775169373,0
"16","cardio_latent_agg","~","heart_latent_pc3",0.0934903962689197,0,0.0765681346083399,0.110412657929499,0.133173498553839,0.00839429796130098,0
"19","cardio_latent_agg","~","brain_latent_grey",-0.0882342051978132,0,-0.108707024426011,-0.0677613859696148,0.129930784688005,0.00515158409546701,0
"22","cardio_latent_agg","~","brain_latent_atrophy",-0.0470886110987376,1.09307636022571e-05,-0.0680741182492081,-0.0261031039482671,0.126189182846939,0.00140998225440148,1.59113131468339e-05
"25","cardio_latent_agg","~","brain_latent_gMD",0.0442130487836663,1.05338262401666e-06,0.0264607481038371,0.0619653494634956,0.126514821345889,0.00173562075335154,1.63206492390565e-06
"28","cardio_latent_agg","~","brain_latent_gFA",-0.0367786794125552,3.08727239357598e-05,-0.0540779528290949,-0.0194794059960156,0.126045471812594,0.00126627122005596,4.33659663066509e-05
"31","cardio_latent_agg","~","brain_latent_pc1",-0.0469747479106437,2.90782933065614e-07,-0.0649242469063827,-0.0290252489149047,0.126694716467125,0.00191551587458749,4.58582883740428e-07
"34","cardio_latent_agg","~","brain_latent_pc2",0.0111304952858371,0.204216583864168,-0.00605197201632149,0.0283129625879956,0.124897100258577,0.000117899666039145,0.218760198145296
"37","cardio_latent_agg","~","brain_latent_pc3",-0.0390871449290882,6.03849453140182e-05,-0.058185534074538,-0.0199887557836385,0.125952907113125,0.00117370652058735,8.3070521300617e-05
"40","cardio_latent_agg","~","heart_latent_cc1",-0.208000187515606,0,-0.226687786964966,-0.189312588066246,0.156798475198771,0.0320192746062335,0
"43","cardio_latent_agg","~","heart_latent_cc2",-0.396644529789247,0,-0.412555472484754,-0.380733587093739,0.249036535145694,0.124257334553157,0
"46","cardio_latent_agg","~","heart_latent_cc3",0.267795002812225,0,0.25105866081578,0.28453134480867,0.185949580474582,0.0611703798820444,0
"49","cardio_latent_agg","~","brain_latent_cc1",0.158800450114085,0,0.13358489632908,0.184016003899091,0.135617732166208,0.0108385315736707,0
"52","cardio_latent_agg","~","brain_latent_cc2",-0.342070416025031,0,-0.360840063561554,-0.323300768488508,0.200927000902624,0.076147800310086,0
"55","cardio_latent_agg","~","brain_latent_cc3",0.206469169957281,0,0.189430375976216,0.223507963938347,0.162188881971348,0.0374096813788103,0
"58","cardio_latent_gvrf","~","cardio_latent_agg",0.7030143561871,0,0.696030539928833,0.709998172445367,0.739972932878747,0.432559664511892,0
"64","cardio_latent_gvrf","~","cog_latent_g",-0.0263841393460922,0.000665084825938855,-0.0415775341599216,-0.0111907445322628,0.30808272699211,0.000669458625255692,0.000836570112069431
"67","cardio_latent_gvrf","~","heart_latent_pc1",0.047894049317639,9.82413261851889e-10,0.0325362447188132,0.0632518539164648,0.30956339009566,0.00215012172880524,1.69689563410781e-09
"70","cardio_latent_gvrf","~","heart_latent_pc2",-0.43540995814637,0,-0.447746627849723,-0.423073288443017,0.473717455020858,0.166304186654003,0
"73","cardio_latent_gvrf","~","heart_latent_pc3",0.080473682435098,0,0.0653875615994495,0.0955598032707465,0.313632803091565,0.00621953472471037,0
"76","cardio_latent_gvrf","~","brain_latent_grey",-0.0722400668443603,8.43769498715119e-15,-0.0904854557151663,-0.0539946779735543,0.310866494131109,0.00345322576425389,1.6116443864347e-14
"79","cardio_latent_gvrf","~","brain_latent_atrophy",-0.0320480548847529,0.000774676872133062,-0.0507330247771607,-0.0133630849923451,0.308066372575285,0.000653104208429789,0.000968199612714027
"82","cardio_latent_gvrf","~","brain_latent_gMD",0.0380147475658744,2.40549593133466e-06,0.0222157980804191,0.0538136970513296,0.308696361676988,0.00128309331013277,3.695251196646e-06
"85","cardio_latent_gvrf","~","brain_latent_gFA",-0.0299919736830618,0.000134482273928427,-0.0453878920680811,-0.0145960552980426,0.308255335011803,0.000842066644948347,0.000180476211480156
"88","cardio_latent_gvrf","~","brain_latent_pc1",-0.0379387025509653,3.26286768070894e-06,-0.0539176166284599,-0.0219597884734707,0.308662727693267,0.00124945932641241,4.97002207905454e-06
"91","cardio_latent_gvrf","~","brain_latent_pc2",0.0199811690466498,0.0103735396906735,0.00470200487708458,0.0352603332162149,0.307793237903691,0.000379969536835945,0.0125245746766994
"94","cardio_latent_gvrf","~","brain_latent_pc3",-0.0340901947512192,8.43300904207478e-05,-0.0510840450754099,-0.0170963444270285,0.308306078991238,0.000892810624382845,0.000114879859026
"97","cardio_latent_gvrf","~","heart_latent_cc1",-0.240568256853335,0,-0.256875981022423,-0.224260532684248,0.350244529511076,0.0428312611442216,0
"100","cardio_latent_gvrf","~","heart_latent_cc2",-0.456057351784792,0,-0.469103694318774,-0.44301100925081,0.47168317328292,0.164269904916065,0
"103","cardio_latent_gvrf","~","heart_latent_cc3",0.304096154632629,0,0.289700373268651,0.318491935996607,0.386291692361434,0.078878423994579,0
"106","cardio_latent_gvrf","~","brain_latent_cc1",0.186433868098253,0,0.164158353617431,0.208709382579075,0.322352112994447,0.0149388446275919,0
"109","cardio_latent_gvrf","~","brain_latent_cc2",-0.369951198644238,0,-0.386177476140093,-0.353724921148383,0.396479942912127,0.0890666745452726,0
"112","cardio_latent_gvrf","~","brain_latent_cc3",0.235418830074782,0,0.2205695596462,0.250268100503364,0.35604907328732,0.0486358049204656,0
"115","cog_latent_g","~","cardio_latent_agg",-0.0328155738008635,0.000608163858917932,-0.0515782151448178,-0.0140529324569092,0.0392296857072942,0.000942485766737833,0.000776582065816092
"118","cog_latent_g","~","cardio_latent_gvrf",-0.0366364803492562,0.000663124526146142,-0.0577287233442017,-0.0155442373543106,0.0392168046627185,0.000929604722162081,0.000836570112069431
"124","cog_latent_g","~","heart_latent_pc1",-0.00165936447685245,0.857801925113378,-0.0198110728017324,0.0164923438480275,0.0382897685151549,2.56857459846049e-06,0.862580765921809
"127","cog_latent_g","~","heart_latent_pc2",0.0749829707627393,3.33066907387547e-15,0.056335925855035,0.0936300156704435,0.0432193006410299,0.00493210070047345,6.42979430839061e-15
"130","cog_latent_g","~","heart_latent_pc3",-0.021889634286896,0.0166730888524829,-0.0398118520994814,-0.00396741647431063,0.0387473775259262,0.000460177585369759,0.0193537542358464
"133","cog_latent_g","~","brain_latent_grey",0.204003224649681,0,0.183145318471043,0.224861130828319,0.0658258304304873,0.0275386304899309,0
"136","cog_latent_g","~","brain_latent_atrophy",0.204159274362656,0,0.182853871501729,0.225464677223583,0.0647922256776017,0.0265050257370453,0
"139","cog_latent_g","~","brain_latent_gMD",-0.0387475232661465,4.52724625090717e-05,-0.0573667505474297,-0.0201282959848634,0.0396202367428576,0.00133303680230124,6.27265668894011e-05
"142","cog_latent_g","~","brain_latent_gFA",0.0484492787711493,1.58422647666967e-07,0.0303359751011498,0.0665625824411487,0.0404845997055391,0.00219739976498268,2.59200889075048e-07
"145","cog_latent_g","~","brain_latent_pc1",0.0534604509740824,2.51114127269858e-08,0.0346572892066215,0.0722636127415432,0.0407681739885531,0.00248097404799674,4.1968611085379e-08
"148","cog_latent_g","~","brain_latent_pc2",0.0422362202676167,4.12087253676141e-06,0.0242605339824294,0.060211906552804,0.0399849549861917,0.0016977550456353,6.07433188287687e-06
"151","cog_latent_g","~","brain_latent_pc3",0.126668171072866,0,0.106928775212819,0.146407566932913,0.050613574965254,0.0123263750246976,0
"154","cog_latent_g","~","heart_latent_cc1",-0.00954239652959325,0.35986582936443,-0.0299687061637852,0.0108839131045987,0.0383545825998218,6.73826592654247e-05,0.378758477667251
"157","cog_latent_g","~","heart_latent_cc2",0.106473390012359,0,0.0869215077262061,0.126025272298512,0.0472408707209054,0.00895367078034903,0
"160","cog_latent_g","~","heart_latent_cc3",-0.0312243541541076,0.00128388557306702,-0.0502327450167906,-0.0122159632914245,0.0391188195932114,0.000831619652654991,0.00158344040259315
"163","cog_latent_g","~","brain_latent_cc1",0.137863459710806,0,0.111332828080451,0.164394091341161,0.0464561230245778,0.0081689230840214,0
"166","cog_latent_g","~","brain_latent_cc2",0.143508964967298,0,0.122091155008793,0.164926774925804,0.0516896531470927,0.0134024532065363,0
"169","cog_latent_g","~","brain_latent_cc3",-0.0132127329773488,0.167377822186419,-0.0319690763289841,0.00554361037428664,0.0384403999504956,0.000153200009939236,0.181457558333633
"172","heart_latent_pc1","~","cardio_latent_agg",0.0313997921732985,0.000893424178701085,0.0128746281790712,0.0499249561675258,0.0635168607413771,0.000862905086687626,0.00110906522926848
"175","heart_latent_pc1","~","cardio_latent_gvrf",0.0648197521075659,9.56724921508112e-10,0.044048876901559,0.0855906273135728,0.0655639263444465,0.00290997068975707,1.66046969550206e-09
"178","heart_latent_pc1","~","cog_latent_g",-0.00161733646242229,0.857800626147751,-0.0193091390022595,0.0160744660774149,0.0626564665492041,2.51089451464015e-06,0.862580765921809
