"","mediator","lhs","op","rhs","label","est.std","pvalue","ci.lower","ci.upper","independent","dependent","pvalue_adj","significant"
"1","heart_latent_pc1","heart_latent_pc1","~","cardio_pack_years","a",0.0077102151142677,0.221920992650012,-0.0046618978983463,0.0200823281268817,"cardio_pack_years","cog_vnr",0.265091453133486,FALSE
"11","heart_latent_pc1","cog_vnr","~","cardio_pack_years","c",-0.0293759618420173,0.00144560908936797,-0.0474509525101457,-0.011300971173889,"cardio_pack_years","cog_vnr",0.00407265504872703,TRUE
"12","heart_latent_pc1","cog_vnr","~","heart_latent_pc1","b",0.0906211553771349,1.08122399922195e-11,0.0644831764209662,0.116759134333304,"cardio_pack_years","cog_vnr",1.22465167258812e-10,TRUE
"22","heart_latent_pc1","de",":=","c","de",-0.0293759618420173,0.00144560908936797,-0.0474509525101457,-0.011300971173889,"cardio_pack_years","cog_vnr",0.00407265504872703,TRUE
"23","heart_latent_pc1","ie",":=","a*b","ie",0.000698708601861188,0.229312665831415,-0.000440471210697861,0.00183788841442024,"cardio_pack_years","cog_vnr",0.269066658639398,FALSE
"24","heart_latent_pc1","te",":=","c+a*b","te",-0.0286772532401561,0.0019107303678283,-0.0467863328695248,-0.0105681736107875,"cardio_pack_years","cog_vnr",0.00488689643269254,TRUE
"25","heart_latent_pc1","pm",":=","(a*b)/(c+a*b)","pm",-0.0243645580701153,0.271977637888664,-0.0678354745019526,0.0191063583617219,"cardio_pack_years","cog_vnr",0.313169271842756,FALSE
"26","heart_latent_pc2","heart_latent_pc2","~","cardio_pack_years","a",-0.0355251911057813,1.72368477180385e-06,-0.0500814334474561,-0.0209689487641064,"cardio_pack_years","cog_vnr",1.22646801070658e-05,TRUE
"36","heart_latent_pc2","cog_vnr","~","cardio_pack_years","c",-0.0252490618679923,0.00618124215746785,-0.0433232374782276,-0.00717488625775704,"cardio_pack_years","cog_vnr",0.0114735431350992,TRUE
"37","heart_latent_pc2","cog_vnr","~","heart_latent_pc2","b",0.0965003235734635,0,0.0743481327883681,0.118652514358559,"cardio_pack_years","cog_vnr",0,TRUE
"47","heart_latent_pc2","de",":=","c","de",-0.0252490618679923,0.00618124215746785,-0.0433232374782276,-0.00717488625775704,"cardio_pack_years","cog_vnr",0.0114735431350992,TRUE
"48","heart_latent_pc2","ie",":=","a*b","ie",-0.00342819243671702,3.0176393165382e-05,-0.00503867244430712,-0.00181771242912692,"cardio_pack_years","cog_vnr",0.000136161774038919,TRUE
"49","heart_latent_pc2","te",":=","c+a*b","te",-0.0286772543047093,0.00191072958206751,-0.0467863338963857,-0.0105681747130329,"cardio_pack_years","cog_vnr",0.00488689643269254,TRUE
"50","heart_latent_pc2","pm",":=","(a*b)/(c+a*b)","pm",0.119543956345711,0.0100804707161932,0.028484224222328,0.210603688469093,"cardio_pack_years","cog_vnr",0.0179316065624591,TRUE
"51","heart_latent_pc3","heart_latent_pc3","~","cardio_pack_years","a",0.0103838180929298,0.227293024376187,-0.00647270126319265,0.0272403374490522,"cardio_pack_years","cog_vnr",0.268178210751277,FALSE
"61","heart_latent_pc3","cog_vnr","~","cardio_pack_years","c",-0.0286431779111678,0.00193585283155406,-0.0467533032525189,-0.0105330525698166,"cardio_pack_years","cog_vnr",0.0049059284087329,TRUE
"62","heart_latent_pc3","cog_vnr","~","heart_latent_pc3","b",-0.00328156452761598,0.738445660466984,-0.022543347665708,0.015980218610476,"cardio_pack_years","cog_vnr",0.770370942780406,FALSE
"72","heart_latent_pc3","de",":=","c","de",-0.0286431779111678,0.00193585283155406,-0.0467533032525189,-0.0105330525698166,"cardio_pack_years","cog_vnr",0.0049059284087329,TRUE
"73","heart_latent_pc3","ie",":=","a*b","ie",-3.40751691149753e-05,NA,-3.40751691149753e-05,-3.40751691149753e-05,"cardio_pack_years","cog_vnr",NA,FALSE
"74","heart_latent_pc3","te",":=","c+a*b","te",-0.0286772530802827,0.00191073045281831,-0.0467863326854831,-0.0105681734750823,"cardio_pack_years","cog_vnr",0.00488689643269254,TRUE
"75","heart_latent_pc3","pm",":=","(a*b)/(c+a*b)","pm",0.00118822988448653,0.748864836932357,-0.00608644070682769,0.00846290047580074,"cardio_pack_years","cog_vnr",0.77977483020161,FALSE
"76","brain_latent_grey","brain_latent_grey","~","cardio_pack_years","a",-0.0646108689151692,0,-0.0793556691097572,-0.0498660687205812,"cardio_pack_years","cog_vnr",0,TRUE
"86","brain_latent_grey","cog_vnr","~","cardio_pack_years","c",-0.0153319764686183,0.0934215899965736,-0.0332443450280009,0.00258039209076436,"cardio_pack_years","cog_vnr",0.120860098946616,FALSE
"87","brain_latent_grey","cog_vnr","~","brain_latent_grey","b",0.206548471965306,0,0.185222398251,0.227874545679612,"cardio_pack_years","cog_vnr",0,TRUE
"97","brain_latent_grey","de",":=","c","de",-0.0153319764686183,0.0934215899965736,-0.0332443450280009,0.00258039209076436,"cardio_pack_years","cog_vnr",0.120860098946616,FALSE
"98","brain_latent_grey","ie",":=","a*b","ie",-0.0133452762467789,5.32907051820075e-15,-0.0166909514824384,-0.0099996010111194,"cardio_pack_years","cog_vnr",6.29283859064131e-14,TRUE
"99","brain_latent_grey","te",":=","c+a*b","te",-0.0286772527153972,0.00191073067975522,-0.0467863322952176,-0.0105681731355767,"cardio_pack_years","cog_vnr",0.00488689643269254,TRUE
"100","brain_latent_grey","pm",":=","(a*b)/(c+a*b)","pm",0.465361043445199,0.00231395226660269,0.165987531162514,0.764734555727884,"cardio_pack_years","cog_vnr",0.00558366742593258,TRUE
"101","brain_latent_atrophy","brain_latent_atrophy","~","cardio_pack_years","a",-0.047108209385622,1.63130398078692e-10,-0.061551622274441,-0.032664796496803,"cardio_pack_years","cog_vnr",1.70825228176744e-09,TRUE
"111","brain_latent_atrophy","cog_vnr","~","cardio_pack_years","c",-0.0184962613613716,0.0425423541010876,-0.0363704584815405,-0.000622064241202615,"cardio_pack_years","cog_vnr",0.058880315526443,FALSE
"112","brain_latent_atrophy","cog_vnr","~","brain_latent_atrophy","b",0.216119274585825,0,0.194354685540772,0.237883863630879,"cardio_pack_years","cog_vnr",0,TRUE
"122","brain_latent_atrophy","de",":=","c","de",-0.0184962613613716,0.0425423541010876,-0.0363704584815405,-0.000622064241202615,"cardio_pack_years","cog_vnr",0.058880315526443,FALSE
"123","brain_latent_atrophy","ie",":=","a*b","ie",-0.0101809920394578,1.2722918274477e-09,-0.0134679046875311,-0.00689407939138453,"cardio_pack_years","cog_vnr",1.2024815098457e-08,TRUE
"124","brain_latent_atrophy","te",":=","c+a*b","te",-0.0286772534008294,0.00191073018608789,-0.0467863329674573,-0.0105681738342015,"cardio_pack_years","cog_vnr",0.00488689643269254,TRUE
"125","brain_latent_atrophy","pm",":=","(a*b)/(c+a*b)","pm",0.355019774633067,0.00302947775077156,0.120318552453538,0.589720996812596,"cardio_pack_years","cog_vnr",0.00686269449664578,TRUE
"126","brain_latent_gMD","brain_latent_gMD","~","cardio_pack_years","a",0.0280473111131928,0.00125295897244393,0.0110099622078764,0.0450846600185093,"cardio_pack_years","cog_vnr",0.00360306854770146,TRUE
