"","mediator","lhs","op","rhs","label","est.std","pvalue","ci.lower","ci.upper","independent","dependent","pvalue_adj","significant"
"1","heart_latent_pc1","heart_latent_pc1","~","cardio_pack_years","a",0.00907194530845748,0.302994918081826,-0.00819031804348908,0.026334208660404,"cardio_pack_years","cog_vnr",0.35938774507062,FALSE
"11","heart_latent_pc1","cog_vnr","~","cardio_pack_years","c",-0.0287183626261111,0.0018828562494051,-0.0468280465520953,-0.0106086787001269,"cardio_pack_years","cog_vnr",0.00477683041650523,TRUE
"12","heart_latent_pc1","cog_vnr","~","heart_latent_pc1","b",0.00453154653015273,0.636785121370036,-0.0142776370759298,0.0233407301362352,"cardio_pack_years","cog_vnr",0.701340769234478,FALSE
"22","heart_latent_pc1","de",":=","c","de",-0.0287183626261111,0.0018828562494051,-0.0468280465520953,-0.0106086787001269,"cardio_pack_years","cog_vnr",0.00477683041650523,TRUE
"23","heart_latent_pc1","ie",":=","a*b","ie",4.11099422842758e-05,NA,4.11099422842758e-05,4.11099422842758e-05,"cardio_pack_years","cog_vnr",NA,FALSE
"24","heart_latent_pc1","te",":=","c+a*b","te",-0.0286772526838268,0.0019107307291546,-0.0467863322883436,-0.0105681730793101,"cardio_pack_years","cog_vnr",0.00477683041650523,TRUE
"25","heart_latent_pc1","pm",":=","(a*b)/(c+a*b)","pm",-0.00143353837752598,0.670778115946064,-0.00804330925447938,0.00517623249942741,"cardio_pack_years","cog_vnr",0.720080956189681,FALSE
"26","heart_latent_pc2","heart_latent_pc2","~","cardio_pack_years","a",-0.0362411224007989,1.05766636115945e-06,-0.0507949432300933,-0.0216873015715045,"cardio_pack_years","cog_vnr",8.6324239771102e-06,TRUE
"36","heart_latent_pc2","cog_vnr","~","cardio_pack_years","c",-0.025645210469669,0.00545586112615437,-0.0437334240416566,-0.00755699689768148,"cardio_pack_years","cog_vnr",0.0110511055657506,TRUE
"37","heart_latent_pc2","cog_vnr","~","heart_latent_pc2","b",0.0836630374650404,1.46993528460371e-13,0.0614736861247817,0.105852388805299,"cardio_pack_years","cog_vnr",1.94241448322633e-12,TRUE
"47","heart_latent_pc2","de",":=","c","de",-0.025645210469669,0.00545586112615437,-0.0437334240416566,-0.00755699689768148,"cardio_pack_years","cog_vnr",0.0110511055657506,TRUE
"48","heart_latent_pc2","ie",":=","a*b","ie",-0.00303204238119315,4.66868127633191e-05,-0.00449158190614805,-0.00157250285623825,"cardio_pack_years","cog_vnr",0.000227291062137211,TRUE
"49","heart_latent_pc2","te",":=","c+a*b","te",-0.0286772528508622,0.00191073062004588,-0.0467863324622785,-0.0105681732394459,"cardio_pack_years","cog_vnr",0.00477683041650523,TRUE
"50","heart_latent_pc2","pm",":=","(a*b)/(c+a*b)","pm",0.105729875764651,0.0112121017796951,0.0240164334467641,0.187443318082539,"cardio_pack_years","cog_vnr",0.0200087346872373,TRUE
"51","heart_latent_pc3","heart_latent_pc3","~","cardio_pack_years","a",0.0104831086615506,0.240533909463112,-0.0070233515847639,0.0279895689078651,"cardio_pack_years","cog_vnr",0.294693862587256,FALSE
"61","heart_latent_pc3","cog_vnr","~","cardio_pack_years","c",-0.0283988076931778,0.00210904198528383,-0.046503176446561,-0.0102944389397946,"cardio_pack_years","cog_vnr",0.00522552813318092,TRUE
"62","heart_latent_pc3","cog_vnr","~","heart_latent_pc3","b",-0.0265611045808175,0.00497384099987674,-0.0450957934578437,-0.00802641570379124,"cardio_pack_years","cog_vnr",0.0104563703078154,TRUE
"72","heart_latent_pc3","de",":=","c","de",-0.0283988076931778,0.00210904198528383,-0.046503176446561,-0.0102944389397946,"cardio_pack_years","cog_vnr",0.00522552813318092,TRUE
"73","heart_latent_pc3","ie",":=","a*b","ie",-0.000278442945491519,0.278864019209842,-0.000782414566453645,0.000225528675470608,"cardio_pack_years","cog_vnr",0.335725663040049,FALSE
"74","heart_latent_pc3","te",":=","c+a*b","te",-0.0286772506386693,0.00191073216660209,-0.0467863302504454,-0.0105681710268932,"cardio_pack_years","cog_vnr",0.00477683041650523,TRUE
