"","mediator","lhs","op","rhs","label","est.std","pvalue","ci.lower","ci.upper","pvalue_adj","significant","type"
"1","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","~","cardio_latent_gvrf","a",-0.0403494181136716,7.80074214379312e-06,-0.058039156361122,-0.0226596798662212,7.01115482923845e-05,TRUE,"volume"
"4","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","cog_latent_g","~","cardio_latent_gvrf","c",-0.0292825612253503,0.005952127668855,-0.0501495690820064,-0.00841555336869422,0.00929389426259774,TRUE,"volume"
"5","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","cog_latent_g","~","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","b",0.182256497927551,0,0.161388125420026,0.203124870435075,0,TRUE,"volume"
"8","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","de",":=","c","de",-0.0292825612253503,0.005952127668855,-0.0501495690820064,-0.00841555336869422,0.00929389426259774,TRUE,"volume"
"9","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","ie",":=","a*b","ie",-0.00735394363881227,1.52827325676785e-05,-0.0106868653858467,-0.00402102189177786,0.000130212415056406,TRUE,"volume"
"10","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","te",":=","c+a*b","te",-0.0366365048641626,0.000663119001648838,-0.0577287478751968,-0.0155442618531284,0.00166852758788796,TRUE,"volume"
"11","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","pm",":=","(a*b)/(c+a*b)","pm",0.200727216367351,0.00387583398656854,0.0645065651532932,0.336947867581409,0.00625737053253235,TRUE,"volume"
"12","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","~","cardio_latent_gvrf","a",0.052354185846665,3.19536521686814e-08,0.0337998902264831,0.0709084814668469,4.80609013230984e-07,TRUE,"volume"
"15","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","cog_latent_g","~","cardio_latent_gvrf","c",-0.0367425780731336,0.000649831383939148,-0.0578616178631907,-0.0156235382830765,0.00166852758788796,TRUE,"volume"
"16","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","cog_latent_g","~","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","b",0.00202649660201927,0.845321374572916,-0.0183324726950284,0.0223854658990669,0.869256440600605,FALSE,"volume"
"19","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","de",":=","c","de",-0.0367425780731336,0.000649831383939148,-0.0578616178631907,-0.0156235382830765,0.00166852758788796,TRUE,"volume"
"20","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","ie",":=","a*b","ie",0.000106095579719752,0.845416449571577,-0.000960445617167147,0.00117263677660665,0.869256440600605,FALSE,"volume"
"21","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","te",":=","c+a*b","te",-0.0366364824934138,0.000663124042766139,-0.0577287254892902,-0.0155442394975375,0.00166852758788796,TRUE,"volume"
"22","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","pm",":=","(a*b)/(c+a*b)","pm",-0.00289589972887885,0.845667392009001,-0.0320552902366065,0.0262634907788488,0.869256440600605,FALSE,"volume"
"23","brain_bio.volume_of_grey_matter.0.imaging","brain_bio.volume_of_grey_matter.0.imaging","~","cardio_latent_gvrf","a",-0.0652201923242641,3.1596947280832e-13,-0.0827612678284136,-0.0476791168201145,1.08311396027782e-11,TRUE,"volume"
"26","brain_bio.volume_of_grey_matter.0.imaging","cog_latent_g","~","cardio_latent_gvrf","c",-0.024021935142105,0.0240801421221764,-0.0448930773492892,-0.00315079293492091,0.0340634640000844,TRUE,"volume"
"27","brain_bio.volume_of_grey_matter.0.imaging","cog_latent_g","~","brain_bio.volume_of_grey_matter.0.imaging","b",0.193414934925857,0,0.172451363968658,0.214378505883056,0,TRUE,"volume"
"30","brain_bio.volume_of_grey_matter.0.imaging","de",":=","c","de",-0.024021935142105,0.0240801421221764,-0.0448930773492892,-0.00315079293492091,0.0340634640000844,TRUE,"volume"
"31","brain_bio.volume_of_grey_matter.0.imaging","ie",":=","a*b","ie",-0.0126145592542494,1.43036693600607e-11,-0.016274785778883,-0.00895433272961578,3.83338338849626e-10,TRUE,"volume"
"32","brain_bio.volume_of_grey_matter.0.imaging","te",":=","c+a*b","te",-0.0366364943963545,0.000663121358724039,-0.0577287373957547,-0.0155442513969542,0.00166852758788796,TRUE,"volume"
"33","brain_bio.volume_of_grey_matter.0.imaging","pm",":=","(a*b)/(c+a*b)","pm",0.34431676562113,0.00120722557941466,0.135847950388947,0.552785580853312,0.00227551215352584,TRUE,"volume"
"34","brain_bio.volume_of_white_matter.0.imaging","brain_bio.volume_of_white_matter.0.imaging","~","cardio_latent_gvrf","a",0.00902925378315664,0.30531688301803,-0.00823447105373586,0.0262929786200491,0.346936846019465,FALSE,"volume"
"37","brain_bio.volume_of_white_matter.0.imaging","cog_latent_g","~","cardio_latent_gvrf","c",-0.0382282448045036,0.000330856942580615,-0.0590998121973452,-0.017356677411662,0.00166852758788796,TRUE,"volume"
"38","brain_bio.volume_of_white_matter.0.imaging","cog_latent_g","~","brain_bio.volume_of_white_matter.0.imaging","b",0.176289219571959,0,0.154834846960302,0.197743592183616,0,TRUE,"volume"
"41","brain_bio.volume_of_white_matter.0.imaging","de",":=","c","de",-0.0382282448045036,0.000330856942580615,-0.0590998121973452,-0.017356677411662,0.00166852758788796,TRUE,"volume"
"42","brain_bio.volume_of_white_matter.0.imaging","ie",":=","a*b","ie",0.00159176010274984,0.306323476111482,-0.00145798895947449,0.00464150916497417,0.347591072970227,FALSE,"volume"
"43","brain_bio.volume_of_white_matter.0.imaging","te",":=","c+a*b","te",-0.0366364847017538,0.00066312353785869,-0.0577287276805764,-0.0155442417229312,0.00166852758788796,TRUE,"volume"
"44","brain_bio.volume_of_white_matter.0.imaging","pm",":=","(a*b)/(c+a*b)","pm",-0.0434474026563374,0.345722764398884,-0.133757832417396,0.046863027104721,0.389458808155488,FALSE,"volume"
"45","brain_bio.volume_of_brain._grey.white_matter.0.imaging","brain_bio.volume_of_brain._grey.white_matter.0.imaging","~","cardio_latent_gvrf","a",-0.0273416563044175,0.00179837360689028,-0.0445084015990419,-0.0101749110097932,0.00310398442219704,TRUE,"volume"
"48","brain_bio.volume_of_brain._grey.white_matter.0.imaging","cog_latent_g","~","cardio_latent_gvrf","c",-0.0311800463295874,0.00334027006413584,-0.0520049347888538,-0.010355157870321,0.00542242078693417,TRUE,"volume"
"49","brain_bio.volume_of_brain._grey.white_matter.0.imaging","cog_latent_g","~","brain_bio.volume_of_brain._grey.white_matter.0.imaging","b",0.199565033652976,0,0.178120586209611,0.221009481096341,0,TRUE,"volume"
"52","brain_bio.volume_of_brain._grey.white_matter.0.imaging","de",":=","c","de",-0.0311800463295874,0.00334027006413584,-0.0520049347888538,-0.010355157870321,0.00542242078693417,TRUE,"volume"
"53","brain_bio.volume_of_brain._grey.white_matter.0.imaging","ie",":=","a*b","ie",-0.00545643856051919,0.00209240640557851,-0.00893227314215906,-0.00198060397887932,0.00355290745017521,TRUE,"volume"
"54","brain_bio.volume_of_brain._grey.white_matter.0.imaging","te",":=","c+a*b","te",-0.0366364848901066,0.000663123508827024,-0.0577287279032833,-0.0155442418769298,0.00166852758788796,TRUE,"volume"
"55","brain_bio.volume_of_brain._grey.white_matter.0.imaging","pm",":=","(a*b)/(c+a*b)","pm",0.148934554635526,0.0128583755578877,0.0315931814688727,0.266275927802179,0.0190676514812138,TRUE,"volume"
"56","brain_bio.volume_of_thalamus_.left..0.imaging","brain_bio.volume_of_thalamus_.left..0.imaging","~","cardio_latent_gvrf","a",-0.0780735921061979,0,-0.0963443101112005,-0.0598028741011954,0,TRUE,"volume"
