"","mediator","lhs","op","rhs","label","est.std","pvalue","ci.lower","ci.upper","pvalue_adj","significant","type"
"1","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","~","cardio_latent_gvrf","a",-0.0404122150519261,7.0938494645123e-06,-0.0580495070689141,-0.0227749230349381,6.97088940712742e-05,TRUE,"volume"
"4","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","cog_latent_g","~","cardio_latent_gvrf","c",-0.0291802120911231,0.00611817000551129,-0.0500427573349213,-0.00831766684732489,0.00934526693069808,TRUE,"volume"
"5","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","cog_latent_g","~","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","b",0.184505501645104,0,0.163584817691992,0.205426185598216,0,TRUE,"volume"
"8","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","de",":=","c","de",-0.0291802120911231,0.00611817000551129,-0.0500427573349213,-0.00831766684732489,0.00934526693069808,TRUE,"volume"
"9","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","ie",":=","a*b","ie",-0.00745627601074545,1.38869776247219e-05,-0.0108191938708907,-0.0040933581506002,0.000127933781367751,TRUE,"volume"
"10","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","te",":=","c+a*b","te",-0.0366364881018685,0.000663122771675351,-0.0577287310830312,-0.0155442451207059,0.00167370154753828,TRUE,"volume"
"11","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","pm",":=","(a*b)/(c+a*b)","pm",0.203520490010208,0.00378542147644412,0.0657579760631241,0.341283003957293,0.00599324517323161,TRUE,"volume"
"12","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","~","cardio_latent_gvrf","a",0.0463823527468211,1.06363620866468e-06,0.0277517482826909,0.0650129572109513,1.28508177997683e-05,TRUE,"volume"
"15","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","cog_latent_g","~","cardio_latent_gvrf","c",-0.0370162477919652,0.000589498195383564,-0.0581286024970766,-0.0159038930868537,0.00167370154753828,TRUE,"volume"
"16","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","cog_latent_g","~","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","b",0.0081878302975626,0.428766553616316,-0.0120924290813895,0.0284680896765147,0.473055314394049,FALSE,"volume"
"19","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","de",":=","c","de",-0.0370162477919652,0.000589498195383564,-0.0581286024970766,-0.0159038930868537,0.00167370154753828,TRUE,"volume"
"20","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","ie",":=","a*b","ie",0.000379770833092658,0.434750559788705,-0.000573177956938074,0.00133271962312339,0.477512909931857,FALSE,"volume"
"21","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","te",":=","c+a*b","te",-0.0366364769588725,0.000663125265335296,-0.0577287198881911,-0.015544234029554,0.00167370154753828,TRUE,"volume"
"22","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","pm",":=","(a*b)/(c+a*b)","pm",-0.0103659211970349,0.446619622822153,-0.0370612676208906,0.0163294252268208,0.487395059954684,FALSE,"volume"
"23","brain_bio.volume_of_grey_matter.0.imaging","brain_bio.volume_of_grey_matter.0.imaging","~","cardio_latent_gvrf","a",-0.0690195905176662,8.43769498715119e-15,-0.0864538499060266,-0.0515853311293057,4.28867669346926e-13,TRUE,"volume"
"26","brain_bio.volume_of_grey_matter.0.imaging","cog_latent_g","~","cardio_latent_gvrf","c",-0.0226692997314219,0.0331338852856846,-0.0435244527538203,-0.00181414670902345,0.0447656708626023,TRUE,"volume"
"27","brain_bio.volume_of_grey_matter.0.imaging","cog_latent_g","~","brain_bio.volume_of_grey_matter.0.imaging","b",0.202365599007156,0,0.181325278468644,0.223405919545668,0,TRUE,"volume"
"30","brain_bio.volume_of_grey_matter.0.imaging","de",":=","c","de",-0.0226692997314219,0.0331338852856846,-0.0435244527538203,-0.00181414670902345,0.0447656708626023,TRUE,"volume"
"31","brain_bio.volume_of_grey_matter.0.imaging","ie",":=","a*b","ie",-0.0139671907783361,7.50066675436756e-13,-0.0177852272484116,-0.0101491543082607,2.98810345836156e-11,TRUE,"volume"
"32","brain_bio.volume_of_grey_matter.0.imaging","te",":=","c+a*b","te",-0.036636490509758,0.000663122229773494,-0.0577287334943457,-0.0155442475251704,0.00167370154753828,TRUE,"volume"
"33","brain_bio.volume_of_grey_matter.0.imaging","pm",":=","(a*b)/(c+a*b)","pm",0.381237137727917,0.00105823061539101,0.153051101922741,0.609423173533093,0.00202576010873625,TRUE,"volume"
"34","brain_bio.volume_of_white_matter.0.imaging","brain_bio.volume_of_white_matter.0.imaging","~","cardio_latent_gvrf","a",0.00814713609983867,0.355907773090771,-0.00914949751488392,0.0254437697145613,0.400158701400302,FALSE,"volume"
"37","brain_bio.volume_of_white_matter.0.imaging","cog_latent_g","~","cardio_latent_gvrf","c",-0.0380765011819399,0.000348942798956697,-0.0589460121423181,-0.0172069902215617,0.00167370154753828,TRUE,"volume"
"38","brain_bio.volume_of_white_matter.0.imaging","cog_latent_g","~","brain_bio.volume_of_white_matter.0.imaging","b",0.176750129180922,0,0.155340358144366,0.198159900217479,0,TRUE,"volume"
"41","brain_bio.volume_of_white_matter.0.imaging","de",":=","c","de",-0.0380765011819399,0.000348942798956697,-0.0589460121423181,-0.0172069902215617,0.00167370154753828,TRUE,"volume"
"42","brain_bio.volume_of_white_matter.0.imaging","ie",":=","a*b","ie",0.00144000735810104,0.356714444473305,-0.00162230673440607,0.00450232145060815,0.400454753353885,FALSE,"volume"
"43","brain_bio.volume_of_white_matter.0.imaging","te",":=","c+a*b","te",-0.0366364938238389,0.000663121513028386,-0.0577287368873901,-0.0155442507602876,0.00167370154753828,TRUE,"volume"
"44","brain_bio.volume_of_white_matter.0.imaging","pm",":=","(a*b)/(c+a*b)","pm",-0.0393052720881289,0.3904636041624,-0.129010661263756,0.0504001170874985,0.435687624932156,FALSE,"volume"
"45","brain_bio.volume_of_brain._grey.white_matter.0.imaging","brain_bio.volume_of_brain._grey.white_matter.0.imaging","~","cardio_latent_gvrf","a",-0.0294250860674262,0.000775092856249548,-0.0465815436700917,-0.0122686284647607,0.00173104071229066,TRUE,"volume"
"48","brain_bio.volume_of_brain._grey.white_matter.0.imaging","cog_latent_g","~","cardio_latent_gvrf","c",-0.0306579896311558,0.00389467745224725,-0.0514745931321253,-0.00984138613018624,0.00615300596421485,TRUE,"volume"
"49","brain_bio.volume_of_brain._grey.white_matter.0.imaging","cog_latent_g","~","brain_bio.volume_of_brain._grey.white_matter.0.imaging","b",0.203176749808645,0,0.18174131045823,0.224612189159059,0,TRUE,"volume"
"52","brain_bio.volume_of_brain._grey.white_matter.0.imaging","de",":=","c","de",-0.0306579896311558,0.00389467745224725,-0.0514745931321253,-0.00984138613018624,0.00615300596421485,TRUE,"volume"
"53","brain_bio.volume_of_brain._grey.white_matter.0.imaging","ie",":=","a*b","ie",-0.00597849335001928,0.000940853840677214,-0.00952108825740121,-0.00243589844263736,0.00189197620894708,TRUE,"volume"
"54","brain_bio.volume_of_brain._grey.white_matter.0.imaging","te",":=","c+a*b","te",-0.0366364829811751,0.000663123966061496,-0.0577287260621272,-0.015544239900223,0.00167370154753828,TRUE,"volume"
"55","brain_bio.volume_of_brain._grey.white_matter.0.imaging","pm",":=","(a*b)/(c+a*b)","pm",0.163184150429811,0.00958976205233375,0.0397091069436235,0.286659193915998,0.0141494587238638,TRUE,"volume"
"56","brain_bio.volume_of_thalamus_.left..0.imaging","brain_bio.volume_of_thalamus_.left..0.imaging","~","cardio_latent_gvrf","a",-0.0782674107853783,0,-0.0965105129011675,-0.060024308669589,0,TRUE,"volume"
"59","brain_bio.volume_of_thalamus_.left..0.imaging","cog_latent_g","~","cardio_latent_gvrf","c",-0.0232997054701252,0.0291247741885257,-0.0442304594166416,-0.00236895152360879,0.0397867628859007,TRUE,"volume"
"60","brain_bio.volume_of_thalamus_.left..0.imaging","cog_latent_g","~","brain_bio.volume_of_thalamus_.left..0.imaging","b",0.170399895574649,0,0.150172511660292,0.190627279489005,0,TRUE,"volume"
"63","brain_bio.volume_of_thalamus_.left..0.imaging","de",":=","c","de",-0.0232997054701252,0.0291247741885257,-0.0442304594166416,-0.00236895152360879,0.0397867628859007,TRUE,"volume"
"64","brain_bio.volume_of_thalamus_.left..0.imaging","ie",":=","a*b","ie",-0.0133367586247266,7.14983627858601e-14,-0.0168289219313719,-0.00984459531808126,3.09966431606935e-12,TRUE,"volume"
"65","brain_bio.volume_of_thalamus_.left..0.imaging","te",":=","c+a*b","te",-0.0366364640948518,0.000663128194137386,-0.0577287070918782,-0.0155442210978254,0.00167370154753828,TRUE,"volume"
"66","brain_bio.volume_of_thalamus_.left..0.imaging","pm",":=","(a*b)/(c+a*b)","pm",0.364029634251759,0.00110890506546024,0.145258534591819,0.582800733911699,0.00209286308129116,TRUE,"volume"
"67","brain_bio.volume_of_thalamus_.right..0.imaging","brain_bio.volume_of_thalamus_.right..0.imaging","~","cardio_latent_gvrf","a",-0.0743261017669296,6.66133814775094e-16,-0.0923423916324277,-0.0563098119014316,3.77646631914803e-14,TRUE,"volume"
"70","brain_bio.volume_of_thalamus_.right..0.imaging","cog_latent_g","~","cardio_latent_gvrf","c",-0.0234692521653024,0.0278443904006394,-0.0443828589993927,-0.00255564533121205,0.0384246343187835,TRUE,"volume"
"71","brain_bio.volume_of_thalamus_.right..0.imaging","cog_latent_g","~","brain_bio.volume_of_thalamus_.right..0.imaging","b",0.177154901064006,0,0.156692167393481,0.19761763473453,0,TRUE,"volume"
"74","brain_bio.volume_of_thalamus_.right..0.imaging","de",":=","c","de",-0.0234692521653024,0.0278443904006394,-0.0443828589993927,-0.00255564533121205,0.0384246343187835,TRUE,"volume"
"75","brain_bio.volume_of_thalamus_.right..0.imaging","ie",":=","a*b","ie",-0.0131672332049936,3.03757019537443e-13,-0.0167059952558741,-0.00962847115411322,1.24371624110609e-11,TRUE,"volume"
"76","brain_bio.volume_of_thalamus_.right..0.imaging","te",":=","c+a*b","te",-0.036636485370296,0.000663123444378133,-0.0577287284954636,-0.0155442422451284,0.00167370154753828,TRUE,"volume"
"77","brain_bio.volume_of_thalamus_.right..0.imaging","pm",":=","(a*b)/(c+a*b)","pm",0.359402193521252,0.001126648021752,0.143113392870545,0.575690994171958,0.00210478984038333,TRUE,"volume"
"78","brain_bio.volume_of_caudate_.left..0.imaging","brain_bio.volume_of_caudate_.left..0.imaging","~","cardio_latent_gvrf","a",-0.0358651716636795,0.000467901170421836,-0.0559579690953946,-0.0157723742319644,0.00167370154753828,TRUE,"volume"
"81","brain_bio.volume_of_caudate_.left..0.imaging","cog_latent_g","~","cardio_latent_gvrf","c",-0.0335606182369996,0.00176553628314435,-0.0545954700249253,-0.0125257664490739,0.00300195059073739,TRUE,"volume"
"82","brain_bio.volume_of_caudate_.left..0.imaging","cog_latent_g","~","brain_bio.volume_of_caudate_.left..0.imaging","b",0.0857616665754428,0,0.0670706235910413,0.104452709559844,0,TRUE,"volume"
"85","brain_bio.volume_of_caudate_.left..0.imaging","de",":=","c","de",-0.0335606182369996,0.00176553628314435,-0.0545954700249253,-0.0125257664490739,0.00300195059073739,TRUE,"volume"
"86","brain_bio.volume_of_caudate_.left..0.imaging","ie",":=","a*b","ie",-0.0030758568938915,0.00111583110905178,-0.00492535775477774,-0.00122635603300526,0.00210324175798251,TRUE,"volume"
"87","brain_bio.volume_of_caudate_.left..0.imaging","te",":=","c+a*b","te",-0.0366364751308911,0.000663125703833645,-0.0577287181267758,-0.0155442321350064,0.00167370154753828,TRUE,"volume"
"88","brain_bio.volume_of_caudate_.left..0.imaging","pm",":=","(a*b)/(c+a*b)","pm",0.0839561361430756,0.0143784877478421,0.0167284164820737,0.151183855804078,0.0207173909485037,TRUE,"volume"
"89","brain_bio.volume_of_caudate_.right..0.imaging","brain_bio.volume_of_caudate_.right..0.imaging","~","cardio_latent_gvrf","a",-0.0446883118669202,1.40822616798708e-05,-0.0648577940223845,-0.0245188297114558,0.000128547160560514,TRUE,"volume"
"92","brain_bio.volume_of_caudate_.right..0.imaging","cog_latent_g","~","cardio_latent_gvrf","c",-0.0324440966498016,0.00249295933503824,-0.0534709375013552,-0.011417255798248,0.00409656862859126,TRUE,"volume"
"93","brain_bio.volume_of_caudate_.right..0.imaging","cog_latent_g","~","brain_bio.volume_of_caudate_.right..0.imaging","b",0.093813771520177,0,0.0752253648258879,0.112402178214466,0,TRUE,"volume"
"96","brain_bio.volume_of_caudate_.right..0.imaging","de",":=","c","de",-0.0324440966498016,0.00249295933503824,-0.0534709375013552,-0.011417255798248,0.00409656862859126,TRUE,"volume"
"97","brain_bio.volume_of_caudate_.right..0.imaging","ie",":=","a*b","ie",-0.00419237907910566,7.05089941592796e-05,-0.00625975473136175,-0.00212500342684957,0.000532975678927067,TRUE,"volume"
"98","brain_bio.volume_of_caudate_.right..0.imaging","te",":=","c+a*b","te",-0.0366364757289073,0.00066312556557957,-0.0577287187162814,-0.0155442327415332,0.00167370154753828,TRUE,"volume"
"99","brain_bio.volume_of_caudate_.right..0.imaging","pm",":=","(a*b)/(c+a*b)","pm",0.114431833185247,0.0070365399762462,0.0312136072994226,0.197650059071071,0.0106269056608472,TRUE,"volume"
"100","brain_bio.volume_of_putamen_.left..0.imaging","brain_bio.volume_of_putamen_.left..0.imaging","~","cardio_latent_gvrf","a",-0.0520086905049163,4.10801326289345e-08,-0.0705891642184917,-0.033428216791341,6.44171441436696e-07,TRUE,"volume"
"103","brain_bio.volume_of_putamen_.left..0.imaging","cog_latent_g","~","cardio_latent_gvrf","c",-0.0302321503326071,0.00477545209654018,-0.0512307560088835,-0.00923354465633061,0.00744869459291029,TRUE,"volume"
"104","brain_bio.volume_of_putamen_.left..0.imaging","cog_latent_g","~","brain_bio.volume_of_putamen_.left..0.imaging","b",0.123139402878216,0,0.103044285193837,0.143234520562596,0,TRUE,"volume"
"107","brain_bio.volume_of_putamen_.left..0.imaging","de",":=","c","de",-0.0302321503326071,0.00477545209654018,-0.0512307560088835,-0.00923354465633061,0.00744869459291029,TRUE,"volume"
