"","mediator","lhs","op","rhs","label","est.std","pvalue","ci.lower","ci.upper","pvalue_adj","significant","type"
"1","heart_texture_Autocorrelation_glcm_MYO_ED","heart_texture_Autocorrelation_glcm_MYO_ED","~","cardio_latent_gvrf","a",-0.46871806753096,0,-0.485563175199936,-0.451872959861983,0,TRUE,"Global Intensity"
"2","heart_texture_Autocorrelation_glcm_MYO_ED","cog_latent_g","~","cardio_latent_gvrf","c",-0.023826604916873,0.0431678569840104,-0.046921257896414,-0.000731951937331905,0.0562685498995558,FALSE,"Global Intensity"
"3","heart_texture_Autocorrelation_glcm_MYO_ED","cog_latent_g","~","heart_texture_Autocorrelation_glcm_MYO_ED","b",0.0280495559951801,0.00589242305779325,0.00808516243998492,0.0480139495503753,0.0131949986422379,TRUE,"Global Intensity"
"4","heart_texture_Autocorrelation_glcm_MYO_ED","de",":=","c","de",-0.023826604916873,0.0431678569840104,-0.046921257896414,-0.000731951937331905,0.0562685498995558,FALSE,"Global Intensity"
"5","heart_texture_Autocorrelation_glcm_MYO_ED","ie",":=","a*b","ie",-0.0131473336811623,0.00596526655021212,-0.0225186998423795,-0.00377596751994498,0.0140101673105899,TRUE,"Global Intensity"
"6","heart_texture_Autocorrelation_glcm_MYO_ED","te",":=","c+a*b","te",-0.0369739385980352,0.000597508849106143,-0.0580846347501671,-0.0158632424459034,0.00059751123317886,TRUE,"Global Intensity"
"7","heart_texture_Autocorrelation_glcm_MYO_ED","pm",":=","(a*b)/(c+a*b)","pm",0.355583802528977,0.031841241810207,0.0308856529520056,0.680281952105948,0.0757935742846276,FALSE,"Global Intensity"
"8","heart_texture_Autocorrelation_glcm_MYO_ES","heart_texture_Autocorrelation_glcm_MYO_ES","~","cardio_latent_gvrf","a",-0.480413947420168,0,-0.496965864645242,-0.463862030195095,0,TRUE,"Global Intensity"
"9","heart_texture_Autocorrelation_glcm_MYO_ES","cog_latent_g","~","cardio_latent_gvrf","c",-0.0123797935362533,0.296137578152382,-0.0356043943361059,0.0108448072635992,0.320611758164975,FALSE,"Global Intensity"
"10","heart_texture_Autocorrelation_glcm_MYO_ES","cog_latent_g","~","heart_texture_Autocorrelation_glcm_MYO_ES","b",0.0511937031763607,6.54291818058539e-07,0.0310231159789122,0.0713642903738093,3.57733328884557e-06,TRUE,"Global Intensity"
"11","heart_texture_Autocorrelation_glcm_MYO_ES","de",":=","c","de",-0.0123797935362533,0.296137578152382,-0.0356043943361059,0.0108448072635992,0.320611758164975,FALSE,"Global Intensity"
