"","mediator","lhs","op","rhs","label","est.std","pvalue","ci.lower","ci.upper","pvalue_adj","significant","type"
"1","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","~","heart_latent_pc2","a",0.0791424742195947,0,0.0635673267696829,0.0947176216695066,0,TRUE,"volume"
"4","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","cog_latent_g","~","heart_latent_pc2","c",0.0607809152760922,1.30298438705267e-10,0.0422447882735678,0.0793170422786165,2.80217841133697e-10,TRUE,"volume"
"5","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","cog_latent_g","~","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","b",0.17944926620799,0,0.158473996511012,0.200424535904968,0,TRUE,"volume"
"8","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","de",":=","c","de",0.0607809152760922,1.30298438705267e-10,0.0422447882735678,0.0793170422786165,2.80217841133697e-10,TRUE,"volume"
"9","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","ie",":=","a*b","ie",0.014202058924591,0,0.0109487314067539,0.0174553864424282,0,TRUE,"volume"
"10","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","te",":=","c+a*b","te",0.0749829742006832,3.33066907387547e-15,0.0563359291964939,0.0936300192048725,9.05621849846731e-15,TRUE,"volume"
"11","brain_bio.volume_of_peripheral_cortical_grey_matter.0.imaging","pm",":=","(a*b)/(c+a*b)","pm",0.189403782338386,6.31722674171442e-10,0.129357475569002,0.249450089107771,1.34481049740404e-09,TRUE,"volume"
"12","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","~","heart_latent_pc2","a",0.000857375815677977,0.919308018017662,-0.015730342869154,0.01744509450051,0.931071169645573,FALSE,"volume"
"15","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","cog_latent_g","~","heart_latent_pc2","c",0.0749773627047979,3.33066907387547e-15,0.0563306109958204,0.0936241144137753,9.05621849846731e-15,TRUE,"volume"
"16","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","cog_latent_g","~","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","b",0.00653067239990643,0.52667850504372,-0.0136876143864665,0.0267489591862794,0.570995595419688,FALSE,"volume"
"19","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","de",":=","c","de",0.0749773627047979,3.33066907387547e-15,0.0563306109958204,0.0936241144137753,9.05621849846731e-15,TRUE,"volume"
"20","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","ie",":=","a*b","ie",5.59924057579542e-06,NA,5.59924057579542e-06,5.59924057579542e-06,NA,FALSE,"volume"
"21","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","te",":=","c+a*b","te",0.0749829619453736,3.33066907387547e-15,0.0563359169555136,0.0936300069352336,9.05621849846731e-15,TRUE,"volume"
"22","brain_bio.volume_of_ventricular_cerebrospinal_fluid.0.imaging","pm",":=","(a*b)/(c+a*b)","pm",7.46735048940127e-05,0.920319021181004,-0.00138843395768146,0.00153778096746948,0.931079284839929,FALSE,"volume"
"23","brain_bio.volume_of_grey_matter.0.imaging","brain_bio.volume_of_grey_matter.0.imaging","~","heart_latent_pc2","a",0.104091674938026,0,0.0887373375996447,0.119446012276408,0,TRUE,"volume"
"26","brain_bio.volume_of_grey_matter.0.imaging","cog_latent_g","~","heart_latent_pc2","c",0.0545312085291037,8.58511262080697e-09,0.0359646656108999,0.0730977514473075,1.76132505790893e-08,TRUE,"volume"
"27","brain_bio.volume_of_grey_matter.0.imaging","cog_latent_g","~","brain_bio.volume_of_grey_matter.0.imaging","b",0.196478366112307,0,0.175342878309312,0.217613853915301,0,TRUE,"volume"
"30","brain_bio.volume_of_grey_matter.0.imaging","de",":=","c","de",0.0545312085291037,8.58511262080697e-09,0.0359646656108999,0.0730977514473075,1.76132505790893e-08,TRUE,"volume"
"31","brain_bio.volume_of_grey_matter.0.imaging","ie",":=","a*b","ie",0.0204517622177168,0,0.0167128649789375,0.0241906594564961,0,TRUE,"volume"
"32","brain_bio.volume_of_grey_matter.0.imaging","te",":=","c+a*b","te",0.0749829707468205,3.33066907387547e-15,0.0563359257731142,0.0936300157205268,9.05621849846731e-15,TRUE,"volume"
"33","brain_bio.volume_of_grey_matter.0.imaging","pm",":=","(a*b)/(c+a*b)","pm",0.272752093095538,1.43178802147759e-11,0.193608966287757,0.351895219903318,3.14822149416073e-11,TRUE,"volume"
"34","brain_bio.volume_of_white_matter.0.imaging","brain_bio.volume_of_white_matter.0.imaging","~","heart_latent_pc2","a",0.0708328066776093,0,0.0555598777535857,0.0861057356016329,0,TRUE,"volume"
"37","brain_bio.volume_of_white_matter.0.imaging","cog_latent_g","~","heart_latent_pc2","c",0.06291595576352,2.97168956109317e-11,0.044366974190762,0.081464937336278,6.49532740619325e-11,TRUE,"volume"
"38","brain_bio.volume_of_white_matter.0.imaging","cog_latent_g","~","brain_bio.volume_of_white_matter.0.imaging","b",0.170359034113648,0,0.148886638186994,0.191831430040302,0,TRUE,"volume"
"41","brain_bio.volume_of_white_matter.0.imaging","de",":=","c","de",0.06291595576352,2.97168956109317e-11,0.044366974190762,0.081464937336278,6.49532740619325e-11,TRUE,"volume"
"42","brain_bio.volume_of_white_matter.0.imaging","ie",":=","a*b","ie",0.0120670085291563,4.44089209850063e-15,0.00905158752139548,0.0150824295369171,1.08875871281574e-14,TRUE,"volume"
"43","brain_bio.volume_of_white_matter.0.imaging","te",":=","c+a*b","te",0.0749829642926763,3.33066907387547e-15,0.0563359192843748,0.0936300093009777,9.05621849846731e-15,TRUE,"volume"
"44","brain_bio.volume_of_white_matter.0.imaging","pm",":=","(a*b)/(c+a*b)","pm",0.160930001140738,3.54928619827888e-09,0.107505137735045,0.21435486454643,7.37429378201727e-09,TRUE,"volume"
"45","brain_bio.volume_of_brain._grey.white_matter.0.imaging","brain_bio.volume_of_brain._grey.white_matter.0.imaging","~","heart_latent_pc2","a",0.0906678091320058,0,0.0755689736110367,0.105766644652975,0,TRUE,"volume"
"48","brain_bio.volume_of_brain._grey.white_matter.0.imaging","cog_latent_g","~","heart_latent_pc2","c",0.0571200815994776,1.56303725518114e-09,0.0385777774818906,0.0756623857170647,3.27525327973143e-09,TRUE,"volume"
"49","brain_bio.volume_of_brain._grey.white_matter.0.imaging","cog_latent_g","~","brain_bio.volume_of_brain._grey.white_matter.0.imaging","b",0.197014979462082,0,0.175471095897468,0.218558863026695,0,TRUE,"volume"
"52","brain_bio.volume_of_brain._grey.white_matter.0.imaging","de",":=","c","de",0.0571200815994776,1.56303725518114e-09,0.0385777774818906,0.0756623857170647,3.27525327973143e-09,TRUE,"volume"
"53","brain_bio.volume_of_brain._grey.white_matter.0.imaging","ie",":=","a*b","ie",0.0178629165540141,0,0.0143009287809292,0.0214249043270989,0,TRUE,"volume"
"54","brain_bio.volume_of_brain._grey.white_matter.0.imaging","te",":=","c+a*b","te",0.0749829981534917,3.33066907387547e-15,0.0563359531423888,0.0936300431645946,9.05621849846731e-15,TRUE,"volume"
"55","brain_bio.volume_of_brain._grey.white_matter.0.imaging","pm",":=","(a*b)/(c+a*b)","pm",0.23822622452957,5.32711652567741e-11,0.167066398126467,0.309386050932674,1.15748720964128e-10,TRUE,"volume"
"56","brain_bio.volume_of_thalamus_.left..0.imaging","brain_bio.volume_of_thalamus_.left..0.imaging","~","heart_latent_pc2","a",0.106847871923103,0,0.0907664954081291,0.122929248438077,0,TRUE,"volume"
"59","brain_bio.volume_of_thalamus_.left..0.imaging","cog_latent_g","~","heart_latent_pc2","c",0.0573816334336658,1.52328705205207e-09,0.0387672395350659,0.0759960273322657,3.20565844573475e-09,TRUE,"volume"
"60","brain_bio.volume_of_thalamus_.left..0.imaging","cog_latent_g","~","brain_bio.volume_of_thalamus_.left..0.imaging","b",0.164732789470012,0,0.14443436971668,0.185031209223343,0,TRUE,"volume"
"63","brain_bio.volume_of_thalamus_.left..0.imaging","de",":=","c","de",0.0573816334336658,1.52328705205207e-09,0.0387672395350659,0.0759960273322657,3.20565844573475e-09,TRUE,"volume"
"64","brain_bio.volume_of_thalamus_.left..0.imaging","ie",":=","a*b","ie",0.0176013479908273,0,0.0141720712053148,0.0210306247763397,0,TRUE,"volume"
"65","brain_bio.volume_of_thalamus_.left..0.imaging","te",":=","c+a*b","te",0.0749829814244931,3.33066907387547e-15,0.0563359364335548,0.0936300264154313,9.05621849846731e-15,TRUE,"volume"
"66","brain_bio.volume_of_thalamus_.left..0.imaging","pm",":=","(a*b)/(c+a*b)","pm",0.234737905274567,6.39099884125471e-11,0.164328189590927,0.305147620958207,1.38252342580672e-10,TRUE,"volume"
"67","brain_bio.volume_of_thalamus_.right..0.imaging","brain_bio.volume_of_thalamus_.right..0.imaging","~","heart_latent_pc2","a",0.107048656824198,0,0.0911785033172737,0.122918810331123,0,TRUE,"volume"
"70","brain_bio.volume_of_thalamus_.right..0.imaging","cog_latent_g","~","heart_latent_pc2","c",0.0566407542068583,2.43746711703352e-09,0.0380317353747044,0.0752497730390121,5.07863191098627e-09,TRUE,"volume"
"71","brain_bio.volume_of_thalamus_.right..0.imaging","cog_latent_g","~","brain_bio.volume_of_thalamus_.right..0.imaging","b",0.171344646839982,0,0.150799449386451,0.191889844293512,0,TRUE,"volume"
"74","brain_bio.volume_of_thalamus_.right..0.imaging","de",":=","c","de",0.0566407542068583,2.43746711703352e-09,0.0380317353747044,0.0752497730390121,5.07863191098627e-09,TRUE,"volume"
"75","brain_bio.volume_of_thalamus_.right..0.imaging","ie",":=","a*b","ie",0.0183422142982367,0,0.014839357357365,0.0218450712391083,0,TRUE,"volume"
