"","mediator","lhs","op","rhs","label","est.std","pvalue","ci.lower","ci.upper","pvalue_adj","significant"
"1","total","cog_latent_g","~","cardio_latent_gvrf","c",0.0175481792552799,0.239487852356945,-0.0116915885954075,0.0467879471059672,0.239487852356945,FALSE
"4","heart_latent_pc1","cog_latent_g","~","heart_latent_pc1","b1",0.108083806288092,1.39127653842053e-08,0.0707515480714533,0.14541606450473,1.39127653842053e-08,TRUE
"5","heart_latent_pc2","cog_latent_g","~","heart_latent_pc2","b2",0.0792066758869107,3.80683227940715e-06,0.045616523737199,0.112796828036622,3.80683227940715e-06,TRUE
"6","heart_latent_pc3","cog_latent_g","~","heart_latent_pc3","b3",0.00194338013390254,0.86808701033966,-0.0209898543110774,0.0248766145788825,0.86808701033966,FALSE
"7","brain_latent_grey","cog_latent_g","~","brain_latent_grey","b4",0.0199997100824137,0.523413639727967,-0.0414313953262288,0.0814308154910563,0.523413639727967,FALSE
"8","brain_latent_atrophy","cog_latent_g","~","brain_latent_atrophy","b5",0.11062974991205,0.00196192854657484,0.0405926620749671,0.180666837749134,0.00196192854657484,TRUE
"9","brain_latent_gMD","cog_latent_g","~","brain_latent_gMD","b6",0.0774826764038547,0.234838022942953,-0.0503496064336909,0.2053149592414,0.234838022942953,FALSE
"10","brain_latent_gFA","cog_latent_g","~","brain_latent_gFA","b7",-0.0575041021249712,0.0587850541638137,-0.117143281376194,0.00213507712625183,0.0587850541638137,FALSE
"11","brain_latent_pc1","cog_latent_g","~","brain_latent_pc1","b8",0.156829737915954,0.0362514772238502,0.0100452939622495,0.303614181869658,0.0362514772238502,TRUE
"12","brain_latent_pc2","cog_latent_g","~","brain_latent_pc2","b9",0.037697661419121,0.126822736836008,-0.0106966210168155,0.0860919438550575,0.126822736836008,FALSE
"13","brain_latent_pc3","cog_latent_g","~","brain_latent_pc3","b10",0.0479178568331905,0.00222277382424552,0.0172131938990374,0.0786225197673436,0.00222277382424552,TRUE
"14","heart_latent_cc1","cog_latent_g","~","heart_latent_cc1","b11",-0.0193484038540257,0.471045967243615,-0.0719612225505328,0.0332644148424814,0.471045967243615,FALSE
"15","heart_latent_cc2","cog_latent_g","~","heart_latent_cc2","b12",0.0427135104079556,0.0031701382789493,0.014342001226197,0.0710850195897142,0.0031701382789493,TRUE
"16","heart_latent_cc3","cog_latent_g","~","heart_latent_cc3","b13",0.00803441962218084,0.554872968604578,-0.0186342827337703,0.034703121978132,0.554872968604578,FALSE
"17","brain_latent_cc1","cog_latent_g","~","brain_latent_cc1","b14",-0.035817376616934,0.0722751322520045,-0.0748746285833018,0.0032398753494337,0.0722751322520045,FALSE
"18","brain_latent_cc2","cog_latent_g","~","brain_latent_cc2","b15",0.0662840602145926,1.37868323455415e-05,0.0363996501576459,0.0961684702715393,1.37868323455415e-05,TRUE
"19","brain_latent_cc3","cog_latent_g","~","brain_latent_cc3","b16",-0.00831621371990259,0.476882537418989,-0.0312304474886909,0.0145980200488857,0.476882537418989,FALSE
