"","mediator1","mediator2","lhs","op","rhs","label","est.std","pvalue","ci.lower","ci.upper","pvalue_adj","significant"
"307","heart_latent_pc2","brain_latent_grey","cog_latent_g","~","cardio_latent_gvrf","c",0.00848385348921253,0.470818280180676,-0.0145738829285093,0.0315415899069344,0.505268398242676,FALSE
"308","heart_latent_pc2","brain_latent_grey","cog_latent_g","~","heart_latent_pc2","b1",0.071510652158983,7.48390238669572e-11,0.049983024436219,0.0930382798817469,2.43919781492305e-10,TRUE
"309","heart_latent_pc2","brain_latent_grey","cog_latent_g","~","brain_latent_grey","b2",0.185182270385919,0,0.164058157572858,0.206306383198979,0,TRUE
"312","heart_latent_pc2","brain_latent_grey","heart_latent_pc2","~","cardio_latent_gvrf","a1",-0.463189255961989,0,-0.478816504488756,-0.447562007435223,0,TRUE
"315","heart_latent_pc2","brain_latent_grey","brain_latent_grey","~","cardio_latent_gvrf","a2",-0.0644650264957877,6.28830321147689e-13,-0.0820279691111964,-0.046902083880379,2.21348273043986e-12,TRUE
"318","heart_latent_pc2","brain_latent_grey","de",":=","c","de",0.00848385348921253,0.470818280180676,-0.0145738829285093,0.0315415899069344,0.505268398242676,FALSE
"319","heart_latent_pc2","brain_latent_grey","ie1",":=","a1*b1","ie1",-0.033122965766876,1.01149755238339e-10,-0.0431643553148481,-0.0230815762189038,3.17899230749065e-10,TRUE
"320","heart_latent_pc2","brain_latent_grey","ie2",":=","a2*b2","ie2",-0.0119377799669784,3.31799032693425e-11,-0.01546591783237,-0.00840964210158677,1.12301211065467e-10,TRUE
"321","heart_latent_pc2","brain_latent_grey","pm1",":=","(a1*b1)/(c+a1*b1+a2*b2)","pm1",0.905570805341676,0.00257228074204852,0.316828190546948,1.4943134201364,0.00371083123443065,TRUE
"322","heart_latent_pc2","brain_latent_grey","pm2",":=","(a2*b2)/(c+a1*b1+a2*b2)","pm2",0.326374911436801,0.00128548294747377,0.127666272208109,0.525083550665493,0.00217543268034023,TRUE
"323","heart_latent_pc2","brain_latent_grey","te",":=","c+a1*b1+a2*b2","te",-0.0365768922446418,0.00068564065431298,-0.0576914586792873,-0.0154623258099962,0.00123135530976227,TRUE
"324","heart_latent_pc2","brain_latent_atrophy","cog_latent_g","~","cardio_latent_gvrf","c",0.000634505843902866,0.957002023533656,-0.02243112783211,0.0237001395199158,0.957002023533656,FALSE
"325","heart_latent_pc2","brain_latent_atrophy","cog_latent_g","~","heart_latent_pc2","b1",0.0692180987790306,3.11543679742954e-10,0.0476597562277714,0.0907764413302898,9.45373924737239e-10,TRUE
"326","heart_latent_pc2","brain_latent_atrophy","cog_latent_g","~","brain_latent_atrophy","b2",0.190804766829062,0,0.169158507884303,0.212451025773821,0,TRUE
"329","heart_latent_pc2","brain_latent_atrophy","heart_latent_pc2","~","cardio_latent_gvrf","a1",-0.463189273930612,0,-0.478816522342323,-0.447562025518901,0,TRUE
