"","mediator1","mediator2","lhs","op","rhs","label","est.std","pvalue","ci.lower","ci.upper","pvalue_adj","significant"
"290","heart_latent_pc2","brain_latent_grey","cog_latent_g","~","cardio_latent_gvrf","c",0.00921017405301504,0.448996050635997,-0.014633244366668,0.0330535924726981,0.486939378858757,FALSE
"291","heart_latent_pc2","brain_latent_grey","cog_latent_g","~","heart_latent_pc2","b1",0.0585295945124119,6.85251699827916e-08,0.0372662048188418,0.079792984205982,2.11057523546998e-07,TRUE
"292","heart_latent_pc2","brain_latent_grey","cog_latent_g","~","brain_latent_grey","b2",0.19659195645876,0,0.175454876179399,0.217729036738122,0,TRUE
"295","heart_latent_pc2","brain_latent_grey","heart_latent_pc2","~","cardio_latent_gvrf","a1",-0.551481128304361,0,-0.566390087651422,-0.536572168957299,0,TRUE
"298","heart_latent_pc2","brain_latent_grey","brain_latent_grey","~","cardio_latent_gvrf","a2",-0.0690195962005784,8.43769498715119e-15,-0.086453855622352,-0.0515853367788049,5.90638649100583e-14,TRUE
"301","heart_latent_pc2","brain_latent_grey","de",":=","c","de",0.00921017405301504,0.448996050635997,-0.014633244366668,0.0330535924726981,0.486939378858757,FALSE
"302","heart_latent_pc2","brain_latent_grey","ie1",":=","a1*b1","ie1",-0.0322779668209017,7.56480271757454e-08,-0.0440431066259966,-0.0205128270158067,2.24034542020477e-07,TRUE
"303","heart_latent_pc2","brain_latent_grey","ie2",":=","a2*b2","ie2",-0.0135686974510653,9.72999458781487e-13,-0.0172963669722141,-0.00984102792991662,4.16227546256525e-12,TRUE
"304","heart_latent_pc2","brain_latent_grey","pm1",":=","(a1*b1)/(c+a1*b1+a2*b2)","pm1",0.881033271145726,0.00396451606317694,0.281654368048414,1.48041217424304,0.00565310623823378,TRUE
"305","heart_latent_pc2","brain_latent_grey","pm2",":=","(a2*b2)/(c+a1*b1+a2*b2)","pm2",0.370360189253235,0.001071093660445,0.148453022874725,0.592267355631745,0.00179291764900576,TRUE
"306","heart_latent_pc2","brain_latent_grey","te",":=","c+a1*b1+a2*b2","te",-0.036636490218952,0.000663122309143782,-0.0577287332386567,-0.0155442471992472,0.00118745646389124,TRUE
"307","heart_latent_pc2","brain_latent_atrophy","cog_latent_g","~","cardio_latent_gvrf","c",0.000870842922430929,0.942971513464693,-0.02298890516283,0.0247305910076919,0.942971513464693,FALSE
"308","heart_latent_pc2","brain_latent_atrophy","cog_latent_g","~","heart_latent_pc2","b1",0.0575010227645169,1.19739853143841e-07,0.0362123520596067,0.0787896934694271,3.41480321928732e-07,TRUE
"309","heart_latent_pc2","brain_latent_atrophy","cog_latent_g","~","brain_latent_atrophy","b2",0.196995268180099,0,0.175444063209576,0.218546473150621,0,TRUE
"312","heart_latent_pc2","brain_latent_atrophy","heart_latent_pc2","~","cardio_latent_gvrf","a1",-0.551481107715237,0,-0.566390067415965,-0.536572148014509,0,TRUE
"315","heart_latent_pc2","brain_latent_atrophy","brain_latent_atrophy","~","cardio_latent_gvrf","a2",-0.0294250701686025,0.000775097981184247,-0.046581527820789,-0.012268612516416,0.00135642146707243,TRUE
"318","heart_latent_pc2","brain_latent_atrophy","de",":=","c","de",0.000870842922430929,0.942971513464693,-0.02298890516283,0.0247305910076919,0.942971513464693,FALSE
"319","heart_latent_pc2","brain_latent_atrophy","ie1",":=","a1*b1","ie1",-0.0317107277289348,1.31253620860861e-07,-0.043488415857161,-0.0199330396007086,3.60947457367367e-07,TRUE
"320","heart_latent_pc2","brain_latent_atrophy","ie2",":=","a2*b2","ie2",-0.00579659958908207,0.000954177337976203,-0.00923550897608001,-0.00235769020208412,0.0016327034449815,TRUE
"321","heart_latent_pc2","brain_latent_atrophy","pm1",":=","(a1*b1)/(c+a1*b1+a2*b2)","pm1",0.865550509337501,0.00416668261902875,0.27347565343231,1.45762536524269,0.00583335566664025,TRUE
"322","heart_latent_pc2","brain_latent_atrophy","pm2",":=","(a2*b2)/(c+a1*b1+a2*b2)","pm2",0.158219318384721,0.0096425575903798,0.0384135333390347,0.278025103430407,0.0130259111308639,TRUE
"323","heart_latent_pc2","brain_latent_atrophy","te",":=","c+a1*b1+a2*b2","te",-0.036636484395586,0.000663123613175332,-0.0577287273903371,-0.0155442414008349,0.00118745646389124,TRUE
"324","heart_latent_pc2","brain_latent_gMD","cog_latent_g","~","cardio_latent_gvrf","c",0.0101254602178039,0.412242655677241,-0.0140777891564609,0.0343287095920688,0.473771410255934,FALSE
"325","heart_latent_pc2","brain_latent_gMD","cog_latent_g","~","heart_latent_pc2","b1",0.0810566629110821,1.31450406115619e-13,0.0596013251872177,0.102512000634946,7.22977233635902e-13,TRUE
"326","heart_latent_pc2","brain_latent_gMD","cog_latent_g","~","brain_latent_gMD","b2",-0.0422856308219038,8.68760773364841e-06,-0.0609204463295476,-0.02365081531426,2.09045561090915e-05,TRUE
"329","heart_latent_pc2","brain_latent_gMD","heart_latent_pc2","~","cardio_latent_gvrf","a1",-0.551481116446998,0,-0.566390075847978,-0.536572157046018,0,TRUE
"332","heart_latent_pc2","brain_latent_gMD","brain_latent_gMD","~","cardio_latent_gvrf","a2",0.0487340207249868,2.38748922409826e-06,0.0284867017332592,0.0689813397167144,6.339195526054e-06,TRUE
"335","heart_latent_pc2","brain_latent_gMD","de",":=","c","de",0.0101254602178039,0.412242655677241,-0.0140777891564609,0.0343287095920688,0.473771410255934,FALSE
"336","heart_latent_pc2","brain_latent_gMD","ie1",":=","a1*b1","ie1",-0.0447012189576715,1.85629289717326e-13,-0.0566070395136306,-0.0327953984017125,8.98683905070641e-13,TRUE
"337","heart_latent_pc2","brain_latent_gMD","ie2",":=","a2*b2","ie2",-0.0020607488088438,0.00121619371319093,-0.00330925730493892,-0.000812240312748679,0.0019924875726745,TRUE
"338","heart_latent_pc2","brain_latent_gMD","pm1",":=","(a1*b1)/(c+a1*b1+a2*b2)","pm1",1.22012773456196,0.00196544714740265,0.447561019413722,1.9926944497102,0.00300195231229723,TRUE
"339","heart_latent_pc2","brain_latent_gMD","pm2",":=","(a2*b2)/(c+a1*b1+a2*b2)","pm2",0.0562485058408981,0.0176461590173387,0.00978964000716549,0.102707371674631,0.0226459040722513,TRUE
"340","heart_latent_pc2","brain_latent_gMD","te",":=","c+a1*b1+a2*b2","te",-0.0366365075487114,0.000663118356516224,-0.0577287504590126,-0.0155442646384102,0.00118745646389124,TRUE
"341","heart_latent_pc2","brain_latent_gFA","cog_latent_g","~","cardio_latent_gvrf","c",0.00975277166862746,0.42892872865129,-0.0144121451103917,0.0339176884476466,0.478659595741295,FALSE
"342","heart_latent_pc2","brain_latent_gFA","cog_latent_g","~","heart_latent_pc2","b1",0.0804056681076465,1.86739512741951e-13,0.0589878340393172,0.101823502175976,8.98683905070641e-13,TRUE
"343","heart_latent_pc2","brain_latent_gFA","cog_latent_g","~","brain_latent_gFA","b2",0.0504968351113419,4.57497195682777e-08,0.0323935896676854,0.0686000805549984,1.46780350281558e-07,TRUE
"346","heart_latent_pc2","brain_latent_gFA","heart_latent_pc2","~","cardio_latent_gvrf","a1",-0.551481113550383,0,-0.566390073057069,-0.536572154043696,0,TRUE
"349","heart_latent_pc2","brain_latent_gFA","brain_latent_gFA","~","cardio_latent_gvrf","a2",-0.0405382406324297,0.000133926347759994,-0.0613423539412023,-0.0197341273236572,0.000303303787574104,TRUE
"352","heart_latent_pc2","brain_latent_gFA","de",":=","c","de",0.00975277166862746,0.42892872865129,-0.0144121451103917,0.0339176884476466,0.478659595741295,FALSE
"353","heart_latent_pc2","brain_latent_gFA","ie1",":=","a1*b1","ie1",-0.0443422073837674,2.61124455391837e-13,-0.0562262973843874,-0.0324581173831474,1.1827401803042e-12,TRUE
"354","heart_latent_pc2","brain_latent_gFA","ie2",":=","a2*b2","ie2",-0.0020470528529197,0.00174908296762055,-0.00332896004848034,-0.000765145657359067,0.0028058205938913,TRUE
"355","heart_latent_pc2","brain_latent_gFA","pm1",":=","(a1*b1)/(c+a1*b1+a2*b2)","pm1",1.21032907674525,0.00198830607697609,0.443116352986562,1.97754180050393,0.00300195231229723,TRUE
"356","heart_latent_pc2","brain_latent_gFA","pm2",":=","(a2*b2)/(c+a1*b1+a2*b2)","pm2",0.0558747012317212,0.0188807831825213,0.00923153044304516,0.102517872020397,0.0238331197549859,TRUE
"357","heart_latent_pc2","brain_latent_gFA","te",":=","c+a1*b1+a2*b2","te",-0.0366364885680596,0.000663122662721394,-0.0577287315395854,-0.0155442455965339,0.00118745646389124,TRUE
"358","heart_latent_pc2","brain_latent_pc1","cog_latent_g","~","cardio_latent_gvrf","c",0.0113935615718662,0.355853655005101,-0.0127926171310038,0.0355797402747362,0.421549714390658,FALSE
"359","heart_latent_pc2","brain_latent_pc1","cog_latent_g","~","heart_latent_pc2","b1",0.0821672402513355,5.83977310952832e-14,0.0607275611196663,0.103606919383005,3.74718774528067e-13,TRUE
"360","heart_latent_pc2","brain_latent_pc1","cog_latent_g","~","brain_latent_pc1","b2",0.0571244908148348,2.70521050005357e-09,0.0383027842329094,0.0759461973967601,9.05657428278803e-09,TRUE
"363","heart_latent_pc2","brain_latent_pc1","heart_latent_pc2","~","cardio_latent_gvrf","a1",-0.551481113997583,0,-0.566390073631759,-0.536572154363408,0,TRUE
"366","heart_latent_pc2","brain_latent_pc1","brain_latent_pc1","~","cardio_latent_gvrf","a2",-0.0475516397769144,3.24211201152558e-06,-0.0675736452093268,-0.0275296343445021,8.32142082958232e-06,TRUE
"369","heart_latent_pc2","brain_latent_pc1","de",":=","c","de",0.0113935615718662,0.355853655005101,-0.0127926171310038,0.0355797402747362,0.421549714390658,FALSE
"370","heart_latent_pc2","brain_latent_pc1","ie1",":=","a1*b1","ie1",-0.0453136811879136,8.41549052665869e-14,-0.0572129455492453,-0.0334144168265819,4.98455977348245e-13,TRUE
"371","heart_latent_pc2","brain_latent_pc1","ie2",":=","a2*b2","ie2",-0.00271636320966668,0.00024785838828989,-0.00416922943966283,-0.00126349697967053,0.000530141552731153,TRUE
"372","heart_latent_pc2","brain_latent_pc1","pm1",":=","(a1*b1)/(c+a1*b1+a2*b2)","pm1",1.23684583488755,0.00191517713495859,0.455630683548458,2.01806098622664,0.00300195231229723,TRUE
"373","heart_latent_pc2","brain_latent_pc1","pm2",":=","(a2*b2)/(c+a1*b1+a2*b2)","pm2",0.0741436677365805,0.0110154082046021,0.0169812228586895,0.131306112614471,0.0143760412161756,TRUE
"374","heart_latent_pc2","brain_latent_pc1","te",":=","c+a1*b1+a2*b2","te",-0.0366364828257141,0.000663123963477119,-0.0577287258105701,-0.015544239840858,0.00118745646389124,TRUE
"375","heart_latent_pc2","brain_latent_pc2","cog_latent_g","~","cardio_latent_gvrf","c",0.00437784289958908,0.722418140074049,-0.0197767661424079,0.028532451941586,0.741682623809357,FALSE
