"","mediator2","lhs","op","rhs","label","est.std","pvalue","ci.lower","ci.upper","pvalue_adj","significant"
"35","brain_latent_grey","heart_latent_pc2","~","cardio_latent_gvrf","a1",-0.463653672664098,0,-0.479261683474018,-0.448045661854178,0,TRUE
"38","brain_latent_grey","brain_latent_grey","~","cardio_latent_gvrf","a2",-0.00953292193856374,0.333808340927804,-0.0288652925236058,0.00979944864647833,0.422344531276852,FALSE
"39","brain_latent_grey","brain_latent_grey","~","heart_latent_pc2","m",0.120105303626495,0,0.102219859986519,0.137990747266471,0,TRUE
"42","brain_latent_grey","cog_latent_g","~","cardio_latent_gvrf","c",0.00875051680124725,0.456590357699353,-0.014286849653624,0.0317878832561185,0.509528370186235,FALSE
"43","brain_latent_grey","cog_latent_g","~","heart_latent_pc2","b1",0.0718765615210898,5.69666536165414e-11,0.0503737392394005,0.0933793838027792,1.41497817047538e-10,TRUE
"44","brain_latent_grey","cog_latent_g","~","brain_latent_grey","b2",0.184929972196228,0,0.163825410825433,0.206034533567022,0,TRUE
"47","brain_latent_grey","de",":=","c","de",0.00875051680124725,0.456590357699353,-0.014286849653624,0.0317878832561185,0.509528370186235,FALSE
"48","brain_latent_grey","ie1",":=","a1*b1","ie1",-0.0333258317277203,7.74738051489976e-11,-0.0433662865180899,-0.0232853769373506,1.86421343639775e-10,TRUE
"49","brain_latent_grey","ie2",":=","a2*b2","ie2",-0.0017629229890474,0.33458462867387,-0.00534380404349499,0.00181795806540019,0.422344531276852,FALSE
"50","brain_latent_grey","ie3",":=","a1*m*b2","ie3",-0.010298244392704,0,-0.0122676485308565,-0.00832884025455144,0,TRUE
"51","brain_latent_grey","te",":=","c+a1*b1+a2*b2+a1*m*b2","te",-0.0366364823082244,0.000663124068746246,-0.0577287252637802,-0.0155442393526685,0.000981936988117468,TRUE
"52","brain_latent_atrophy","heart_latent_pc2","~","cardio_latent_gvrf","a1",-0.463653669626232,0,-0.479261680491373,-0.44804565876109,0,TRUE
"55","brain_latent_atrophy","brain_latent_atrophy","~","cardio_latent_gvrf","a2",0.0322147901139484,0.000812197593970554,0.0133592233420712,0.0510703568858256,0.00117998518369307,TRUE
"56","brain_latent_atrophy","brain_latent_atrophy","~","heart_latent_pc2","m",0.128450263509641,0,0.111004813567064,0.145895713452218,0,TRUE
