"","mediator","lhs","op","rhs","label","est.std","pvalue","ci.lower","ci.upper","pvalue_adj","significant"
"1","heart_latent_pc1","heart_latent_pc1","~","cardio_latent_gvrf","a",0.403060479285248,0,0.389039804014231,0.417081154556265,0,TRUE
"4","heart_latent_pc1","cog_latent_g","~","cardio_latent_gvrf","c",-0.074404515667712,3.94247523516356e-10,-0.0977138904805196,-0.0510951408549043,3.15398018813084e-09,TRUE
"5","heart_latent_pc1","cog_latent_g","~","heart_latent_pc1","b",0.0928658254234256,2.92432744686266e-13,0.0679250299263523,0.117806620920499,5.19880434997807e-13,TRUE
"8","heart_latent_pc1","de",":=","c","de",-0.074404515667712,3.94247523516356e-10,-0.0977138904805196,-0.0510951408549043,3.15398018813084e-09,TRUE
"9","heart_latent_pc1","ie",":=","a*b","ie",0.0374305441043861,4.71400696255841e-13,0.0272882369196981,0.0475728512890741,1.25706852334891e-12,TRUE
"10","heart_latent_pc1","te",":=","c+a*b","te",-0.0369739715633258,0.00059750204413267,-0.0580846675461536,-0.015863275580498,0.000597507293656374,TRUE
"11","heart_latent_pc1","pm",":=","(a*b)/(c+a*b)","pm",-1.0123484852115,0.00202360826777159,-1.65515062915787,-0.36954634126514,0.00462539032633507,TRUE
"12","heart_latent_pc2","heart_latent_pc2","~","cardio_latent_gvrf","a",-0.461853711524849,0,-0.477485425150432,-0.446221997899266,0,TRUE
"15","heart_latent_pc2","cog_latent_g","~","cardio_latent_gvrf","c",0.00669199764333512,0.573762299674349,-0.0166246704233391,0.0300086657100093,0.573762299674349,FALSE
"16","heart_latent_pc2","cog_latent_g","~","heart_latent_pc2","b",0.0945450090990402,0,0.0729457564460358,0.116144261752045,0,TRUE
"19","heart_latent_pc2","de",":=","c","de",0.00669199764333512,0.573762299674349,-0.0166246704233391,0.0300086657100093,0.573762299674349,FALSE
"20","heart_latent_pc2","ie",":=","a*b","ie",-0.0436659633585423,0,-0.0537636262353751,-0.0335683004817095,0,TRUE
"21","heart_latent_pc2","te",":=","c+a*b","te",-0.0369739657152072,0.000597503270529653,-0.0580846617816092,-0.0158632696488052,0.000597507293656374,TRUE
"22","heart_latent_pc2","pm",":=","(a*b)/(c+a*b)","pm",1.18099215255622,0.00141283417668681,0.455838533731291,1.90614577138114,0.00462539032633507,TRUE
"23","heart_latent_pc3","heart_latent_pc3","~","cardio_latent_gvrf","a",0.286984997208106,0,0.267176283431279,0.306793710984932,0,TRUE
"26","heart_latent_pc3","cog_latent_g","~","cardio_latent_gvrf","c",-0.0390707294001543,0.000430951864717644,-0.0608233610545407,-0.017318097745768,0.00137904596709646,TRUE
"27","heart_latent_pc3","cog_latent_g","~","heart_latent_pc3","b",0.00730619541570288,0.434151561107485,-0.0110031609277842,0.0256155517591899,0.46309499851465,FALSE
"30","heart_latent_pc3","de",":=","c","de",-0.0390707294001543,0.000430951864717644,-0.0608233610545407,-0.017318097745768,0.00137904596709646,TRUE
"31","heart_latent_pc3","ie",":=","a*b","ie",0.00209676847097736,0.434335815177596,-0.00315984923679873,0.00735338617875346,0.463291536189436,FALSE
"32","heart_latent_pc3","te",":=","c+a*b","te",-0.036973960929177,0.000597504275783534,-0.058084657068394,-0.01586326478996,0.000597507293656374,TRUE
"33","heart_latent_pc3","pm",":=","(a*b)/(c+a*b)","pm",-0.0567093278156941,0.445947824695857,-0.20253718709877,0.0891185314673817,0.475677679675581,FALSE
"34","brain_latent_grey","brain_latent_grey","~","cardio_latent_gvrf","a",-0.0643809091247121,6.80122624885371e-13,-0.081947097492026,-0.0468147207573981,1.08819619981659e-12,TRUE
"37","brain_latent_grey","cog_latent_g","~","cardio_latent_gvrf","c",-0.024486755179379,0.0215717261956709,-0.0453730929319766,-0.00360041742678146,0.0265498168562104,TRUE
"38","brain_latent_grey","cog_latent_g","~","brain_latent_grey","b",0.193958609922035,0,0.172995741562135,0.214921478281935,0,TRUE
"41","brain_latent_grey","de",":=","c","de",-0.024486755179379,0.0215717261956709,-0.0453730929319766,-0.00360041742678146,0.0265498168562104,TRUE
"42","brain_latent_grey","ie",":=","a*b","ie",-0.012487231639346,2.48452369788765e-11,-0.0161542235440105,-0.00882023973468155,5.67891130945749e-11,TRUE
"43","brain_latent_grey","te",":=","c+a*b","te",-0.036973986818725,0.00059749894634864,-0.0580846828664831,-0.0158632907709669,0.000597507293656374,TRUE
"44","brain_latent_grey","pm",":=","(a*b)/(c+a*b)","pm",0.337730191244132,0.00113621894759297,0.134333622627535,0.541126759860729,0.00462539032633507,TRUE
"45","brain_latent_atrophy","brain_latent_atrophy","~","cardio_latent_gvrf","a",-0.0263341442123007,0.00267817135852133,-0.0435247709061153,-0.00914351751848602,0.00285671611575609,TRUE
"48","brain_latent_atrophy","cog_latent_g","~","cardio_latent_gvrf","c",-0.0317056083797671,0.0028660545139525,-0.052546336057365,-0.0108648807021693,0.00410156920257432,TRUE
"49","brain_latent_atrophy","cog_latent_g","~","brain_latent_atrophy","b",0.200058111005799,0,0.17861373317356,0.221502488838038,0,TRUE
"52","brain_latent_atrophy","de",":=","c","de",-0.0317056083797671,0.0028660545139525,-0.052546336057365,-0.0108648807021693,0.00410156920257432,TRUE
"53","brain_latent_atrophy","ie",":=","a*b","ie",-0.00526835914606717,0.00304975123154816,-0.00875364952875276,-0.00178306876338158,0.00443600179134278,TRUE
"54","brain_latent_atrophy","te",":=","c+a*b","te",-0.0369739675258343,0.000597502942085493,-0.0580846637094139,-0.0158632713422547,0.000597507293656374,TRUE
"55","brain_latent_atrophy","pm",":=","(a*b)/(c+a*b)","pm",0.142488337027561,0.0145271598905967,0.0282179081647538,0.256758765890368,0.0258260620277275,TRUE
"56","brain_latent_gMD","brain_latent_gMD","~","cardio_latent_gvrf","a",0.0430954334382015,3.16519976255591e-05,0.0227972926815475,0.0633935741948555,4.22026635007455e-05,TRUE
"59","brain_latent_gMD","cog_latent_g","~","cardio_latent_gvrf","c",-0.0355969714206298,0.000953494092142959,-0.0567140619408753,-0.0144798809003843,0.00214436328786663,TRUE
"60","brain_latent_gMD","cog_latent_g","~","brain_latent_gMD","b",-0.031952613890709,0.000774080257063714,-0.0505807599059121,-0.013324467875506,0.000952714162539956,TRUE
