"","mediator","lhs","op","rhs","label","est.std","pvalue","ci.lower","ci.upper","pvalue_adj","significant"
"1","heart_latent_pc1","heart_latent_pc1","~","cardio_latent_gvrf","a",0.240089967273628,0,0.205899590712193,0.274280343835062,0,TRUE
"5","heart_latent_pc1","cog_latent_g","~","cardio_latent_gvrf","c",-0.0724241876756009,6.34763006157613e-05,-0.107915819123381,-0.0369325562278207,0.000204076117352007,TRUE
"6","heart_latent_pc1","cog_latent_g","~","heart_latent_pc1","b",0.00267870066974614,0.773991369854055,-0.0156044656092431,0.0209618669487354,0.773991369854055,FALSE
"10","heart_latent_pc1","de",":=","c","de",-0.0724241876756009,6.34763006157613e-05,-0.107915819123381,-0.0369325562278207,0.000204076117352007,TRUE
"11","heart_latent_pc1","ie",":=","a*b","ie",0.000643129156135196,0.774039855721114,-0.00374744386488979,0.00503370217716019,0.774039855721114,FALSE
"12","heart_latent_pc1","te",":=","c+a*b","te",-0.0717810585194657,6.48108223373356e-05,-0.107000911285628,-0.0365612057533032,6.48120860180512e-05,TRUE
"13","heart_latent_pc1","pm",":=","(a*b)/(c+a*b)","pm",-0.00895959420772251,0.774608476855817,-0.0702843879917277,0.0523651995762827,0.774608476855817,FALSE
"14","heart_latent_pc2","heart_latent_pc2","~","cardio_latent_gvrf","a",-0.343194349018874,0,-0.371626462747885,-0.314762235289863,0,TRUE
"18","heart_latent_pc2","cog_latent_g","~","cardio_latent_gvrf","c",-0.0429367625183036,0.0192031956297096,-0.0788762250810673,-0.00699729995553985,0.0236347023134888,TRUE
"19","heart_latent_pc2","cog_latent_g","~","heart_latent_pc2","b",0.084046504751872,3.01980662698043e-14,0.0623648893267809,0.105728120176963,6.90241514738383e-14,TRUE
"23","heart_latent_pc2","de",":=","c","de",-0.0429367625183036,0.0192031956297096,-0.0788762250810673,-0.00699729995553985,0.0236347023134888,TRUE
"24","heart_latent_pc2","ie",":=","a*b","ie",-0.0288442854856304,4.9293902293357e-13,-0.0366665782660489,-0.021021992705212,1.57740487338742e-12,TRUE
"25","heart_latent_pc2","te",":=","c+a*b","te",-0.071781048003934,6.48109850416301e-05,-0.107000900855161,-0.0365611951527065,6.48120860180512e-05,TRUE
"26","heart_latent_pc2","pm",":=","(a*b)/(c+a*b)","pm",0.40183706267495,0.000426327165018225,0.178295881377092,0.625378243972808,0.00136424692805832,TRUE
"27","heart_latent_pc3","heart_latent_pc3","~","cardio_latent_gvrf","a",-0.0867577336669706,1.00362993693537e-06,-0.121524576142617,-0.0519908911913247,1.33817324924716e-06,TRUE
"31","heart_latent_pc3","cog_latent_g","~","cardio_latent_gvrf","c",-0.0737158150950578,4.1430334125403e-05,-0.108960468629735,-0.0384711615603803,0.000204076117352007,TRUE
"32","heart_latent_pc3","cog_latent_g","~","heart_latent_pc3","b",-0.0223016330280245,0.0159557189997248,-0.0404392779197063,-0.00416398813634259,0.0196378079996613,TRUE
"36","heart_latent_pc3","de",":=","c","de",-0.0737158150950578,4.1430334125403e-05,-0.108960468629735,-0.0384711615603803,0.000204076117352007,TRUE
"37","heart_latent_pc3","ie",":=","a*b","ie",0.00193483913858386,0.0306671407888695,0.000180292963874362,0.00368938531329336,0.0446067502383556,TRUE
"38","heart_latent_pc3","te",":=","c+a*b","te",-0.0717809759564739,6.48120860180512e-05,-0.107000828945498,-0.0365611229674496,6.48120860180512e-05,TRUE
"39","heart_latent_pc3","pm",":=","(a*b)/(c+a*b)","pm",-0.0269547622166226,0.0584335953691058,-0.0548714295107541,0.000961905077508863,0.0849943205368811,FALSE
"40","brain_latent_grey","brain_latent_grey","~","cardio_latent_gvrf","a",-0.1549913740889,0,-0.184003043518869,-0.125979704658931,0,TRUE
"44","brain_latent_grey","cog_latent_g","~","cardio_latent_gvrf","c",-0.0405556334233287,0.0227855749837667,-0.0754643732242174,-0.00564689362243997,0.0260406571243047,TRUE
"45","brain_latent_grey","cog_latent_g","~","brain_latent_grey","b",0.201465630284348,0,0.180377066608933,0.222554193959762,0,TRUE
"49","brain_latent_grey","de",":=","c","de",-0.0405556334233287,0.0227855749837667,-0.0754643732242174,-0.00564689362243997,0.0260406571243047,TRUE
"50","brain_latent_grey","ie",":=","a*b","ie",-0.0312254348694575,0,-0.0379303456153789,-0.0245205241235361,0,TRUE
