"","mediator","lhs","op","rhs","label","est.std","pvalue","ci.lower","ci.upper","pvalue_adj","significant"
"1","heart_latent_pc1","heart_latent_pc1","~","cardio_latent_gvrf","a",0.0688547648927245,8.61306581612098e-11,0.0480591436513173,0.0896503861341318,8.61306581612098e-11,TRUE
"4","heart_latent_pc1","cog_latent_g","~","cardio_latent_gvrf","c",-0.0369704747136216,0.000611622030194825,-0.0581182216840565,-0.0158227277431866,0.000611622030194825,TRUE
"5","heart_latent_pc1","cog_latent_g","~","heart_latent_pc1","b",-5.04509915088389e-05,0.995658395685625,-0.0182225659274286,0.0181216639444109,0.995658395685625,FALSE
"8","heart_latent_pc1","de",":=","c","de",-0.0369704747136216,0.000611622030194825,-0.0581182216840565,-0.0158227277431866,0.0024464881207793,TRUE
"9","heart_latent_pc1","ie",":=","a*b","ie",-3.47379115894594e-06,0.995658397216561,-0.00125471093389051,0.00124776335157262,0.995658397216561,FALSE
"10","heart_latent_pc1","te",":=","c+a*b","te",-0.0369739485047805,0.000597506824637994,-0.0580846446634486,-0.0158632523461125,0.000597506824637994,TRUE
"11","heart_latent_pc1","pm",":=","100*(a*b)/(c+a*b)","pm",0.00939523989031575,0.995658402807304,-3.37471385471625,3.39350433449689,0.995658402807304,FALSE
"12","heart_latent_pc2","heart_latent_pc2","~","cardio_latent_gvrf","a",-0.551901712455648,0,-0.566821763989063,-0.536981660922233,0,TRUE
"15","heart_latent_pc2","cog_latent_g","~","cardio_latent_gvrf","c",0.00592537236913055,0.631107494991438,-0.0182609568685132,0.0301117016067743,0.631107494991438,FALSE
"16","heart_latent_pc2","cog_latent_g","~","heart_latent_pc2","b",0.0777300287913446,1.19304566226219e-12,0.0562911911818716,0.0991688664008176,1.19304566226219e-12,TRUE
"19","heart_latent_pc2","de",":=","c","de",0.00592537236913055,0.631107494991438,-0.0182609568685132,0.0301117016067743,0.631107494991438,FALSE
"20","heart_latent_pc2","ie",":=","a*b","ie",-0.0428993359991699,1.59827706625038e-12,-0.0547992813956186,-0.0309993906027212,5.1144866120012e-12,TRUE
"21","heart_latent_pc2","te",":=","c+a*b","te",-0.0369739636300394,0.000597503719585779,-0.0580846597591137,-0.0158632675009651,0.000597503719585779,TRUE
"22","heart_latent_pc2","pm",":=","100*(a*b)/(c+a*b)","pm",116.025797040371,0.00198019926573689,42.5073027350532,189.544291345688,0.00198019926573689,TRUE
"23","heart_latent_pc3","heart_latent_pc3","~","cardio_latent_gvrf","a",0.112085801778596,0,0.0911924682907776,0.132979135266415,0,TRUE
"26","heart_latent_pc3","cog_latent_g","~","cardio_latent_gvrf","c",-0.0348488964447282,0.00127710908075862,-0.0560538018783434,-0.0136439910111129,0.00127710908075862,TRUE
"27","heart_latent_pc3","cog_latent_g","~","heart_latent_pc3","b",-0.0189591625003368,0.0390659903653614,-0.0369671273846665,-0.000951197616007121,0.0390659903653614,TRUE
"30","heart_latent_pc3","de",":=","c","de",-0.0348488964447282,0.00127710908075862,-0.0560538018783434,-0.0136439910111129,0.00276377136939764,TRUE
"31","heart_latent_pc3","ie",":=","a*b","ie",-0.00212505292990095,0.0429130103240756,-0.00418230789882633,-6.77979609755648e-05,0.0528160127065546,FALSE
"32","heart_latent_pc3","te",":=","c+a*b","te",-0.0369739493746291,0.00059750663659619,-0.0580846455051645,-0.0158632532440938,0.00059750663659619,TRUE
"33","heart_latent_pc3","pm",":=","100*(a*b)/(c+a*b)","pm",5.74743289760418,0.080807462868425,-0.704246334750246,12.1991121299586,0.080807462868425,FALSE
"34","brain_latent_grey","brain_latent_grey","~","cardio_latent_gvrf","a",-0.068201233810656,1.90958360235527e-14,-0.0856608263586927,-0.0507416412626194,1.90958360235527e-14,TRUE
