"","mean.in.group.Control","mean.in.group.Risk","ci.lower","ci.upper","p.value","diff","percent.diff","pvalue_adj","significant"
"cov_sex",0.592857142857143,0.592857142857143,-0.0666242336180034,0.0666242336180034,1,0,0,1,FALSE
"cov_age",56.7309523809524,56.9761904761905,-0.678942060000746,1.16941825047693,0.602613360344548,0.245238095238093,0.432282704494898,0.637931052353036,FALSE
"cov_bsa",1.8924205736619,1.88975753819524,-0.0217447321476759,0.0164186612143428,0.784207320470242,-0.00266303546666657,-0.140721122129501,0.805947721433773,FALSE
"cov_headsize",1.28525913571429,1.28927297142857,-0.0126853281162643,0.0207129995448355,0.637205510876753,0.0040138357142856,0.31229777737039,0.66945275333003,FALSE
"cardio_hypertension",0,243,0.531154015547924,0.625988841594933,1.22551944251623e-80,0.578571428571429,Inf,1.06007431777654e-78,TRUE
"cardio_pack_years",0,15.109880952381,13.5559358456354,16.6638260591265,5.17804227011696e-59,15.109880952381,Inf,2.23950328182559e-57,TRUE
"cardio_sbp",132.146428571429,141.590476190476,7.2488664763141,11.6392287617812,1.34072059173519e-16,9.44404761904764,7.14665369404432,7.40248922458048e-16,TRUE
"cardio_dbp",78.3952380952381,84.4821428571429,4.8461565694318,7.32765295437773,6.92530368984735e-21,6.08690476190476,7.76438073255178,4.33040074100094e-20,TRUE
"cardio_diabetes",0,81,0.154970123067173,0.230744162647112,2.81741610793087e-21,0.192857142857143,Inf,1.80523328397052e-20,TRUE
"cardio_hyperchol",0,358,0.818317752391192,0.886444152370713,3.63421985832255e-176,0.852380952380952,Inf,6.28720035489801e-174,TRUE
"cardio_bmi",23.2607180068095,28.5560220272619,4.99145218649203,5.59915585441273,2.84322154638502e-141,5.29530402045238,22.7650067332496,3.68907995643456e-139,TRUE
"cardio_whr",0.81722525627894,0.932671316976368,0.107456706234553,0.123435415160303,1.46691396476158e-124,0.115446060697428,14.1265899224758,1.52265669542252e-122,TRUE
"cardio_latent_agg",0,4.21190476190476,4.16943778562424,4.25437173818529,0,4.21190476190476,Inf,0,TRUE
"cardio_latent_gvrf",-0.0560412736288307,0.108780060603191,0.158557672170925,0.17108499629312,1.16831364845215e-256,0.164821334232022,-294.107045681469,3.03177391773333e-254,TRUE
"cog_vnr",7.17619047619048,6.7,-0.749943265232259,-0.202437687148693,0.00067026136423837,-0.476190476190476,-6.635700066357,0.00111853906122095,TRUE
"cog_vismem",1.32979772607194,1.38211310364867,-0.0272321740125051,0.131862929165979,0.197108933962469,0.0523153775767371,3.9340853538132,0.234631964969085,FALSE
"cog_rt",6.36194517325575,6.37071172202281,-0.0135214744841762,0.0310545720182995,0.440314408301114,0.00876654876706162,0.137796672689263,0.482116409089194,FALSE
"cog_prosmem",360,367,-0.0295909328358212,0.0629242661691546,0.479638408144226,0.0166666666666667,1.94444444444445,0.522967087871541,FALSE
"cog_latent_g",0.0542688719280609,-0.0722034047056977,-0.22412109100054,-0.0288234622669768,0.0111957176816819,-0.126472276633759,-233.047550355222,0.0161854525815959,TRUE
"heart_shape_Volume_LV_ED",158504.741487405,145040.729423762,-17792.5972934982,-9135.4268337876,1.56968851342857e-09,-13464.0120636429,-8.4943907275561,5.32462966319887e-09,TRUE
"heart_shape_SurfaceArea_LV_ED",18181.269767619,17532.4332224524,-1001.59357054496,-296.079519788374,0.000324090284430158,-648.836545166665,-3.56870864059367,0.000570179178370345,TRUE
"heart_shape_SurfaceAreatoVolumeRatio_LV_ED",0.117011343819048,0.123525023121429,0.00513798709190721,0.00788937151285468,1.30804952410655e-19,0.00651367930238095,5.56670754286357,7.80319198863565e-19,TRUE
"heart_shape_Sphericity_LV_ED",0.773542639692857,0.755952352685714,-0.0219638503689012,-0.0132167236453846,9.56823942860034e-15,-0.0175902870071429,-2.27399061209183,4.86854535631723e-14,TRUE
"heart_shape_Max3Ddiameter_LV_ED",101.982761461452,99.2813435587143,-3.82682713450433,-1.57600867097187,2.87846915079071e-06,-2.7014179027381,-2.64889660176459,6.6102897754884e-06,TRUE
"heart_shape_Max2DdiameterSlice_LV_ED",61.769354688119,61.3162160815952,-1.17132716667717,0.265049953629552,0.21590396919396,-0.453138606523808,-0.733597766743331,0.255831415551747,FALSE
"heart_shape_Max2DdiameterColumn_LV_ED",99.6693762429286,97.0779002855952,-3.6980080832492,-1.48494383141749,4.95139409109934e-06,-2.59147595733334,-2.60007241443653,1.10290709582857e-05,TRUE
